departamento,a√±o,mes,fecha,Vida_general,Salud,Seguridad,Trabajo_actividad,Tiempo_libre,Ingreso
Amazonas,2022,10,2022-10-01,8.5,8.3,7.7,7.9,8.2,7.5
Antioquia,2022,10,2022-10-01,8.2,7.9,8.0,7.4,7.6,7.1
Arauca,2022,10,2022-10-01,8.0,7.9,7.4,7.0,7.4,6.8
Atlantico,2022,10,2022-10-01,8.0,8.1,7.1,6.9,7.5,6.6
Bogota_DC,2022,10,2022-10-01,7.8,7.7,6.4,6.8,7.1,6.6
Bolivar,2022,10,2022-10-01,8.3,8.2,7.7,7.6,7.8,7.2
Boyaca,2022,10,2022-10-01,7.5,7.2,7.3,6.7,6.8,6.0
Caldas,2022,10,2022-10-01,8.4,8.1,8.3,7.9,7.9,7.3
Caqueta,2022,10,2022-10-01,8.1,7.8,7.5,7.1,7.1,6.5
Casanare,2022,10,2022-10-01,8.2,7.6,7.1,6.9,6.9,6.3
Cauca,2022,10,2022-10-01,7.5,7.3,6.8,6.6,6.7,5.9
Cesar,2022,10,2022-10-01,7.9,7.8,6.7,6.7,7.1,6.3
Choco,2022,10,2022-10-01,7.2,7.2,6.4,6.2,6.7,6.2
Cordoba,2022,10,2022-10-01,7.6,7.7,7.5,6.9,7.2,6.2
Cundinamarca,2022,10,2022-10-01,7.8,7.5,6.9,6.7,6.9,6.3
Guainia,2022,10,2022-10-01,7.7,7.6,7.3,7.0,7.3,6.9
Guaviare,2022,10,2022-10-01,7.8,7.4,7.4,6.9,7.1,5.9
Huila,2022,10,2022-10-01,7.9,7.8,7.3,7.0,7.3,6.3
La_Guajira,2022,10,2022-10-01,7.6,7.7,7.2,6.3,7.1,5.6
Magdalena,2022,10,2022-10-01,7.9,7.8,7.3,6.7,7.2,6.5
Meta,2022,10,2022-10-01,8.1,7.7,7.2,7.3,7.3,6.7
Narino,2022,10,2022-10-01,7.1,6.7,6.5,6.1,6.6,5.3
Norte_de_Santander,2022,10,2022-10-01,8.1,7.9,7.5,7.5,7.6,6.8
Putumayo,2022,10,2022-10-01,7.5,7.2,6.6,6.3,6.6,5.7
Quindio,2022,10,2022-10-01,8.4,7.9,7.9,7.2,7.7,6.8
Risaralda,2022,10,2022-10-01,8.4,8.1,8.2,7.7,7.8,7.3
Santander,2022,10,2022-10-01,8.2,7.9,7.2,7.1,7.6,6.7
Sucre,2022,10,2022-10-01,8.1,8.0,7.6,7.0,7.4,5.7
Tolima,2022,10,2022-10-01,7.7,7.5,7.6,7.0,7.4,6.3
Valle,2022,10,2022-10-01,7.9,7.7,7.1,7.0,7.4,6.7
Vaupes,2022,10,2022-10-01,7.3,7.2,7.0,6.2,6.9,6.0
Vichada,2022,10,2022-10-01,7.5,7.4,7.4,6.8,7.1,6.8
Amazonas,2022,11,2022-11-01,8.5,8.3,7.7,7.9,8.2,7.5
Antioquia,2022,11,2022-11-01,8.2,7.9,8.0,7.4,7.6,7.1
Arauca,2022,11,2022-11-01,8.0,7.9,7.4,7.0,7.4,6.8
Atlantico,2022,11,2022-11-01,8.0,8.1,7.1,6.9,7.5,6.6
Bogota_DC,2022,11,2022-11-01,7.8,7.7,6.4,6.8,7.1,6.6
Bolivar,2022,11,2022-11-01,8.3,8.2,7.7,7.6,7.8,7.2
Boyaca,2022,11,2022-11-01,7.5,7.2,7.3,6.7,6.8,6.0
Caldas,2022,11,2022-11-01,8.4,8.1,8.3,7.9,7.9,7.3
Caqueta,2022,11,2022-11-01,8.1,7.8,7.5,7.1,7.1,6.5
Casanare,2022,11,2022-11-01,8.2,7.6,7.1,6.9,6.9,6.3
Cauca,2022,11,2022-11-01,7.5,7.3,6.8,6.6,6.7,5.9
Cesar,2022,11,2022-11-01,7.9,7.8,6.7,6.7,7.1,6.3
Choco,2022,11,2022-11-01,7.2,7.2,6.4,6.2,6.7,6.2
Cordoba,2022,11,2022-11-01,7.6,7.7,7.5,6.9,7.2,6.2
Cundinamarca,2022,11,2022-11-01,7.8,7.5,6.9,6.7,6.9,6.3
Guainia,2022,11,2022-11-01,7.7,7.6,7.3,7.0,7.3,6.9
Guaviare,2022,11,2022-11-01,7.8,7.4,7.4,6.9,7.1,5.9
Huila,2022,11,2022-11-01,7.9,7.8,7.3,7.0,7.3,6.3
La_Guajira,2022,11,2022-11-01,7.6,7.7,7.2,6.3,7.1,5.6
Magdalena,2022,11,2022-11-01,7.9,7.8,7.3,6.7,7.2,6.5
Meta,2022,11,2022-11-01,8.1,7.7,7.2,7.3,7.3,6.7
Narino,2022,11,2022-11-01,7.1,6.7,6.5,6.1,6.6,5.3
Norte_de_Santander,2022,11,2022-11-01,8.1,7.9,7.5,7.5,7.6,6.8
Putumayo,2022,11,2022-11-01,7.5,7.2,6.6,6.3,6.6,5.7
Quindio,2022,11,2022-11-01,8.4,7.9,7.9,7.2,7.7,6.8
Risaralda,2022,11,2022-11-01,8.4,8.1,8.2,7.7,7.8,7.3
Santander,2022,11,2022-11-01,8.2,7.9,7.2,7.1,7.6,6.7
Sucre,2022,11,2022-11-01,8.1,8.0,7.6,7.0,7.4,5.7
Tolima,2022,11,2022-11-01,7.7,7.5,7.6,7.0,7.4,6.3
Valle,2022,11,2022-11-01,7.9,7.7,7.1,7.0,7.4,6.7
Vaupes,2022,11,2022-11-01,7.3,7.2,7.0,6.2,6.9,6.0
Vichada,2022,11,2022-11-01,7.5,7.4,7.4,6.8,7.1,6.8
Amazonas,2022,12,2022-12-01,8.5,8.3,7.7,7.9,8.2,7.5
Antioquia,2022,12,2022-12-01,8.2,7.9,8.0,7.4,7.6,7.1
Arauca,2022,12,2022-12-01,8.0,7.9,7.4,7.0,7.4,6.8
Atlantico,2022,12,2022-12-01,8.0,8.1,7.1,6.9,7.5,6.6
Bogota_DC,2022,12,2022-12-01,7.8,7.7,6.4,6.8,7.1,6.6
Bolivar,2022,12,2022-12-01,8.3,8.2,7.7,7.6,7.8,7.2
Boyaca,2022,12,2022-12-01,7.5,7.2,7.3,6.7,6.8,6.0
Caldas,2022,12,2022-12-01,8.4,8.1,8.3,7.9,7.9,7.3
Caqueta,2022,12,2022-12-01,8.1,7.8,7.5,7.1,7.1,6.5
Casanare,2022,12,2022-12-01,8.2,7.6,7.1,6.9,6.9,6.3
Cauca,2022,12,2022-12-01,7.5,7.3,6.8,6.6,6.7,5.9
Cesar,2022,12,2022-12-01,7.9,7.8,6.7,6.7,7.1,6.3
Choco,2022,12,2022-12-01,7.2,7.2,6.4,6.2,6.7,6.2
Cordoba,2022,12,2022-12-01,7.6,7.7,7.5,6.9,7.2,6.2
Cundinamarca,2022,12,2022-12-01,7.8,7.5,6.9,6.7,6.9,6.3
Guainia,2022,12,2022-12-01,7.7,7.6,7.3,7.0,7.3,6.9
Guaviare,2022,12,2022-12-01,7.8,7.4,7.4,6.9,7.1,5.9
Huila,2022,12,2022-12-01,7.9,7.8,7.3,7.0,7.3,6.3
La_Guajira,2022,12,2022-12-01,7.6,7.7,7.2,6.3,7.1,5.6
Magdalena,2022,12,2022-12-01,7.9,7.8,7.3,6.7,7.2,6.5
Meta,2022,12,2022-12-01,8.1,7.7,7.2,7.3,7.3,6.7
Narino,2022,12,2022-12-01,7.1,6.7,6.5,6.1,6.6,5.3
Norte_de_Santander,2022,12,2022-12-01,8.1,7.9,7.5,7.5,7.6,6.8
Putumayo,2022,12,2022-12-01,7.5,7.2,6.6,6.3,6.6,5.7
Quindio,2022,12,2022-12-01,8.4,7.9,7.9,7.2,7.7,6.8
Risaralda,2022,12,2022-12-01,8.4,8.1,8.2,7.7,7.8,7.3
Santander,2022,12,2022-12-01,8.2,7.9,7.2,7.1,7.6,6.7
Sucre,2022,12,2022-12-01,8.1,8.0,7.6,7.0,7.4,5.7
Tolima,2022,12,2022-12-01,7.7,7.5,7.6,7.0,7.4,6.3
Valle,2022,12,2022-12-01,7.9,7.7,7.1,7.0,7.4,6.7
Vaupes,2022,12,2022-12-01,7.3,7.2,7.0,6.2,6.9,6.0
Vichada,2022,12,2022-12-01,7.5,7.4,7.4,6.8,7.1,6.8
Amazonas,2023,1,2023-01-01,8.5,8.2,8.0,7.8,8.0,7.9
Antioquia,2023,1,2023-01-01,8.5,8.4,8.4,7.9,8.1,7.5
Arauca,2023,1,2023-01-01,7.8,7.8,7.7,6.8,7.5,6.6
Atlantico,2023,1,2023-01-01,8.5,8.3,6.9,7.0,7.9,6.7
Bogota_DC,2023,1,2023-01-01,7.9,7.8,6.4,7.2,7.4,6.9
Bolivar,2023,1,2023-01-01,8.1,7.9,7.4,7.1,7.6,6.8
Boyaca,2023,1,2023-01-01,8.0,7.8,7.8,7.3,7.5,6.7
Caldas,2023,1,2023-01-01,8.6,8.3,8.5,8.0,8.2,7.4
Caqueta,2023,1,2023-01-01,8.0,7.9,7.5,7.3,7.3,6.0
Casanare,2023,1,2023-01-01,8.1,7.9,7.2,7.2,7.2,6.5
Cauca,2023,1,2023-01-01,7.4,7.2,6.9,6.6,7.1,5.9
Cesar,2023,1,2023-01-01,8.4,8.3,7.3,7.0,7.9,6.8
Choco,2023,1,2023-01-01,7.2,7.2,6.9,6.4,6.7,6.4
Cordoba,2023,1,2023-01-01,8.0,8.2,8.2,7.0,7.7,5.9
Cundinamarca,2023,1,2023-01-01,7.9,7.8,7.2,7.2,7.4,6.8
Guainia,2023,1,2023-01-01,7.9,7.9,7.3,7.1,7.6,6.6
Guaviare,2023,1,2023-01-01,8.1,7.8,7.7,7.3,7.3,6.3
Huila,2023,1,2023-01-01,8.1,7.8,6.5,7.0,7.6,6.2
La_Guajira,2023,1,2023-01-01,7.7,7.9,7.2,6.8,7.5,6.3
Magdalena,2023,1,2023-01-01,8.4,8.3,7.8,7.6,8.0,6.6
Meta,2023,1,2023-01-01,8.1,7.8,7.2,7.5,7.6,6.7
Narino,2023,1,2023-01-01,7.3,6.9,6.4,6.1,6.8,5.5
Norte_de_Santander,2023,1,2023-01-01,8.1,7.7,6.9,6.8,7.5,6.2
Putumayo,2023,1,2023-01-01,8.0,8.0,7.0,6.9,7.0,6.6
Quindio,2023,1,2023-01-01,8.2,8.0,7.8,7.5,7.8,7.0
Risaralda,2023,1,2023-01-01,8.6,8.4,8.5,8.0,8.2,7.7
Santander,2023,1,2023-01-01,8.5,8.2,7.5,7.8,8.0,7.0
Sucre,2023,1,2023-01-01,7.9,7.9,7.6,6.8,7.4,6.1
Tolima,2023,1,2023-01-01,8.3,7.9,7.7,7.4,7.7,6.4
Valle,2023,1,2023-01-01,7.9,7.7,6.9,7.2,7.4,6.6
Vaupes,2023,1,2023-01-01,8.3,8.0,7.9,7.3,7.5,6.4
Vichada,2023,1,2023-01-01,7.2,7.4,7.1,6.3,6.9,6.2
Amazonas,2023,2,2023-02-01,8.5,8.2,8.0,7.8,8.0,7.9
Antioquia,2023,2,2023-02-01,8.5,8.4,8.4,7.9,8.1,7.5
Arauca,2023,2,2023-02-01,7.8,7.8,7.7,6.8,7.5,6.6
Atlantico,2023,2,2023-02-01,8.5,8.3,6.9,7.0,7.9,6.7
Bogota_DC,2023,2,2023-02-01,7.9,7.8,6.4,7.2,7.4,6.9
Bolivar,2023,2,2023-02-01,8.1,7.9,7.4,7.1,7.6,6.8
Boyaca,2023,2,2023-02-01,8.0,7.8,7.8,7.3,7.5,6.7
Caldas,2023,2,2023-02-01,8.6,8.3,8.5,8.0,8.2,7.4
Caqueta,2023,2,2023-02-01,8.0,7.9,7.5,7.3,7.3,6.0
Casanare,2023,2,2023-02-01,8.1,7.9,7.2,7.2,7.2,6.5
Cauca,2023,2,2023-02-01,7.4,7.2,6.9,6.6,7.1,5.9
Cesar,2023,2,2023-02-01,8.4,8.3,7.3,7.0,7.9,6.8
Choco,2023,2,2023-02-01,7.2,7.2,6.9,6.4,6.7,6.4
Cordoba,2023,2,2023-02-01,8.0,8.2,8.2,7.0,7.7,5.9
Cundinamarca,2023,2,2023-02-01,7.9,7.8,7.2,7.2,7.4,6.8
Guainia,2023,2,2023-02-01,7.9,7.9,7.3,7.1,7.6,6.6
Guaviare,2023,2,2023-02-01,8.1,7.8,7.7,7.3,7.3,6.3
Huila,2023,2,2023-02-01,8.1,7.8,6.5,7.0,7.6,6.2
La_Guajira,2023,2,2023-02-01,7.7,7.9,7.2,6.8,7.5,6.3
Magdalena,2023,2,2023-02-01,8.4,8.3,7.8,7.6,8.0,6.6
Meta,2023,2,2023-02-01,8.1,7.8,7.2,7.5,7.6,6.7
Narino,2023,2,2023-02-01,7.3,6.9,6.4,6.1,6.8,5.5
Norte_de_Santander,2023,2,2023-02-01,8.1,7.7,6.9,6.8,7.5,6.2
Putumayo,2023,2,2023-02-01,8.0,8.0,7.0,6.9,7.0,6.6
Quindio,2023,2,2023-02-01,8.2,8.0,7.8,7.5,7.8,7.0
Risaralda,2023,2,2023-02-01,8.6,8.4,8.5,8.0,8.2,7.7
Santander,2023,2,2023-02-01,8.5,8.2,7.5,7.8,8.0,7.0
Sucre,2023,2,2023-02-01,7.9,7.9,7.6,6.8,7.4,6.1
Tolima,2023,2,2023-02-01,8.3,7.9,7.7,7.4,7.7,6.4
Valle,2023,2,2023-02-01,7.9,7.7,6.9,7.2,7.4,6.6
Vaupes,2023,2,2023-02-01,8.3,8.0,7.9,7.3,7.5,6.4
Vichada,2023,2,2023-02-01,7.2,7.4,7.1,6.3,6.9,6.2
Amazonas,2023,3,2023-03-01,8.5,8.2,8.0,7.8,8.0,7.9
Antioquia,2023,3,2023-03-01,8.5,8.4,8.4,7.9,8.1,7.5
Arauca,2023,3,2023-03-01,7.8,7.8,7.7,6.8,7.5,6.6
Atlantico,2023,3,2023-03-01,8.5,8.3,6.9,7.0,7.9,6.7
Bogota_DC,2023,3,2023-03-01,7.9,7.8,6.4,7.2,7.4,6.9
Bolivar,2023,3,2023-03-01,8.1,7.9,7.4,7.1,7.6,6.8
Boyaca,2023,3,2023-03-01,8.0,7.8,7.8,7.3,7.5,6.7
Caldas,2023,3,2023-03-01,8.6,8.3,8.5,8.0,8.2,7.4
Caqueta,2023,3,2023-03-01,8.0,7.9,7.5,7.3,7.3,6.0
Casanare,2023,3,2023-03-01,8.1,7.9,7.2,7.2,7.2,6.5
Cauca,2023,3,2023-03-01,7.4,7.2,6.9,6.6,7.1,5.9
Cesar,2023,3,2023-03-01,8.4,8.3,7.3,7.0,7.9,6.8
Choco,2023,3,2023-03-01,7.2,7.2,6.9,6.4,6.7,6.4
Cordoba,2023,3,2023-03-01,8.0,8.2,8.2,7.0,7.7,5.9
Cundinamarca,2023,3,2023-03-01,7.9,7.8,7.2,7.2,7.4,6.8
Guainia,2023,3,2023-03-01,7.9,7.9,7.3,7.1,7.6,6.6
Guaviare,2023,3,2023-03-01,8.1,7.8,7.7,7.3,7.3,6.3
Huila,2023,3,2023-03-01,8.1,7.8,6.5,7.0,7.6,6.2
La_Guajira,2023,3,2023-03-01,7.7,7.9,7.2,6.8,7.5,6.3
Magdalena,2023,3,2023-03-01,8.4,8.3,7.8,7.6,8.0,6.6
Meta,2023,3,2023-03-01,8.1,7.8,7.2,7.5,7.6,6.7
Narino,2023,3,2023-03-01,7.3,6.9,6.4,6.1,6.8,5.5
Norte_de_Santander,2023,3,2023-03-01,8.1,7.7,6.9,6.8,7.5,6.2
Putumayo,2023,3,2023-03-01,8.0,8.0,7.0,6.9,7.0,6.6
Quindio,2023,3,2023-03-01,8.2,8.0,7.8,7.5,7.8,7.0
Risaralda,2023,3,2023-03-01,8.6,8.4,8.5,8.0,8.2,7.7
Santander,2023,3,2023-03-01,8.5,8.2,7.5,7.8,8.0,7.0
Sucre,2023,3,2023-03-01,7.9,7.9,7.6,6.8,7.4,6.1
Tolima,2023,3,2023-03-01,8.3,7.9,7.7,7.4,7.7,6.4
Valle,2023,3,2023-03-01,7.9,7.7,6.9,7.2,7.4,6.6
Vaupes,2023,3,2023-03-01,8.3,8.0,7.9,7.3,7.5,6.4
Vichada,2023,3,2023-03-01,7.2,7.4,7.1,6.3,6.9,6.2
Amazonas,2023,4,2023-04-01,8.5,8.2,8.0,7.8,8.0,7.9
Antioquia,2023,4,2023-04-01,8.5,8.4,8.4,7.9,8.1,7.5
Arauca,2023,4,2023-04-01,7.8,7.8,7.7,6.8,7.5,6.6
Atlantico,2023,4,2023-04-01,8.5,8.3,6.9,7.0,7.9,6.7
Bogota_DC,2023,4,2023-04-01,7.9,7.8,6.4,7.2,7.4,6.9
Bolivar,2023,4,2023-04-01,8.1,7.9,7.4,7.1,7.6,6.8
Boyaca,2023,4,2023-04-01,8.0,7.8,7.8,7.3,7.5,6.7
Caldas,2023,4,2023-04-01,8.6,8.3,8.5,8.0,8.2,7.4
Caqueta,2023,4,2023-04-01,8.0,7.9,7.5,7.3,7.3,6.0
Casanare,2023,4,2023-04-01,8.1,7.9,7.2,7.2,7.2,6.5
Cauca,2023,4,2023-04-01,7.4,7.2,6.9,6.6,7.1,5.9
Cesar,2023,4,2023-04-01,8.4,8.3,7.3,7.0,7.9,6.8
Choco,2023,4,2023-04-01,7.2,7.2,6.9,6.4,6.7,6.4
Cordoba,2023,4,2023-04-01,8.0,8.2,8.2,7.0,7.7,5.9
Cundinamarca,2023,4,2023-04-01,7.9,7.8,7.2,7.2,7.4,6.8
Guainia,2023,4,2023-04-01,7.9,7.9,7.3,7.1,7.6,6.6
Guaviare,2023,4,2023-04-01,8.1,7.8,7.7,7.3,7.3,6.3
Huila,2023,4,2023-04-01,8.1,7.8,6.5,7.0,7.6,6.2
La_Guajira,2023,4,2023-04-01,7.7,7.9,7.2,6.8,7.5,6.3
Magdalena,2023,4,2023-04-01,8.4,8.3,7.8,7.6,8.0,6.6
Meta,2023,4,2023-04-01,8.1,7.8,7.2,7.5,7.6,6.7
Narino,2023,4,2023-04-01,7.3,6.9,6.4,6.1,6.8,5.5
Norte_de_Santander,2023,4,2023-04-01,8.1,7.7,6.9,6.8,7.5,6.2
Putumayo,2023,4,2023-04-01,8.0,8.0,7.0,6.9,7.0,6.6
Quindio,2023,4,2023-04-01,8.2,8.0,7.8,7.5,7.8,7.0
Risaralda,2023,4,2023-04-01,8.6,8.4,8.5,8.0,8.2,7.7
Santander,2023,4,2023-04-01,8.5,8.2,7.5,7.8,8.0,7.0
Sucre,2023,4,2023-04-01,7.9,7.9,7.6,6.8,7.4,6.1
Tolima,2023,4,2023-04-01,8.3,7.9,7.7,7.4,7.7,6.4
Valle,2023,4,2023-04-01,7.9,7.7,6.9,7.2,7.4,6.6
Vaupes,2023,4,2023-04-01,8.3,8.0,7.9,7.3,7.5,6.4
Vichada,2023,4,2023-04-01,7.2,7.4,7.1,6.3,6.9,6.2
Amazonas,2023,5,2023-05-01,8.5,8.2,8.0,7.8,8.0,7.9
Antioquia,2023,5,2023-05-01,8.5,8.4,8.4,7.9,8.1,7.5
Arauca,2023,5,2023-05-01,7.8,7.8,7.7,6.8,7.5,6.6
Atlantico,2023,5,2023-05-01,8.5,8.3,6.9,7.0,7.9,6.7
Bogota_DC,2023,5,2023-05-01,7.9,7.8,6.4,7.2,7.4,6.9
Bolivar,2023,5,2023-05-01,8.1,7.9,7.4,7.1,7.6,6.8
Boyaca,2023,5,2023-05-01,8.0,7.8,7.8,7.3,7.5,6.7
Caldas,2023,5,2023-05-01,8.6,8.3,8.5,8.0,8.2,7.4
Caqueta,2023,5,2023-05-01,8.0,7.9,7.5,7.3,7.3,6.0
Casanare,2023,5,2023-05-01,8.1,7.9,7.2,7.2,7.2,6.5
Cauca,2023,5,2023-05-01,7.4,7.2,6.9,6.6,7.1,5.9
Cesar,2023,5,2023-05-01,8.4,8.3,7.3,7.0,7.9,6.8
Choco,2023,5,2023-05-01,7.2,7.2,6.9,6.4,6.7,6.4
Cordoba,2023,5,2023-05-01,8.0,8.2,8.2,7.0,7.7,5.9
Cundinamarca,2023,5,2023-05-01,7.9,7.8,7.2,7.2,7.4,6.8
Guainia,2023,5,2023-05-01,7.9,7.9,7.3,7.1,7.6,6.6
Guaviare,2023,5,2023-05-01,8.1,7.8,7.7,7.3,7.3,6.3
Huila,2023,5,2023-05-01,8.1,7.8,6.5,7.0,7.6,6.2
La_Guajira,2023,5,2023-05-01,7.7,7.9,7.2,6.8,7.5,6.3
Magdalena,2023,5,2023-05-01,8.4,8.3,7.8,7.6,8.0,6.6
Meta,2023,5,2023-05-01,8.1,7.8,7.2,7.5,7.6,6.7
Narino,2023,5,2023-05-01,7.3,6.9,6.4,6.1,6.8,5.5
Norte_de_Santander,2023,5,2023-05-01,8.1,7.7,6.9,6.8,7.5,6.2
Putumayo,2023,5,2023-05-01,8.0,8.0,7.0,6.9,7.0,6.6
Quindio,2023,5,2023-05-01,8.2,8.0,7.8,7.5,7.8,7.0
Risaralda,2023,5,2023-05-01,8.6,8.4,8.5,8.0,8.2,7.7
Santander,2023,5,2023-05-01,8.5,8.2,7.5,7.8,8.0,7.0
Sucre,2023,5,2023-05-01,7.9,7.9,7.6,6.8,7.4,6.1
Tolima,2023,5,2023-05-01,8.3,7.9,7.7,7.4,7.7,6.4
Valle,2023,5,2023-05-01,7.9,7.7,6.9,7.2,7.4,6.6
Vaupes,2023,5,2023-05-01,8.3,8.0,7.9,7.3,7.5,6.4
Vichada,2023,5,2023-05-01,7.2,7.4,7.1,6.3,6.9,6.2
Amazonas,2023,6,2023-06-01,8.5,8.2,8.0,7.8,8.0,7.9
Antioquia,2023,6,2023-06-01,8.5,8.4,8.4,7.9,8.1,7.5
Arauca,2023,6,2023-06-01,7.8,7.8,7.7,6.8,7.5,6.6
Atlantico,2023,6,2023-06-01,8.5,8.3,6.9,7.0,7.9,6.7
Bogota_DC,2023,6,2023-06-01,7.9,7.8,6.4,7.2,7.4,6.9
Bolivar,2023,6,2023-06-01,8.1,7.9,7.4,7.1,7.6,6.8
Boyaca,2023,6,2023-06-01,8.0,7.8,7.8,7.3,7.5,6.7
Caldas,2023,6,2023-06-01,8.6,8.3,8.5,8.0,8.2,7.4
Caqueta,2023,6,2023-06-01,8.0,7.9,7.5,7.3,7.3,6.0
Casanare,2023,6,2023-06-01,8.1,7.9,7.2,7.2,7.2,6.5
Cauca,2023,6,2023-06-01,7.4,7.2,6.9,6.6,7.1,5.9
Cesar,2023,6,2023-06-01,8.4,8.3,7.3,7.0,7.9,6.8
Choco,2023,6,2023-06-01,7.2,7.2,6.9,6.4,6.7,6.4
Cordoba,2023,6,2023-06-01,8.0,8.2,8.2,7.0,7.7,5.9
Cundinamarca,2023,6,2023-06-01,7.9,7.8,7.2,7.2,7.4,6.8
Guainia,2023,6,2023-06-01,7.9,7.9,7.3,7.1,7.6,6.6
Guaviare,2023,6,2023-06-01,8.1,7.8,7.7,7.3,7.3,6.3
Huila,2023,6,2023-06-01,8.1,7.8,6.5,7.0,7.6,6.2
La_Guajira,2023,6,2023-06-01,7.7,7.9,7.2,6.8,7.5,6.3
Magdalena,2023,6,2023-06-01,8.4,8.3,7.8,7.6,8.0,6.6
Meta,2023,6,2023-06-01,8.1,7.8,7.2,7.5,7.6,6.7
Narino,2023,6,2023-06-01,7.3,6.9,6.4,6.1,6.8,5.5
Norte_de_Santander,2023,6,2023-06-01,8.1,7.7,6.9,6.8,7.5,6.2
Putumayo,2023,6,2023-06-01,8.0,8.0,7.0,6.9,7.0,6.6
Quindio,2023,6,2023-06-01,8.2,8.0,7.8,7.5,7.8,7.0
Risaralda,2023,6,2023-06-01,8.6,8.4,8.5,8.0,8.2,7.7
Santander,2023,6,2023-06-01,8.5,8.2,7.5,7.8,8.0,7.0
Sucre,2023,6,2023-06-01,7.9,7.9,7.6,6.8,7.4,6.1
Tolima,2023,6,2023-06-01,8.3,7.9,7.7,7.4,7.7,6.4
Valle,2023,6,2023-06-01,7.9,7.7,6.9,7.2,7.4,6.6
Vaupes,2023,6,2023-06-01,8.3,8.0,7.9,7.3,7.5,6.4
Vichada,2023,6,2023-06-01,7.2,7.4,7.1,6.3,6.9,6.2
