departamento,a√±o,mes,fecha,Propia_totalmente_pagada,Propia_la_estan_pagando,En_arriendo_o_subarriendo,Con_permiso_sin_pago,Posesion_sin_titulo,Propiedad_colectiva
Vaupes,2022,8,2022-08-01,19.8,0.0,7.6,4.4,1.2,67.0
Vichada,2022,8,2022-08-01,29.1,0.3,16.0,8.5,11.7,34.4
Amazonas,2022,9,2022-09-01,20.1,0.3,20.3,7.6,7.9,43.7
Antioquia,2022,9,2022-09-01,37.7,3.4,45.3,10.0,1.4,2.2
Arauca,2022,9,2022-09-01,34.3,0.8,32.2,20.4,11.5,0.8
Atlantico,2022,9,2022-09-01,45.7,2.3,31.4,16.4,3.9,0.3
Bogota_DC,2022,9,2022-09-01,31.2,7.5,52.7,6.7,1.0,1.0
Bolivar,2022,9,2022-09-01,35.6,1.2,25.7,16.3,15.0,6.3
Boyaca,2022,9,2022-09-01,36.8,4.1,38.4,15.6,2.6,2.5
Caldas,2022,9,2022-09-01,34.9,6.5,40.7,15.3,1.6,1.0
Caqueta,2022,9,2022-09-01,28.5,1.9,37.2,24.7,7.2,0.4
Casanare,2022,9,2022-09-01,37.9,2.1,42.1,14.3,3.1,0.7
Cauca,2022,9,2022-09-01,37.4,1.8,19.9,23.3,9.3,8.4
Cesar,2022,9,2022-09-01,31.7,1.8,38.0,18.4,5.9,4.1
Choco,2022,9,2022-09-01,61.0,0.6,19.3,16.7,1.4,1.0
Cordoba,2022,9,2022-09-01,40.0,1.0,19.6,19.9,18.7,0.8
Cundinamarca,2022,9,2022-09-01,28.2,9.9,47.4,11.3,1.6,1.6
Guainia,2022,9,2022-09-01,16.9,0.6,18.2,6.7,6.4,51.2
Guaviare,2022,9,2022-09-01,36.0,3.0,32.3,21.9,5.1,1.7
Huila,2022,9,2022-09-01,39.8,3.5,32.6,19.2,3.0,1.8
La_Guajira,2022,9,2022-09-01,21.6,0.5,24.6,18.1,13.9,21.3
Magdalena,2022,9,2022-09-01,39.7,0.8,26.1,20.0,11.9,1.5
Meta,2022,9,2022-09-01,32.2,3.0,46.4,12.4,4.1,1.9
Narino,2022,9,2022-09-01,39.7,1.4,23.3,24.7,10.5,0.4
Norte_de_Santander,2022,9,2022-09-01,32.9,2.5,41.4,18.7,3.3,1.1
Putumayo,2022,9,2022-09-01,31.7,0.9,35.4,23.1,6.4,2.4
Quindio,2022,9,2022-09-01,32.7,3.6,46.1,12.9,2.3,2.4
Risaralda,2022,9,2022-09-01,32.1,3.3,48.5,12.9,1.5,1.7
Santander,2022,9,2022-09-01,32.3,3.4,46.0,11.7,5.2,1.3
Sucre,2022,9,2022-09-01,42.7,1.3,20.6,24.2,10.3,1.0
Tolima,2022,9,2022-09-01,40.9,3.8,38.8,14.1,2.0,0.4
Valle,2022,9,2022-09-01,31.4,4.2,47.0,13.6,2.0,1.7
Vaupes,2022,9,2022-09-01,19.8,0.0,7.6,4.4,1.2,67.0
Vichada,2022,9,2022-09-01,29.1,0.3,16.0,8.5,11.7,34.4
Amazonas,2022,10,2022-10-01,20.1,0.3,20.3,7.6,7.9,43.7
Antioquia,2022,10,2022-10-01,37.7,3.4,45.3,10.0,1.4,2.2
Arauca,2022,10,2022-10-01,34.3,0.8,32.2,20.4,11.5,0.8
Atlantico,2022,10,2022-10-01,45.7,2.3,31.4,16.4,3.9,0.3
Bogota_DC,2022,10,2022-10-01,31.2,7.5,52.7,6.7,1.0,1.0
Bolivar,2022,10,2022-10-01,35.6,1.2,25.7,16.3,15.0,6.3
Boyaca,2022,10,2022-10-01,36.8,4.1,38.4,15.6,2.6,2.5
Caldas,2022,10,2022-10-01,34.9,6.5,40.7,15.3,1.6,1.0
Caqueta,2022,10,2022-10-01,28.5,1.9,37.2,24.7,7.2,0.4
Casanare,2022,10,2022-10-01,37.9,2.1,42.1,14.3,3.1,0.7
Cauca,2022,10,2022-10-01,37.4,1.8,19.9,23.3,9.3,8.4
Cesar,2022,10,2022-10-01,31.7,1.8,38.0,18.4,5.9,4.1
Choco,2022,10,2022-10-01,61.0,0.6,19.3,16.7,1.4,1.0
Cordoba,2022,10,2022-10-01,40.0,1.0,19.6,19.9,18.7,0.8
Cundinamarca,2022,10,2022-10-01,28.2,9.9,47.4,11.3,1.6,1.6
Guainia,2022,10,2022-10-01,16.9,0.6,18.2,6.7,6.4,51.2
Guaviare,2022,10,2022-10-01,36.0,3.0,32.3,21.9,5.1,1.7
Huila,2022,10,2022-10-01,39.8,3.5,32.6,19.2,3.0,1.8
La_Guajira,2022,10,2022-10-01,21.6,0.5,24.6,18.1,13.9,21.3
Magdalena,2022,10,2022-10-01,39.7,0.8,26.1,20.0,11.9,1.5
Meta,2022,10,2022-10-01,32.2,3.0,46.4,12.4,4.1,1.9
Narino,2022,10,2022-10-01,39.7,1.4,23.3,24.7,10.5,0.4
Norte_de_Santander,2022,10,2022-10-01,32.9,2.5,41.4,18.7,3.3,1.1
Putumayo,2022,10,2022-10-01,31.7,0.9,35.4,23.1,6.4,2.4
Quindio,2022,10,2022-10-01,32.7,3.6,46.1,12.9,2.3,2.4
Risaralda,2022,10,2022-10-01,32.1,3.3,48.5,12.9,1.5,1.7
Santander,2022,10,2022-10-01,32.3,3.4,46.0,11.7,5.2,1.3
Sucre,2022,10,2022-10-01,42.7,1.3,20.6,24.2,10.3,1.0
Tolima,2022,10,2022-10-01,40.9,3.8,38.8,14.1,2.0,0.4
Valle,2022,10,2022-10-01,31.4,4.2,47.0,13.6,2.0,1.7
Vaupes,2022,10,2022-10-01,19.8,0.0,7.6,4.4,1.2,67.0
Vichada,2022,10,2022-10-01,29.1,0.3,16.0,8.5,11.7,34.4
Amazonas,2022,11,2022-11-01,20.1,0.3,20.3,7.6,7.9,43.7
Antioquia,2022,11,2022-11-01,37.7,3.4,45.3,10.0,1.4,2.2
Arauca,2022,11,2022-11-01,34.3,0.8,32.2,20.4,11.5,0.8
Atlantico,2022,11,2022-11-01,45.7,2.3,31.4,16.4,3.9,0.3
Bogota_DC,2022,11,2022-11-01,31.2,7.5,52.7,6.7,1.0,1.0
Bolivar,2022,11,2022-11-01,35.6,1.2,25.7,16.3,15.0,6.3
Boyaca,2022,11,2022-11-01,36.8,4.1,38.4,15.6,2.6,2.5
Caldas,2022,11,2022-11-01,34.9,6.5,40.7,15.3,1.6,1.0
Caqueta,2022,11,2022-11-01,28.5,1.9,37.2,24.7,7.2,0.4
Casanare,2022,11,2022-11-01,37.9,2.1,42.1,14.3,3.1,0.7
Cauca,2022,11,2022-11-01,37.4,1.8,19.9,23.3,9.3,8.4
Cesar,2022,11,2022-11-01,31.7,1.8,38.0,18.4,5.9,4.1
Choco,2022,11,2022-11-01,61.0,0.6,19.3,16.7,1.4,1.0
Cordoba,2022,11,2022-11-01,40.0,1.0,19.6,19.9,18.7,0.8
Cundinamarca,2022,11,2022-11-01,28.2,9.9,47.4,11.3,1.6,1.6
Guainia,2022,11,2022-11-01,16.9,0.6,18.2,6.7,6.4,51.2
Guaviare,2022,11,2022-11-01,36.0,3.0,32.3,21.9,5.1,1.7
Huila,2022,11,2022-11-01,39.8,3.5,32.6,19.2,3.0,1.8
La_Guajira,2022,11,2022-11-01,21.6,0.5,24.6,18.1,13.9,21.3
Magdalena,2022,11,2022-11-01,39.7,0.8,26.1,20.0,11.9,1.5
Meta,2022,11,2022-11-01,32.2,3.0,46.4,12.4,4.1,1.9
Narino,2022,11,2022-11-01,39.7,1.4,23.3,24.7,10.5,0.4
Norte_de_Santander,2022,11,2022-11-01,32.9,2.5,41.4,18.7,3.3,1.1
Putumayo,2022,11,2022-11-01,31.7,0.9,35.4,23.1,6.4,2.4
Quindio,2022,11,2022-11-01,32.7,3.6,46.1,12.9,2.3,2.4
Risaralda,2022,11,2022-11-01,32.1,3.3,48.5,12.9,1.5,1.7
Santander,2022,11,2022-11-01,32.3,3.4,46.0,11.7,5.2,1.3
Sucre,2022,11,2022-11-01,42.7,1.3,20.6,24.2,10.3,1.0
Tolima,2022,11,2022-11-01,40.9,3.8,38.8,14.1,2.0,0.4
Valle,2022,11,2022-11-01,31.4,4.2,47.0,13.6,2.0,1.7
Vaupes,2022,11,2022-11-01,19.8,0.0,7.6,4.4,1.2,67.0
Vichada,2022,11,2022-11-01,29.1,0.3,16.0,8.5,11.7,34.4
Amazonas,2022,12,2022-12-01,20.1,0.3,20.3,7.6,7.9,43.7
Antioquia,2022,12,2022-12-01,37.7,3.4,45.3,10.0,1.4,2.2
Arauca,2022,12,2022-12-01,34.3,0.8,32.2,20.4,11.5,0.8
Atlantico,2022,12,2022-12-01,45.7,2.3,31.4,16.4,3.9,0.3
Bogota_DC,2022,12,2022-12-01,31.2,7.5,52.7,6.7,1.0,1.0
Bolivar,2022,12,2022-12-01,35.6,1.2,25.7,16.3,15.0,6.3
Boyaca,2022,12,2022-12-01,36.8,4.1,38.4,15.6,2.6,2.5
Caldas,2022,12,2022-12-01,34.9,6.5,40.7,15.3,1.6,1.0
Caqueta,2022,12,2022-12-01,28.5,1.9,37.2,24.7,7.2,0.4
Casanare,2022,12,2022-12-01,37.9,2.1,42.1,14.3,3.1,0.7
Cauca,2022,12,2022-12-01,37.4,1.8,19.9,23.3,9.3,8.4
Cesar,2022,12,2022-12-01,31.7,1.8,38.0,18.4,5.9,4.1
Choco,2022,12,2022-12-01,61.0,0.6,19.3,16.7,1.4,1.0
Cordoba,2022,12,2022-12-01,40.0,1.0,19.6,19.9,18.7,0.8
Cundinamarca,2022,12,2022-12-01,28.2,9.9,47.4,11.3,1.6,1.6
Guainia,2022,12,2022-12-01,16.9,0.6,18.2,6.7,6.4,51.2
Guaviare,2022,12,2022-12-01,36.0,3.0,32.3,21.9,5.1,1.7
Huila,2022,12,2022-12-01,39.8,3.5,32.6,19.2,3.0,1.8
La_Guajira,2022,12,2022-12-01,21.6,0.5,24.6,18.1,13.9,21.3
Magdalena,2022,12,2022-12-01,39.7,0.8,26.1,20.0,11.9,1.5
Meta,2022,12,2022-12-01,32.2,3.0,46.4,12.4,4.1,1.9
Narino,2022,12,2022-12-01,39.7,1.4,23.3,24.7,10.5,0.4
Norte_de_Santander,2022,12,2022-12-01,32.9,2.5,41.4,18.7,3.3,1.1
Putumayo,2022,12,2022-12-01,31.7,0.9,35.4,23.1,6.4,2.4
Quindio,2022,12,2022-12-01,32.7,3.6,46.1,12.9,2.3,2.4
Risaralda,2022,12,2022-12-01,32.1,3.3,48.5,12.9,1.5,1.7
Santander,2022,12,2022-12-01,32.3,3.4,46.0,11.7,5.2,1.3
Sucre,2022,12,2022-12-01,42.7,1.3,20.6,24.2,10.3,1.0
Tolima,2022,12,2022-12-01,40.9,3.8,38.8,14.1,2.0,0.4
Valle,2022,12,2022-12-01,31.4,4.2,47.0,13.6,2.0,1.7
Vaupes,2022,12,2022-12-01,19.8,0.0,7.6,4.4,1.2,67.0
Vichada,2022,12,2022-12-01,29.1,0.3,16.0,8.5,11.7,34.4
Amazonas,2023,1,2023-01-01,34.1,0.4,28.4,6.7,3.8,26.6
Antioquia,2023,1,2023-01-01,37.5,3.4,44.9,9.8,1.8,2.6
Arauca,2023,1,2023-01-01,33.3,1.1,34.6,20.8,9.4,0.7
Atlantico,2023,1,2023-01-01,39.9,2.9,35.1,18.2,2.6,1.2
Bogota_DC,2023,1,2023-01-01,30.7,8.0,51.6,8.5,0.7,0.4
Bolivar,2023,1,2023-01-01,37.2,1.1,28.8,24.6,5.9,2.3
Boyaca,2023,1,2023-01-01,36.6,3.7,40.7,15.5,2.8,0.6
Caldas,2023,1,2023-01-01,34.8,5.2,45.0,11.9,0.9,2.2
Caqueta,2023,1,2023-01-01,28.0,1.2,39.2,25.1,5.8,0.7
Casanare,2023,1,2023-01-01,35.8,1.2,43.6,11.5,6.5,1.4
Cauca,2023,1,2023-01-01,40.8,1.8,18.6,24.5,10.3,4.0
Cesar,2023,1,2023-01-01,37.5,2.2,35.3,19.1,4.7,1.2
Choco,2023,1,2023-01-01,67.0,0.2,18.0,13.4,0.3,1.1
Cordoba,2023,1,2023-01-01,42.1,0.7,19.8,28.8,8.6,0.1
Cundinamarca,2023,1,2023-01-01,27.7,8.8,48.9,9.7,2.4,2.6
Guainia,2023,1,2023-01-01,14.3,0.3,16.1,6.7,6.6,55.9
Guaviare,2023,1,2023-01-01,33.5,2.6,37.9,17.0,5.1,3.8
Huila,2023,1,2023-01-01,39.2,2.8,31.0,17.4,7.5,2.2
La_Guajira,2023,1,2023-01-01,28.7,0.4,25.3,12.4,12.3,20.9
Magdalena,2023,1,2023-01-01,42.5,1.4,28.4,20.2,4.9,2.5
Meta,2023,1,2023-01-01,31.1,6.0,45.3,13.3,2.9,1.3
Narino,2023,1,2023-01-01,42.0,1.8,23.0,27.2,3.1,2.8
Norte_de_Santander,2023,1,2023-01-01,35.2,3.4,38.6,17.2,4.8,0.8
Putumayo,2023,1,2023-01-01,26.5,0.4,38.8,27.3,5.8,1.3
Quindio,2023,1,2023-01-01,33.0,4.6,47.3,11.5,2.2,1.4
Risaralda,2023,1,2023-01-01,33.7,3.6,49.2,10.9,1.6,1.0
Santander,2023,1,2023-01-01,35.5,3.9,44.4,12.1,1.9,2.1
Sucre,2023,1,2023-01-01,45.6,1.4,19.3,19.3,11.1,3.3
Tolima,2023,1,2023-01-01,36.7,4.9,39.2,14.7,1.8,2.8
Valle,2023,1,2023-01-01,33.0,3.0,46.3,12.5,1.5,3.7
Vaupes,2023,1,2023-01-01,16.9,0.1,7.6,4.9,4.0,66.5
Vichada,2023,1,2023-01-01,12.2,0.2,12.3,13.4,34.0,27.9
Amazonas,2023,2,2023-02-01,34.1,0.4,28.4,6.7,3.8,26.6
Antioquia,2023,2,2023-02-01,37.5,3.4,44.9,9.8,1.8,2.6
Arauca,2023,2,2023-02-01,33.3,1.1,34.6,20.8,9.4,0.7
Atlantico,2023,2,2023-02-01,39.9,2.9,35.1,18.2,2.6,1.2
Bogota_DC,2023,2,2023-02-01,30.7,8.0,51.6,8.5,0.7,0.4
Bolivar,2023,2,2023-02-01,37.2,1.1,28.8,24.6,5.9,2.3
Boyaca,2023,2,2023-02-01,36.6,3.7,40.7,15.5,2.8,0.6
Caldas,2023,2,2023-02-01,34.8,5.2,45.0,11.9,0.9,2.2
Caqueta,2023,2,2023-02-01,28.0,1.2,39.2,25.1,5.8,0.7
Casanare,2023,2,2023-02-01,35.8,1.2,43.6,11.5,6.5,1.4
Cauca,2023,2,2023-02-01,40.8,1.8,18.6,24.5,10.3,4.0
Cesar,2023,2,2023-02-01,37.5,2.2,35.3,19.1,4.7,1.2
Choco,2023,2,2023-02-01,67.0,0.2,18.0,13.4,0.3,1.1
Cordoba,2023,2,2023-02-01,42.1,0.7,19.8,28.8,8.6,0.1
Cundinamarca,2023,2,2023-02-01,27.7,8.8,48.9,9.7,2.4,2.6
Guainia,2023,2,2023-02-01,14.3,0.3,16.1,6.7,6.6,55.9
Guaviare,2023,2,2023-02-01,33.5,2.6,37.9,17.0,5.1,3.8
Huila,2023,2,2023-02-01,39.2,2.8,31.0,17.4,7.5,2.2
La_Guajira,2023,2,2023-02-01,28.7,0.4,25.3,12.4,12.3,20.9
Magdalena,2023,2,2023-02-01,42.5,1.4,28.4,20.2,4.9,2.5
Meta,2023,2,2023-02-01,31.1,6.0,45.3,13.3,2.9,1.3
Narino,2023,2,2023-02-01,42.0,1.8,23.0,27.2,3.1,2.8
Norte_de_Santander,2023,2,2023-02-01,35.2,3.4,38.6,17.2,4.8,0.8
Putumayo,2023,2,2023-02-01,26.5,0.4,38.8,27.3,5.8,1.3
Quindio,2023,2,2023-02-01,33.0,4.6,47.3,11.5,2.2,1.4
Risaralda,2023,2,2023-02-01,33.7,3.6,49.2,10.9,1.6,1.0
Santander,2023,2,2023-02-01,35.5,3.9,44.4,12.1,1.9,2.1
Sucre,2023,2,2023-02-01,45.6,1.4,19.3,19.3,11.1,3.3
Tolima,2023,2,2023-02-01,36.7,4.9,39.2,14.7,1.8,2.8
Valle,2023,2,2023-02-01,33.0,3.0,46.3,12.5,1.5,3.7
Vaupes,2023,2,2023-02-01,16.9,0.1,7.6,4.9,4.0,66.5
Vichada,2023,2,2023-02-01,12.2,0.2,12.3,13.4,34.0,27.9
Amazonas,2023,3,2023-03-01,34.1,0.4,28.4,6.7,3.8,26.6
Antioquia,2023,3,2023-03-01,37.5,3.4,44.9,9.8,1.8,2.6
Arauca,2023,3,2023-03-01,33.3,1.1,34.6,20.8,9.4,0.7
Atlantico,2023,3,2023-03-01,39.9,2.9,35.1,18.2,2.6,1.2
Bogota_DC,2023,3,2023-03-01,30.7,8.0,51.6,8.5,0.7,0.4
Bolivar,2023,3,2023-03-01,37.2,1.1,28.8,24.6,5.9,2.3
Boyaca,2023,3,2023-03-01,36.6,3.7,40.7,15.5,2.8,0.6
Caldas,2023,3,2023-03-01,34.8,5.2,45.0,11.9,0.9,2.2
Caqueta,2023,3,2023-03-01,28.0,1.2,39.2,25.1,5.8,0.7
Casanare,2023,3,2023-03-01,35.8,1.2,43.6,11.5,6.5,1.4
Cauca,2023,3,2023-03-01,40.8,1.8,18.6,24.5,10.3,4.0
Cesar,2023,3,2023-03-01,37.5,2.2,35.3,19.1,4.7,1.2
Choco,2023,3,2023-03-01,67.0,0.2,18.0,13.4,0.3,1.1
Cordoba,2023,3,2023-03-01,42.1,0.7,19.8,28.8,8.6,0.1
Cundinamarca,2023,3,2023-03-01,27.7,8.8,48.9,9.7,2.4,2.6
Guainia,2023,3,2023-03-01,14.3,0.3,16.1,6.7,6.6,55.9
Guaviare,2023,3,2023-03-01,33.5,2.6,37.9,17.0,5.1,3.8
Huila,2023,3,2023-03-01,39.2,2.8,31.0,17.4,7.5,2.2
La_Guajira,2023,3,2023-03-01,28.7,0.4,25.3,12.4,12.3,20.9
Magdalena,2023,3,2023-03-01,42.5,1.4,28.4,20.2,4.9,2.5
Meta,2023,3,2023-03-01,31.1,6.0,45.3,13.3,2.9,1.3
Narino,2023,3,2023-03-01,42.0,1.8,23.0,27.2,3.1,2.8
Norte_de_Santander,2023,3,2023-03-01,35.2,3.4,38.6,17.2,4.8,0.8
Putumayo,2023,3,2023-03-01,26.5,0.4,38.8,27.3,5.8,1.3
Quindio,2023,3,2023-03-01,33.0,4.6,47.3,11.5,2.2,1.4
Risaralda,2023,3,2023-03-01,33.7,3.6,49.2,10.9,1.6,1.0
Santander,2023,3,2023-03-01,35.5,3.9,44.4,12.1,1.9,2.1
Sucre,2023,3,2023-03-01,45.6,1.4,19.3,19.3,11.1,3.3
Tolima,2023,3,2023-03-01,36.7,4.9,39.2,14.7,1.8,2.8
Valle,2023,3,2023-03-01,33.0,3.0,46.3,12.5,1.5,3.7
Vaupes,2023,3,2023-03-01,16.9,0.1,7.6,4.9,4.0,66.5
Vichada,2023,3,2023-03-01,12.2,0.2,12.3,13.4,34.0,27.9
Amazonas,2023,4,2023-04-01,34.1,0.4,28.4,6.7,3.8,26.6
Antioquia,2023,4,2023-04-01,37.5,3.4,44.9,9.8,1.8,2.6
Arauca,2023,4,2023-04-01,33.3,1.1,34.6,20.8,9.4,0.7
Atlantico,2023,4,2023-04-01,39.9,2.9,35.1,18.2,2.6,1.2
Bogota_DC,2023,4,2023-04-01,30.7,8.0,51.6,8.5,0.7,0.4
Bolivar,2023,4,2023-04-01,37.2,1.1,28.8,24.6,5.9,2.3
Boyaca,2023,4,2023-04-01,36.6,3.7,40.7,15.5,2.8,0.6
Caldas,2023,4,2023-04-01,34.8,5.2,45.0,11.9,0.9,2.2
Caqueta,2023,4,2023-04-01,28.0,1.2,39.2,25.1,5.8,0.7
Casanare,2023,4,2023-04-01,35.8,1.2,43.6,11.5,6.5,1.4
Cauca,2023,4,2023-04-01,40.8,1.8,18.6,24.5,10.3,4.0
Cesar,2023,4,2023-04-01,37.5,2.2,35.3,19.1,4.7,1.2
Choco,2023,4,2023-04-01,67.0,0.2,18.0,13.4,0.3,1.1
Cordoba,2023,4,2023-04-01,42.1,0.7,19.8,28.8,8.6,0.1
Cundinamarca,2023,4,2023-04-01,27.7,8.8,48.9,9.7,2.4,2.6
Guainia,2023,4,2023-04-01,14.3,0.3,16.1,6.7,6.6,55.9
Guaviare,2023,4,2023-04-01,33.5,2.6,37.9,17.0,5.1,3.8
Huila,2023,4,2023-04-01,39.2,2.8,31.0,17.4,7.5,2.2
La_Guajira,2023,4,2023-04-01,28.7,0.4,25.3,12.4,12.3,20.9
Magdalena,2023,4,2023-04-01,42.5,1.4,28.4,20.2,4.9,2.5
Meta,2023,4,2023-04-01,31.1,6.0,45.3,13.3,2.9,1.3
Narino,2023,4,2023-04-01,42.0,1.8,23.0,27.2,3.1,2.8
Norte_de_Santander,2023,4,2023-04-01,35.2,3.4,38.6,17.2,4.8,0.8
Putumayo,2023,4,2023-04-01,26.5,0.4,38.8,27.3,5.8,1.3
Quindio,2023,4,2023-04-01,33.0,4.6,47.3,11.5,2.2,1.4
Risaralda,2023,4,2023-04-01,33.7,3.6,49.2,10.9,1.6,1.0
Santander,2023,4,2023-04-01,35.5,3.9,44.4,12.1,1.9,2.1
Sucre,2023,4,2023-04-01,45.6,1.4,19.3,19.3,11.1,3.3
Tolima,2023,4,2023-04-01,36.7,4.9,39.2,14.7,1.8,2.8
