departamento,año,mes,fecha,Deficit_cuantitativo,Deficit_cualitativo,Deficit_habitacional
Amazonas,2022,1,2022-01-01,61.3,23.3,84.5
Antioquia,2022,1,2022-01-01,4.8,19.8,24.7
Arauca,2022,1,2022-01-01,30.3,22.6,52.9
Atlantico,2022,1,2022-01-01,3.5,28.0,31.5
Bogota_DC,2022,1,2022-01-01,1.4,9.8,11.2
Bolivar,2022,1,2022-01-01,14.3,44.8,59.1
Boyaca,2022,1,2022-01-01,2.8,21.2,24.0
Caldas,2022,1,2022-01-01,2.9,18.6,21.4
Caqueta,2022,1,2022-01-01,24.3,22.9,47.2
Casanare,2022,1,2022-01-01,7.2,24.2,31.4
Cauca,2022,1,2022-01-01,12.4,37.8,50.2
Cesar,2022,1,2022-01-01,7.9,38.6,46.5
Choco,2022,1,2022-01-01,43.5,40.8,84.3
Cordoba,2022,1,2022-01-01,21.3,39.3,60.6
Cundinamarca,2022,1,2022-01-01,2.3,16.0,18.3
Guainia,2022,1,2022-01-01,56.2,30.8,87.0
Guaviare,2022,1,2022-01-01,47.9,19.2,67.0
Huila,2022,1,2022-01-01,4.3,27.4,31.8
La_Guajira,2022,1,2022-01-01,8.7,48.9,57.6
Magdalena,2022,1,2022-01-01,10.3,51.6,61.9
Meta,2022,1,2022-01-01,9.2,19.0,28.2
Narino,2022,1,2022-01-01,20.4,27.6,48.0
Norte_de_Santander,2022,1,2022-01-01,6.8,27.1,33.9
Putumayo,2022,1,2022-01-01,41.4,25.3,66.7
Quindio,2022,1,2022-01-01,3.2,9.3,12.4
Risaralda,2022,1,2022-01-01,2.9,14.4,17.3
Santander,2022,1,2022-01-01,5.9,22.6,28.4
Sucre,2022,1,2022-01-01,8.2,53.1,61.3
Tolima,2022,1,2022-01-01,4.0,24.1,28.1
Valle,2022,1,2022-01-01,4.5,14.1,18.6
Vaupes,2022,1,2022-01-01,83.0,8.3,91.3
Vichada,2022,1,2022-01-01,26.6,67.6,94.2
Amazonas,2022,2,2022-02-01,61.3,23.3,84.5
Antioquia,2022,2,2022-02-01,4.8,19.8,24.7
Arauca,2022,2,2022-02-01,30.3,22.6,52.9
Atlantico,2022,2,2022-02-01,3.5,28.0,31.5
Bogota_DC,2022,2,2022-02-01,1.4,9.8,11.2
Bolivar,2022,2,2022-02-01,14.3,44.8,59.1
Boyaca,2022,2,2022-02-01,2.8,21.2,24.0
Caldas,2022,2,2022-02-01,2.9,18.6,21.4
Caqueta,2022,2,2022-02-01,24.3,22.9,47.2
Casanare,2022,2,2022-02-01,7.2,24.2,31.4
Cauca,2022,2,2022-02-01,12.4,37.8,50.2
Cesar,2022,2,2022-02-01,7.9,38.6,46.5
Choco,2022,2,2022-02-01,43.5,40.8,84.3
Cordoba,2022,2,2022-02-01,21.3,39.3,60.6
Cundinamarca,2022,2,2022-02-01,2.3,16.0,18.3
Guainia,2022,2,2022-02-01,56.2,30.8,87.0
Guaviare,2022,2,2022-02-01,47.9,19.2,67.0
Huila,2022,2,2022-02-01,4.3,27.4,31.8
La_Guajira,2022,2,2022-02-01,8.7,48.9,57.6
Magdalena,2022,2,2022-02-01,10.3,51.6,61.9
Meta,2022,2,2022-02-01,9.2,19.0,28.2
Narino,2022,2,2022-02-01,20.4,27.6,48.0
Norte_de_Santander,2022,2,2022-02-01,6.8,27.1,33.9
Putumayo,2022,2,2022-02-01,41.4,25.3,66.7
Quindio,2022,2,2022-02-01,3.2,9.3,12.4
Risaralda,2022,2,2022-02-01,2.9,14.4,17.3
Santander,2022,2,2022-02-01,5.9,22.6,28.4
Sucre,2022,2,2022-02-01,8.2,53.1,61.3
Tolima,2022,2,2022-02-01,4.0,24.1,28.1
Valle,2022,2,2022-02-01,4.5,14.1,18.6
Vaupes,2022,2,2022-02-01,83.0,8.3,91.3
Vichada,2022,2,2022-02-01,26.6,67.6,94.2
Amazonas,2022,3,2022-03-01,61.3,23.3,84.5
Antioquia,2022,3,2022-03-01,4.8,19.8,24.7
Arauca,2022,3,2022-03-01,30.3,22.6,52.9
Atlantico,2022,3,2022-03-01,3.5,28.0,31.5
Bogota_DC,2022,3,2022-03-01,1.4,9.8,11.2
Bolivar,2022,3,2022-03-01,14.3,44.8,59.1
Boyaca,2022,3,2022-03-01,2.8,21.2,24.0
Caldas,2022,3,2022-03-01,2.9,18.6,21.4
Caqueta,2022,3,2022-03-01,24.3,22.9,47.2
Casanare,2022,3,2022-03-01,7.2,24.2,31.4
Cauca,2022,3,2022-03-01,12.4,37.8,50.2
Cesar,2022,3,2022-03-01,7.9,38.6,46.5
Choco,2022,3,2022-03-01,43.5,40.8,84.3
Cordoba,2022,3,2022-03-01,21.3,39.3,60.6
Cundinamarca,2022,3,2022-03-01,2.3,16.0,18.3
Guainia,2022,3,2022-03-01,56.2,30.8,87.0
Guaviare,2022,3,2022-03-01,47.9,19.2,67.0
Huila,2022,3,2022-03-01,4.3,27.4,31.8
La_Guajira,2022,3,2022-03-01,8.7,48.9,57.6
Magdalena,2022,3,2022-03-01,10.3,51.6,61.9
Meta,2022,3,2022-03-01,9.2,19.0,28.2
Narino,2022,3,2022-03-01,20.4,27.6,48.0
Norte_de_Santander,2022,3,2022-03-01,6.8,27.1,33.9
Putumayo,2022,3,2022-03-01,41.4,25.3,66.7
Quindio,2022,3,2022-03-01,3.2,9.3,12.4
Risaralda,2022,3,2022-03-01,2.9,14.4,17.3
Santander,2022,3,2022-03-01,5.9,22.6,28.4
Sucre,2022,3,2022-03-01,8.2,53.1,61.3
Tolima,2022,3,2022-03-01,4.0,24.1,28.1
Valle,2022,3,2022-03-01,4.5,14.1,18.6
Vaupes,2022,3,2022-03-01,83.0,8.3,91.3
Vichada,2022,3,2022-03-01,26.6,67.6,94.2
Amazonas,2022,4,2022-04-01,61.3,23.3,84.5
Antioquia,2022,4,2022-04-01,4.8,19.8,24.7
Arauca,2022,4,2022-04-01,30.3,22.6,52.9
Atlantico,2022,4,2022-04-01,3.5,28.0,31.5
Bogota_DC,2022,4,2022-04-01,1.4,9.8,11.2
Bolivar,2022,4,2022-04-01,14.3,44.8,59.1
Boyaca,2022,4,2022-04-01,2.8,21.2,24.0
Caldas,2022,4,2022-04-01,2.9,18.6,21.4
Caqueta,2022,4,2022-04-01,24.3,22.9,47.2
Casanare,2022,4,2022-04-01,7.2,24.2,31.4
Cauca,2022,4,2022-04-01,12.4,37.8,50.2
Cesar,2022,4,2022-04-01,7.9,38.6,46.5
Choco,2022,4,2022-04-01,43.5,40.8,84.3
Cordoba,2022,4,2022-04-01,21.3,39.3,60.6
Cundinamarca,2022,4,2022-04-01,2.3,16.0,18.3
Guainia,2022,4,2022-04-01,56.2,30.8,87.0
Guaviare,2022,4,2022-04-01,47.9,19.2,67.0
Huila,2022,4,2022-04-01,4.3,27.4,31.8
La_Guajira,2022,4,2022-04-01,8.7,48.9,57.6
Magdalena,2022,4,2022-04-01,10.3,51.6,61.9
Meta,2022,4,2022-04-01,9.2,19.0,28.2
Narino,2022,4,2022-04-01,20.4,27.6,48.0
Norte_de_Santander,2022,4,2022-04-01,6.8,27.1,33.9
Putumayo,2022,4,2022-04-01,41.4,25.3,66.7
Quindio,2022,4,2022-04-01,3.2,9.3,12.4
Risaralda,2022,4,2022-04-01,2.9,14.4,17.3
Santander,2022,4,2022-04-01,5.9,22.6,28.4
Sucre,2022,4,2022-04-01,8.2,53.1,61.3
Tolima,2022,4,2022-04-01,4.0,24.1,28.1
Valle,2022,4,2022-04-01,4.5,14.1,18.6
Vaupes,2022,4,2022-04-01,83.0,8.3,91.3
Vichada,2022,4,2022-04-01,26.6,67.6,94.2
Amazonas,2022,5,2022-05-01,61.3,23.3,84.5
Antioquia,2022,5,2022-05-01,4.8,19.8,24.7
Arauca,2022,5,2022-05-01,30.3,22.6,52.9
Atlantico,2022,5,2022-05-01,3.5,28.0,31.5
Bogota_DC,2022,5,2022-05-01,1.4,9.8,11.2
Bolivar,2022,5,2022-05-01,14.3,44.8,59.1
Boyaca,2022,5,2022-05-01,2.8,21.2,24.0
Caldas,2022,5,2022-05-01,2.9,18.6,21.4
Caqueta,2022,5,2022-05-01,24.3,22.9,47.2
Casanare,2022,5,2022-05-01,7.2,24.2,31.4
Cauca,2022,5,2022-05-01,12.4,37.8,50.2
Cesar,2022,5,2022-05-01,7.9,38.6,46.5
Choco,2022,5,2022-05-01,43.5,40.8,84.3
Cordoba,2022,5,2022-05-01,21.3,39.3,60.6
Cundinamarca,2022,5,2022-05-01,2.3,16.0,18.3
Guainia,2022,5,2022-05-01,56.2,30.8,87.0
Guaviare,2022,5,2022-05-01,47.9,19.2,67.0
Huila,2022,5,2022-05-01,4.3,27.4,31.8
La_Guajira,2022,5,2022-05-01,8.7,48.9,57.6
Magdalena,2022,5,2022-05-01,10.3,51.6,61.9
Meta,2022,5,2022-05-01,9.2,19.0,28.2
Narino,2022,5,2022-05-01,20.4,27.6,48.0
Norte_de_Santander,2022,5,2022-05-01,6.8,27.1,33.9
Putumayo,2022,5,2022-05-01,41.4,25.3,66.7
Quindio,2022,5,2022-05-01,3.2,9.3,12.4
Risaralda,2022,5,2022-05-01,2.9,14.4,17.3
Santander,2022,5,2022-05-01,5.9,22.6,28.4
Sucre,2022,5,2022-05-01,8.2,53.1,61.3
Tolima,2022,5,2022-05-01,4.0,24.1,28.1
Valle,2022,5,2022-05-01,4.5,14.1,18.6
Vaupes,2022,5,2022-05-01,83.0,8.3,91.3
Vichada,2022,5,2022-05-01,26.6,67.6,94.2
Amazonas,2022,6,2022-06-01,61.3,23.3,84.5
Antioquia,2022,6,2022-06-01,4.8,19.8,24.7
Arauca,2022,6,2022-06-01,30.3,22.6,52.9
Atlantico,2022,6,2022-06-01,3.5,28.0,31.5
Bogota_DC,2022,6,2022-06-01,1.4,9.8,11.2
Bolivar,2022,6,2022-06-01,14.3,44.8,59.1
Boyaca,2022,6,2022-06-01,2.8,21.2,24.0
Caldas,2022,6,2022-06-01,2.9,18.6,21.4
Caqueta,2022,6,2022-06-01,24.3,22.9,47.2
Casanare,2022,6,2022-06-01,7.2,24.2,31.4
Cauca,2022,6,2022-06-01,12.4,37.8,50.2
Cesar,2022,6,2022-06-01,7.9,38.6,46.5
Choco,2022,6,2022-06-01,43.5,40.8,84.3
Cordoba,2022,6,2022-06-01,21.3,39.3,60.6
Cundinamarca,2022,6,2022-06-01,2.3,16.0,18.3
Guainia,2022,6,2022-06-01,56.2,30.8,87.0
Guaviare,2022,6,2022-06-01,47.9,19.2,67.0
Huila,2022,6,2022-06-01,4.3,27.4,31.8
La_Guajira,2022,6,2022-06-01,8.7,48.9,57.6
Magdalena,2022,6,2022-06-01,10.3,51.6,61.9
Meta,2022,6,2022-06-01,9.2,19.0,28.2
Narino,2022,6,2022-06-01,20.4,27.6,48.0
Norte_de_Santander,2022,6,2022-06-01,6.8,27.1,33.9
Putumayo,2022,6,2022-06-01,41.4,25.3,66.7
Quindio,2022,6,2022-06-01,3.2,9.3,12.4
Risaralda,2022,6,2022-06-01,2.9,14.4,17.3
Santander,2022,6,2022-06-01,5.9,22.6,28.4
Sucre,2022,6,2022-06-01,8.2,53.1,61.3
Tolima,2022,6,2022-06-01,4.0,24.1,28.1
Valle,2022,6,2022-06-01,4.5,14.1,18.6
Vaupes,2022,6,2022-06-01,83.0,8.3,91.3
Vichada,2022,6,2022-06-01,26.6,67.6,94.2
Amazonas,2022,7,2022-07-01,61.3,23.3,84.5
Antioquia,2022,7,2022-07-01,4.8,19.8,24.7
Arauca,2022,7,2022-07-01,30.3,22.6,52.9
Atlantico,2022,7,2022-07-01,3.5,28.0,31.5
Bogota_DC,2022,7,2022-07-01,1.4,9.8,11.2
Bolivar,2022,7,2022-07-01,14.3,44.8,59.1
Boyaca,2022,7,2022-07-01,2.8,21.2,24.0
Caldas,2022,7,2022-07-01,2.9,18.6,21.4
Caqueta,2022,7,2022-07-01,24.3,22.9,47.2
Casanare,2022,7,2022-07-01,7.2,24.2,31.4
Cauca,2022,7,2022-07-01,12.4,37.8,50.2
Cesar,2022,7,2022-07-01,7.9,38.6,46.5
Choco,2022,7,2022-07-01,43.5,40.8,84.3
Cordoba,2022,7,2022-07-01,21.3,39.3,60.6
Cundinamarca,2022,7,2022-07-01,2.3,16.0,18.3
Guainia,2022,7,2022-07-01,56.2,30.8,87.0
Guaviare,2022,7,2022-07-01,47.9,19.2,67.0
Huila,2022,7,2022-07-01,4.3,27.4,31.8
La_Guajira,2022,7,2022-07-01,8.7,48.9,57.6
Magdalena,2022,7,2022-07-01,10.3,51.6,61.9
Meta,2022,7,2022-07-01,9.2,19.0,28.2
Narino,2022,7,2022-07-01,20.4,27.6,48.0
Norte_de_Santander,2022,7,2022-07-01,6.8,27.1,33.9
Putumayo,2022,7,2022-07-01,41.4,25.3,66.7
Quindio,2022,7,2022-07-01,3.2,9.3,12.4
Risaralda,2022,7,2022-07-01,2.9,14.4,17.3
Santander,2022,7,2022-07-01,5.9,22.6,28.4
Sucre,2022,7,2022-07-01,8.2,53.1,61.3
Tolima,2022,7,2022-07-01,4.0,24.1,28.1
Valle,2022,7,2022-07-01,4.5,14.1,18.6
Vaupes,2022,7,2022-07-01,83.0,8.3,91.3
Vichada,2022,7,2022-07-01,26.6,67.6,94.2
Amazonas,2022,8,2022-08-01,61.3,23.3,84.5
Antioquia,2022,8,2022-08-01,4.8,19.8,24.7
Arauca,2022,8,2022-08-01,30.3,22.6,52.9
Atlantico,2022,8,2022-08-01,3.5,28.0,31.5
Bogota_DC,2022,8,2022-08-01,1.4,9.8,11.2
Bolivar,2022,8,2022-08-01,14.3,44.8,59.1
Boyaca,2022,8,2022-08-01,2.8,21.2,24.0
Caldas,2022,8,2022-08-01,2.9,18.6,21.4
Caqueta,2022,8,2022-08-01,24.3,22.9,47.2
Casanare,2022,8,2022-08-01,7.2,24.2,31.4
Cauca,2022,8,2022-08-01,12.4,37.8,50.2
Cesar,2022,8,2022-08-01,7.9,38.6,46.5
Choco,2022,8,2022-08-01,43.5,40.8,84.3
Cordoba,2022,8,2022-08-01,21.3,39.3,60.6
Cundinamarca,2022,8,2022-08-01,2.3,16.0,18.3
Guainia,2022,8,2022-08-01,56.2,30.8,87.0
Guaviare,2022,8,2022-08-01,47.9,19.2,67.0
Huila,2022,8,2022-08-01,4.3,27.4,31.8
La_Guajira,2022,8,2022-08-01,8.7,48.9,57.6
Magdalena,2022,8,2022-08-01,10.3,51.6,61.9
Meta,2022,8,2022-08-01,9.2,19.0,28.2
Narino,2022,8,2022-08-01,20.4,27.6,48.0
Norte_de_Santander,2022,8,2022-08-01,6.8,27.1,33.9
Putumayo,2022,8,2022-08-01,41.4,25.3,66.7
Quindio,2022,8,2022-08-01,3.2,9.3,12.4
Risaralda,2022,8,2022-08-01,2.9,14.4,17.3
Santander,2022,8,2022-08-01,5.9,22.6,28.4
Sucre,2022,8,2022-08-01,8.2,53.1,61.3
Tolima,2022,8,2022-08-01,4.0,24.1,28.1
Valle,2022,8,2022-08-01,4.5,14.1,18.6
Vaupes,2022,8,2022-08-01,83.0,8.3,91.3
Vichada,2022,8,2022-08-01,26.6,67.6,94.2
Amazonas,2022,9,2022-09-01,61.3,23.3,84.5
Antioquia,2022,9,2022-09-01,4.8,19.8,24.7
Arauca,2022,9,2022-09-01,30.3,22.6,52.9
Atlantico,2022,9,2022-09-01,3.5,28.0,31.5
Bogota_DC,2022,9,2022-09-01,1.4,9.8,11.2
Bolivar,2022,9,2022-09-01,14.3,44.8,59.1
Boyaca,2022,9,2022-09-01,2.8,21.2,24.0
Caldas,2022,9,2022-09-01,2.9,18.6,21.4
Caqueta,2022,9,2022-09-01,24.3,22.9,47.2
Casanare,2022,9,2022-09-01,7.2,24.2,31.4
Cauca,2022,9,2022-09-01,12.4,37.8,50.2
Cesar,2022,9,2022-09-01,7.9,38.6,46.5
Choco,2022,9,2022-09-01,43.5,40.8,84.3
Cordoba,2022,9,2022-09-01,21.3,39.3,60.6
Cundinamarca,2022,9,2022-09-01,2.3,16.0,18.3
Guainia,2022,9,2022-09-01,56.2,30.8,87.0
Guaviare,2022,9,2022-09-01,47.9,19.2,67.0
Huila,2022,9,2022-09-01,4.3,27.4,31.8
La_Guajira,2022,9,2022-09-01,8.7,48.9,57.6
Magdalena,2022,9,2022-09-01,10.3,51.6,61.9
Meta,2022,9,2022-09-01,9.2,19.0,28.2
Narino,2022,9,2022-09-01,20.4,27.6,48.0
Norte_de_Santander,2022,9,2022-09-01,6.8,27.1,33.9
Putumayo,2022,9,2022-09-01,41.4,25.3,66.7
Quindio,2022,9,2022-09-01,3.2,9.3,12.4
Risaralda,2022,9,2022-09-01,2.9,14.4,17.3
Santander,2022,9,2022-09-01,5.9,22.6,28.4
Sucre,2022,9,2022-09-01,8.2,53.1,61.3
Tolima,2022,9,2022-09-01,4.0,24.1,28.1
Valle,2022,9,2022-09-01,4.5,14.1,18.6
Vaupes,2022,9,2022-09-01,83.0,8.3,91.3
Vichada,2022,9,2022-09-01,26.6,67.6,94.2
Amazonas,2022,10,2022-10-01,61.3,23.3,84.5
Antioquia,2022,10,2022-10-01,4.8,19.8,24.7
Arauca,2022,10,2022-10-01,30.3,22.6,52.9
Atlantico,2022,10,2022-10-01,3.5,28.0,31.5
Bogota_DC,2022,10,2022-10-01,1.4,9.8,11.2
Bolivar,2022,10,2022-10-01,14.3,44.8,59.1
Boyaca,2022,10,2022-10-01,2.8,21.2,24.0
Caldas,2022,10,2022-10-01,2.9,18.6,21.4
Caqueta,2022,10,2022-10-01,24.3,22.9,47.2
Casanare,2022,10,2022-10-01,7.2,24.2,31.4
Cauca,2022,10,2022-10-01,12.4,37.8,50.2
Cesar,2022,10,2022-10-01,7.9,38.6,46.5
Choco,2022,10,2022-10-01,43.5,40.8,84.3
Cordoba,2022,10,2022-10-01,21.3,39.3,60.6
Cundinamarca,2022,10,2022-10-01,2.3,16.0,18.3
Guainia,2022,10,2022-10-01,56.2,30.8,87.0
Guaviare,2022,10,2022-10-01,47.9,19.2,67.0
Huila,2022,10,2022-10-01,4.3,27.4,31.8
La_Guajira,2022,10,2022-10-01,8.7,48.9,57.6
Magdalena,2022,10,2022-10-01,10.3,51.6,61.9
Meta,2022,10,2022-10-01,9.2,19.0,28.2
Narino,2022,10,2022-10-01,20.4,27.6,48.0
Norte_de_Santander,2022,10,2022-10-01,6.8,27.1,33.9
Putumayo,2022,10,2022-10-01,41.4,25.3,66.7
Quindio,2022,10,2022-10-01,3.2,9.3,12.4
Risaralda,2022,10,2022-10-01,2.9,14.4,17.3
Santander,2022,10,2022-10-01,5.9,22.6,28.4
Sucre,2022,10,2022-10-01,8.2,53.1,61.3
Tolima,2022,10,2022-10-01,4.0,24.1,28.1
Valle,2022,10,2022-10-01,4.5,14.1,18.6
Vaupes,2022,10,2022-10-01,83.0,8.3,91.3
Vichada,2022,10,2022-10-01,26.6,67.6,94.2
Amazonas,2022,11,2022-11-01,61.3,23.3,84.5
Antioquia,2022,11,2022-11-01,4.8,19.8,24.7
Arauca,2022,11,2022-11-01,30.3,22.6,52.9
Atlantico,2022,11,2022-11-01,3.5,28.0,31.5
Bogota_DC,2022,11,2022-11-01,1.4,9.8,11.2
Bolivar,2022,11,2022-11-01,14.3,44.8,59.1
Boyaca,2022,11,2022-11-01,2.8,21.2,24.0
Caldas,2022,11,2022-11-01,2.9,18.6,21.4
Caqueta,2022,11,2022-11-01,24.3,22.9,47.2
Casanare,2022,11,2022-11-01,7.2,24.2,31.4
Cauca,2022,11,2022-11-01,12.4,37.8,50.2
Cesar,2022,11,2022-11-01,7.9,38.6,46.5
Choco,2022,11,2022-11-01,43.5,40.8,84.3
Cordoba,2022,11,2022-11-01,21.3,39.3,60.6
Cundinamarca,2022,11,2022-11-01,2.3,16.0,18.3
Guainia,2022,11,2022-11-01,56.2,30.8,87.0
Guaviare,2022,11,2022-11-01,47.9,19.2,67.0
Huila,2022,11,2022-11-01,4.3,27.4,31.8
La_Guajira,2022,11,2022-11-01,8.7,48.9,57.6
Magdalena,2022,11,2022-11-01,10.3,51.6,61.9
Meta,2022,11,2022-11-01,9.2,19.0,28.2
Narino,2022,11,2022-11-01,20.4,27.6,48.0
Norte_de_Santander,2022,11,2022-11-01,6.8,27.1,33.9
Putumayo,2022,11,2022-11-01,41.4,25.3,66.7
Quindio,2022,11,2022-11-01,3.2,9.3,12.4
Risaralda,2022,11,2022-11-01,2.9,14.4,17.3
Santander,2022,11,2022-11-01,5.9,22.6,28.4
Sucre,2022,11,2022-11-01,8.2,53.1,61.3
Tolima,2022,11,2022-11-01,4.0,24.1,28.1
Valle,2022,11,2022-11-01,4.5,14.1,18.6
Vaupes,2022,11,2022-11-01,83.0,8.3,91.3
Vichada,2022,11,2022-11-01,26.6,67.6,94.2
Amazonas,2022,12,2022-12-01,61.3,23.3,84.5
Antioquia,2022,12,2022-12-01,4.8,19.8,24.7
Arauca,2022,12,2022-12-01,30.3,22.6,52.9
Atlantico,2022,12,2022-12-01,3.5,28.0,31.5
Bogota_DC,2022,12,2022-12-01,1.4,9.8,11.2
Bolivar,2022,12,2022-12-01,14.3,44.8,59.1
Boyaca,2022,12,2022-12-01,2.8,21.2,24.0
Caldas,2022,12,2022-12-01,2.9,18.6,21.4
Caqueta,2022,12,2022-12-01,24.3,22.9,47.2
Casanare,2022,12,2022-12-01,7.2,24.2,31.4
Cauca,2022,12,2022-12-01,12.4,37.8,50.2
Cesar,2022,12,2022-12-01,7.9,38.6,46.5
Choco,2022,12,2022-12-01,43.5,40.8,84.3
Cordoba,2022,12,2022-12-01,21.3,39.3,60.6
Cundinamarca,2022,12,2022-12-01,2.3,16.0,18.3
Guainia,2022,12,2022-12-01,56.2,30.8,87.0
Guaviare,2022,12,2022-12-01,47.9,19.2,67.0
Huila,2022,12,2022-12-01,4.3,27.4,31.8
La_Guajira,2022,12,2022-12-01,8.7,48.9,57.6
Magdalena,2022,12,2022-12-01,10.3,51.6,61.9
Meta,2022,12,2022-12-01,9.2,19.0,28.2
Narino,2022,12,2022-12-01,20.4,27.6,48.0
Norte_de_Santander,2022,12,2022-12-01,6.8,27.1,33.9
Putumayo,2022,12,2022-12-01,41.4,25.3,66.7
Quindio,2022,12,2022-12-01,3.2,9.3,12.4
Risaralda,2022,12,2022-12-01,2.9,14.4,17.3
Santander,2022,12,2022-12-01,5.9,22.6,28.4
Sucre,2022,12,2022-12-01,8.2,53.1,61.3
Tolima,2022,12,2022-12-01,4.0,24.1,28.1
Valle,2022,12,2022-12-01,4.5,14.1,18.6
