departamento,a√±o,mes,fecha,Deficit_cuantitativo,Deficit_cualitativo,Deficit_habitacional
Vaupes,2022,12,2022-12-01,83.0,8.3,91.3
Vichada,2022,12,2022-12-01,26.6,67.6,94.2
Amazonas,2023,1,2023-01-01,50.7,31.5,82.2
Antioquia,2023,1,2023-01-01,3.9,19.4,23.3
Arauca,2023,1,2023-01-01,30.1,20.8,50.9
Atlantico,2023,1,2023-01-01,3.1,26.0,29.0
Bogota_DC,2023,1,2023-01-01,0.7,10.4,11.1
Bolivar,2023,1,2023-01-01,13.1,47.6,60.7
Boyaca,2023,1,2023-01-01,1.8,18.3,20.1
Caldas,2023,1,2023-01-01,2.9,16.7,19.7
Caqueta,2023,1,2023-01-01,22.3,18.3,40.6
Casanare,2023,1,2023-01-01,6.1,23.9,30.0
Cauca,2023,1,2023-01-01,9.0,35.1,44.2
Cesar,2023,1,2023-01-01,9.1,35.9,45.0
Choco,2023,1,2023-01-01,46.9,41.5,88.4
Cordoba,2023,1,2023-01-01,19.6,36.5,56.1
Cundinamarca,2023,1,2023-01-01,0.9,16.0,17.0
Guainia,2023,1,2023-01-01,52.1,32.5,84.6
Guaviare,2023,1,2023-01-01,43.2,19.2,62.4
Huila,2023,1,2023-01-01,4.1,24.3,28.5
La_Guajira,2023,1,2023-01-01,6.7,46.2,52.9
Magdalena,2023,1,2023-01-01,10.8,48.0,58.8
Meta,2023,1,2023-01-01,8.3,18.4,26.7
Narino,2023,1,2023-01-01,20.3,25.5,45.8
Norte_de_Santander,2023,1,2023-01-01,11.0,29.4,40.4
Putumayo,2023,1,2023-01-01,38.0,24.8,62.8
Quindio,2023,1,2023-01-01,3.8,10.6,14.4
Risaralda,2023,1,2023-01-01,3.3,19.3,22.6
Santander,2023,1,2023-01-01,4.8,18.3,23.1
Sucre,2023,1,2023-01-01,9.9,48.7,58.6
Tolima,2023,1,2023-01-01,5.2,21.5,26.8
Valle,2023,1,2023-01-01,3.9,11.5,15.4
Vaupes,2023,1,2023-01-01,84.3,6.3,90.6
Vichada,2023,1,2023-01-01,43.1,49.1,92.2
Amazonas,2023,2,2023-02-01,50.7,31.5,82.2
Antioquia,2023,2,2023-02-01,3.9,19.4,23.3
Arauca,2023,2,2023-02-01,30.1,20.8,50.9
Atlantico,2023,2,2023-02-01,3.1,26.0,29.0
Bogota_DC,2023,2,2023-02-01,0.7,10.4,11.1
Bolivar,2023,2,2023-02-01,13.1,47.6,60.7
Boyaca,2023,2,2023-02-01,1.8,18.3,20.1
Caldas,2023,2,2023-02-01,2.9,16.7,19.7
Caqueta,2023,2,2023-02-01,22.3,18.3,40.6
Casanare,2023,2,2023-02-01,6.1,23.9,30.0
Cauca,2023,2,2023-02-01,9.0,35.1,44.2
Cesar,2023,2,2023-02-01,9.1,35.9,45.0
Choco,2023,2,2023-02-01,46.9,41.5,88.4
Cordoba,2023,2,2023-02-01,19.6,36.5,56.1
Cundinamarca,2023,2,2023-02-01,0.9,16.0,17.0
Guainia,2023,2,2023-02-01,52.1,32.5,84.6
Guaviare,2023,2,2023-02-01,43.2,19.2,62.4
Huila,2023,2,2023-02-01,4.1,24.3,28.5
La_Guajira,2023,2,2023-02-01,6.7,46.2,52.9
Magdalena,2023,2,2023-02-01,10.8,48.0,58.8
Meta,2023,2,2023-02-01,8.3,18.4,26.7
Narino,2023,2,2023-02-01,20.3,25.5,45.8
Norte_de_Santander,2023,2,2023-02-01,11.0,29.4,40.4
Putumayo,2023,2,2023-02-01,38.0,24.8,62.8
Quindio,2023,2,2023-02-01,3.8,10.6,14.4
Risaralda,2023,2,2023-02-01,3.3,19.3,22.6
Santander,2023,2,2023-02-01,4.8,18.3,23.1
Sucre,2023,2,2023-02-01,9.9,48.7,58.6
Tolima,2023,2,2023-02-01,5.2,21.5,26.8
Valle,2023,2,2023-02-01,3.9,11.5,15.4
Vaupes,2023,2,2023-02-01,84.3,6.3,90.6
Vichada,2023,2,2023-02-01,43.1,49.1,92.2
Amazonas,2023,3,2023-03-01,50.7,31.5,82.2
Antioquia,2023,3,2023-03-01,3.9,19.4,23.3
Arauca,2023,3,2023-03-01,30.1,20.8,50.9
Atlantico,2023,3,2023-03-01,3.1,26.0,29.0
Bogota_DC,2023,3,2023-03-01,0.7,10.4,11.1
Bolivar,2023,3,2023-03-01,13.1,47.6,60.7
Boyaca,2023,3,2023-03-01,1.8,18.3,20.1
Caldas,2023,3,2023-03-01,2.9,16.7,19.7
Caqueta,2023,3,2023-03-01,22.3,18.3,40.6
Casanare,2023,3,2023-03-01,6.1,23.9,30.0
Cauca,2023,3,2023-03-01,9.0,35.1,44.2
Cesar,2023,3,2023-03-01,9.1,35.9,45.0
Choco,2023,3,2023-03-01,46.9,41.5,88.4
Cordoba,2023,3,2023-03-01,19.6,36.5,56.1
Cundinamarca,2023,3,2023-03-01,0.9,16.0,17.0
Guainia,2023,3,2023-03-01,52.1,32.5,84.6
Guaviare,2023,3,2023-03-01,43.2,19.2,62.4
Huila,2023,3,2023-03-01,4.1,24.3,28.5
La_Guajira,2023,3,2023-03-01,6.7,46.2,52.9
Magdalena,2023,3,2023-03-01,10.8,48.0,58.8
Meta,2023,3,2023-03-01,8.3,18.4,26.7
Narino,2023,3,2023-03-01,20.3,25.5,45.8
Norte_de_Santander,2023,3,2023-03-01,11.0,29.4,40.4
Putumayo,2023,3,2023-03-01,38.0,24.8,62.8
Quindio,2023,3,2023-03-01,3.8,10.6,14.4
Risaralda,2023,3,2023-03-01,3.3,19.3,22.6
Santander,2023,3,2023-03-01,4.8,18.3,23.1
Sucre,2023,3,2023-03-01,9.9,48.7,58.6
Tolima,2023,3,2023-03-01,5.2,21.5,26.8
Valle,2023,3,2023-03-01,3.9,11.5,15.4
Vaupes,2023,3,2023-03-01,84.3,6.3,90.6
Vichada,2023,3,2023-03-01,43.1,49.1,92.2
Amazonas,2023,4,2023-04-01,50.7,31.5,82.2
Antioquia,2023,4,2023-04-01,3.9,19.4,23.3
Arauca,2023,4,2023-04-01,30.1,20.8,50.9
Atlantico,2023,4,2023-04-01,3.1,26.0,29.0
Bogota_DC,2023,4,2023-04-01,0.7,10.4,11.1
Bolivar,2023,4,2023-04-01,13.1,47.6,60.7
Boyaca,2023,4,2023-04-01,1.8,18.3,20.1
Caldas,2023,4,2023-04-01,2.9,16.7,19.7
Caqueta,2023,4,2023-04-01,22.3,18.3,40.6
Casanare,2023,4,2023-04-01,6.1,23.9,30.0
Cauca,2023,4,2023-04-01,9.0,35.1,44.2
Cesar,2023,4,2023-04-01,9.1,35.9,45.0
Choco,2023,4,2023-04-01,46.9,41.5,88.4
Cordoba,2023,4,2023-04-01,19.6,36.5,56.1
Cundinamarca,2023,4,2023-04-01,0.9,16.0,17.0
Guainia,2023,4,2023-04-01,52.1,32.5,84.6
Guaviare,2023,4,2023-04-01,43.2,19.2,62.4
Huila,2023,4,2023-04-01,4.1,24.3,28.5
La_Guajira,2023,4,2023-04-01,6.7,46.2,52.9
Magdalena,2023,4,2023-04-01,10.8,48.0,58.8
Meta,2023,4,2023-04-01,8.3,18.4,26.7
Narino,2023,4,2023-04-01,20.3,25.5,45.8
Norte_de_Santander,2023,4,2023-04-01,11.0,29.4,40.4
Putumayo,2023,4,2023-04-01,38.0,24.8,62.8
Quindio,2023,4,2023-04-01,3.8,10.6,14.4
Risaralda,2023,4,2023-04-01,3.3,19.3,22.6
Santander,2023,4,2023-04-01,4.8,18.3,23.1
Sucre,2023,4,2023-04-01,9.9,48.7,58.6
Tolima,2023,4,2023-04-01,5.2,21.5,26.8
Valle,2023,4,2023-04-01,3.9,11.5,15.4
Vaupes,2023,4,2023-04-01,84.3,6.3,90.6
Vichada,2023,4,2023-04-01,43.1,49.1,92.2
Amazonas,2023,5,2023-05-01,50.7,31.5,82.2
Antioquia,2023,5,2023-05-01,3.9,19.4,23.3
Arauca,2023,5,2023-05-01,30.1,20.8,50.9
Atlantico,2023,5,2023-05-01,3.1,26.0,29.0
Bogota_DC,2023,5,2023-05-01,0.7,10.4,11.1
Bolivar,2023,5,2023-05-01,13.1,47.6,60.7
Boyaca,2023,5,2023-05-01,1.8,18.3,20.1
Caldas,2023,5,2023-05-01,2.9,16.7,19.7
Caqueta,2023,5,2023-05-01,22.3,18.3,40.6
Casanare,2023,5,2023-05-01,6.1,23.9,30.0
Cauca,2023,5,2023-05-01,9.0,35.1,44.2
Cesar,2023,5,2023-05-01,9.1,35.9,45.0
Choco,2023,5,2023-05-01,46.9,41.5,88.4
Cordoba,2023,5,2023-05-01,19.6,36.5,56.1
Cundinamarca,2023,5,2023-05-01,0.9,16.0,17.0
Guainia,2023,5,2023-05-01,52.1,32.5,84.6
Guaviare,2023,5,2023-05-01,43.2,19.2,62.4
Huila,2023,5,2023-05-01,4.1,24.3,28.5
La_Guajira,2023,5,2023-05-01,6.7,46.2,52.9
Magdalena,2023,5,2023-05-01,10.8,48.0,58.8
Meta,2023,5,2023-05-01,8.3,18.4,26.7
Narino,2023,5,2023-05-01,20.3,25.5,45.8
Norte_de_Santander,2023,5,2023-05-01,11.0,29.4,40.4
Putumayo,2023,5,2023-05-01,38.0,24.8,62.8
Quindio,2023,5,2023-05-01,3.8,10.6,14.4
Risaralda,2023,5,2023-05-01,3.3,19.3,22.6
Santander,2023,5,2023-05-01,4.8,18.3,23.1
Sucre,2023,5,2023-05-01,9.9,48.7,58.6
Tolima,2023,5,2023-05-01,5.2,21.5,26.8
Valle,2023,5,2023-05-01,3.9,11.5,15.4
Vaupes,2023,5,2023-05-01,84.3,6.3,90.6
Vichada,2023,5,2023-05-01,43.1,49.1,92.2
Amazonas,2023,6,2023-06-01,50.7,31.5,82.2
Antioquia,2023,6,2023-06-01,3.9,19.4,23.3
Arauca,2023,6,2023-06-01,30.1,20.8,50.9
Atlantico,2023,6,2023-06-01,3.1,26.0,29.0
Bogota_DC,2023,6,2023-06-01,0.7,10.4,11.1
Bolivar,2023,6,2023-06-01,13.1,47.6,60.7
Boyaca,2023,6,2023-06-01,1.8,18.3,20.1
Caldas,2023,6,2023-06-01,2.9,16.7,19.7
Caqueta,2023,6,2023-06-01,22.3,18.3,40.6
Casanare,2023,6,2023-06-01,6.1,23.9,30.0
Cauca,2023,6,2023-06-01,9.0,35.1,44.2
Cesar,2023,6,2023-06-01,9.1,35.9,45.0
Choco,2023,6,2023-06-01,46.9,41.5,88.4
Cordoba,2023,6,2023-06-01,19.6,36.5,56.1
Cundinamarca,2023,6,2023-06-01,0.9,16.0,17.0
Guainia,2023,6,2023-06-01,52.1,32.5,84.6
Guaviare,2023,6,2023-06-01,43.2,19.2,62.4
Huila,2023,6,2023-06-01,4.1,24.3,28.5
La_Guajira,2023,6,2023-06-01,6.7,46.2,52.9
Magdalena,2023,6,2023-06-01,10.8,48.0,58.8
Meta,2023,6,2023-06-01,8.3,18.4,26.7
Narino,2023,6,2023-06-01,20.3,25.5,45.8
Norte_de_Santander,2023,6,2023-06-01,11.0,29.4,40.4
Putumayo,2023,6,2023-06-01,38.0,24.8,62.8
Quindio,2023,6,2023-06-01,3.8,10.6,14.4
Risaralda,2023,6,2023-06-01,3.3,19.3,22.6
Santander,2023,6,2023-06-01,4.8,18.3,23.1
Sucre,2023,6,2023-06-01,9.9,48.7,58.6
Tolima,2023,6,2023-06-01,5.2,21.5,26.8
Valle,2023,6,2023-06-01,3.9,11.5,15.4
Vaupes,2023,6,2023-06-01,84.3,6.3,90.6
Vichada,2023,6,2023-06-01,43.1,49.1,92.2
Amazonas,2023,7,2023-07-01,50.7,31.5,82.2
Antioquia,2023,7,2023-07-01,3.9,19.4,23.3
Arauca,2023,7,2023-07-01,30.1,20.8,50.9
Atlantico,2023,7,2023-07-01,3.1,26.0,29.0
Bogota_DC,2023,7,2023-07-01,0.7,10.4,11.1
Bolivar,2023,7,2023-07-01,13.1,47.6,60.7
Boyaca,2023,7,2023-07-01,1.8,18.3,20.1
Caldas,2023,7,2023-07-01,2.9,16.7,19.7
Caqueta,2023,7,2023-07-01,22.3,18.3,40.6
Casanare,2023,7,2023-07-01,6.1,23.9,30.0
Cauca,2023,7,2023-07-01,9.0,35.1,44.2
Cesar,2023,7,2023-07-01,9.1,35.9,45.0
Choco,2023,7,2023-07-01,46.9,41.5,88.4
Cordoba,2023,7,2023-07-01,19.6,36.5,56.1
Cundinamarca,2023,7,2023-07-01,0.9,16.0,17.0
Guainia,2023,7,2023-07-01,52.1,32.5,84.6
Guaviare,2023,7,2023-07-01,43.2,19.2,62.4
Huila,2023,7,2023-07-01,4.1,24.3,28.5
La_Guajira,2023,7,2023-07-01,6.7,46.2,52.9
Magdalena,2023,7,2023-07-01,10.8,48.0,58.8
Meta,2023,7,2023-07-01,8.3,18.4,26.7
Narino,2023,7,2023-07-01,20.3,25.5,45.8
Norte_de_Santander,2023,7,2023-07-01,11.0,29.4,40.4
Putumayo,2023,7,2023-07-01,38.0,24.8,62.8
Quindio,2023,7,2023-07-01,3.8,10.6,14.4
Risaralda,2023,7,2023-07-01,3.3,19.3,22.6
Santander,2023,7,2023-07-01,4.8,18.3,23.1
Sucre,2023,7,2023-07-01,9.9,48.7,58.6
Tolima,2023,7,2023-07-01,5.2,21.5,26.8
Valle,2023,7,2023-07-01,3.9,11.5,15.4
Vaupes,2023,7,2023-07-01,84.3,6.3,90.6
Vichada,2023,7,2023-07-01,43.1,49.1,92.2
Amazonas,2023,8,2023-08-01,50.7,31.5,82.2
Antioquia,2023,8,2023-08-01,3.9,19.4,23.3
Arauca,2023,8,2023-08-01,30.1,20.8,50.9
Atlantico,2023,8,2023-08-01,3.1,26.0,29.0
Bogota_DC,2023,8,2023-08-01,0.7,10.4,11.1
Bolivar,2023,8,2023-08-01,13.1,47.6,60.7
Boyaca,2023,8,2023-08-01,1.8,18.3,20.1
Caldas,2023,8,2023-08-01,2.9,16.7,19.7
Caqueta,2023,8,2023-08-01,22.3,18.3,40.6
Casanare,2023,8,2023-08-01,6.1,23.9,30.0
Cauca,2023,8,2023-08-01,9.0,35.1,44.2
Cesar,2023,8,2023-08-01,9.1,35.9,45.0
Choco,2023,8,2023-08-01,46.9,41.5,88.4
Cordoba,2023,8,2023-08-01,19.6,36.5,56.1
Cundinamarca,2023,8,2023-08-01,0.9,16.0,17.0
Guainia,2023,8,2023-08-01,52.1,32.5,84.6
Guaviare,2023,8,2023-08-01,43.2,19.2,62.4
Huila,2023,8,2023-08-01,4.1,24.3,28.5
La_Guajira,2023,8,2023-08-01,6.7,46.2,52.9
Magdalena,2023,8,2023-08-01,10.8,48.0,58.8
Meta,2023,8,2023-08-01,8.3,18.4,26.7
Narino,2023,8,2023-08-01,20.3,25.5,45.8
Norte_de_Santander,2023,8,2023-08-01,11.0,29.4,40.4
Putumayo,2023,8,2023-08-01,38.0,24.8,62.8
Quindio,2023,8,2023-08-01,3.8,10.6,14.4
Risaralda,2023,8,2023-08-01,3.3,19.3,22.6
Santander,2023,8,2023-08-01,4.8,18.3,23.1
Sucre,2023,8,2023-08-01,9.9,48.7,58.6
Tolima,2023,8,2023-08-01,5.2,21.5,26.8
Valle,2023,8,2023-08-01,3.9,11.5,15.4
Vaupes,2023,8,2023-08-01,84.3,6.3,90.6
Vichada,2023,8,2023-08-01,43.1,49.1,92.2
Amazonas,2023,9,2023-09-01,50.7,31.5,82.2
Antioquia,2023,9,2023-09-01,3.9,19.4,23.3
Arauca,2023,9,2023-09-01,30.1,20.8,50.9
Atlantico,2023,9,2023-09-01,3.1,26.0,29.0
Bogota_DC,2023,9,2023-09-01,0.7,10.4,11.1
Bolivar,2023,9,2023-09-01,13.1,47.6,60.7
Boyaca,2023,9,2023-09-01,1.8,18.3,20.1
Caldas,2023,9,2023-09-01,2.9,16.7,19.7
Caqueta,2023,9,2023-09-01,22.3,18.3,40.6
Casanare,2023,9,2023-09-01,6.1,23.9,30.0
Cauca,2023,9,2023-09-01,9.0,35.1,44.2
Cesar,2023,9,2023-09-01,9.1,35.9,45.0
Choco,2023,9,2023-09-01,46.9,41.5,88.4
Cordoba,2023,9,2023-09-01,19.6,36.5,56.1
Cundinamarca,2023,9,2023-09-01,0.9,16.0,17.0
Guainia,2023,9,2023-09-01,52.1,32.5,84.6
Guaviare,2023,9,2023-09-01,43.2,19.2,62.4
Huila,2023,9,2023-09-01,4.1,24.3,28.5
La_Guajira,2023,9,2023-09-01,6.7,46.2,52.9
Magdalena,2023,9,2023-09-01,10.8,48.0,58.8
Meta,2023,9,2023-09-01,8.3,18.4,26.7
Narino,2023,9,2023-09-01,20.3,25.5,45.8
Norte_de_Santander,2023,9,2023-09-01,11.0,29.4,40.4
Putumayo,2023,9,2023-09-01,38.0,24.8,62.8
Quindio,2023,9,2023-09-01,3.8,10.6,14.4
Risaralda,2023,9,2023-09-01,3.3,19.3,22.6
Santander,2023,9,2023-09-01,4.8,18.3,23.1
Sucre,2023,9,2023-09-01,9.9,48.7,58.6
Tolima,2023,9,2023-09-01,5.2,21.5,26.8
Valle,2023,9,2023-09-01,3.9,11.5,15.4
Vaupes,2023,9,2023-09-01,84.3,6.3,90.6
Vichada,2023,9,2023-09-01,43.1,49.1,92.2
Amazonas,2023,10,2023-10-01,50.7,31.5,82.2
Antioquia,2023,10,2023-10-01,3.9,19.4,23.3
Arauca,2023,10,2023-10-01,30.1,20.8,50.9
Atlantico,2023,10,2023-10-01,3.1,26.0,29.0
Bogota_DC,2023,10,2023-10-01,0.7,10.4,11.1
Bolivar,2023,10,2023-10-01,13.1,47.6,60.7
Boyaca,2023,10,2023-10-01,1.8,18.3,20.1
Caldas,2023,10,2023-10-01,2.9,16.7,19.7
Caqueta,2023,10,2023-10-01,22.3,18.3,40.6
Casanare,2023,10,2023-10-01,6.1,23.9,30.0
Cauca,2023,10,2023-10-01,9.0,35.1,44.2
Cesar,2023,10,2023-10-01,9.1,35.9,45.0
Choco,2023,10,2023-10-01,46.9,41.5,88.4
Cordoba,2023,10,2023-10-01,19.6,36.5,56.1
Cundinamarca,2023,10,2023-10-01,0.9,16.0,17.0
Guainia,2023,10,2023-10-01,52.1,32.5,84.6
Guaviare,2023,10,2023-10-01,43.2,19.2,62.4
Huila,2023,10,2023-10-01,4.1,24.3,28.5
La_Guajira,2023,10,2023-10-01,6.7,46.2,52.9
Magdalena,2023,10,2023-10-01,10.8,48.0,58.8
Meta,2023,10,2023-10-01,8.3,18.4,26.7
Narino,2023,10,2023-10-01,20.3,25.5,45.8
Norte_de_Santander,2023,10,2023-10-01,11.0,29.4,40.4
Putumayo,2023,10,2023-10-01,38.0,24.8,62.8
Quindio,2023,10,2023-10-01,3.8,10.6,14.4
Risaralda,2023,10,2023-10-01,3.3,19.3,22.6
Santander,2023,10,2023-10-01,4.8,18.3,23.1
Sucre,2023,10,2023-10-01,9.9,48.7,58.6
Tolima,2023,10,2023-10-01,5.2,21.5,26.8
Valle,2023,10,2023-10-01,3.9,11.5,15.4
Vaupes,2023,10,2023-10-01,84.3,6.3,90.6
Vichada,2023,10,2023-10-01,43.1,49.1,92.2
Amazonas,2023,11,2023-11-01,50.7,31.5,82.2
Antioquia,2023,11,2023-11-01,3.9,19.4,23.3
Arauca,2023,11,2023-11-01,30.1,20.8,50.9
Atlantico,2023,11,2023-11-01,3.1,26.0,29.0
Bogota_DC,2023,11,2023-11-01,0.7,10.4,11.1
Bolivar,2023,11,2023-11-01,13.1,47.6,60.7
Boyaca,2023,11,2023-11-01,1.8,18.3,20.1
Caldas,2023,11,2023-11-01,2.9,16.7,19.7
Caqueta,2023,11,2023-11-01,22.3,18.3,40.6
Casanare,2023,11,2023-11-01,6.1,23.9,30.0
Cauca,2023,11,2023-11-01,9.0,35.1,44.2
Cesar,2023,11,2023-11-01,9.1,35.9,45.0
Choco,2023,11,2023-11-01,46.9,41.5,88.4
Cordoba,2023,11,2023-11-01,19.6,36.5,56.1
Cundinamarca,2023,11,2023-11-01,0.9,16.0,17.0
Guainia,2023,11,2023-11-01,52.1,32.5,84.6
Guaviare,2023,11,2023-11-01,43.2,19.2,62.4
Huila,2023,11,2023-11-01,4.1,24.3,28.5
La_Guajira,2023,11,2023-11-01,6.7,46.2,52.9
Magdalena,2023,11,2023-11-01,10.8,48.0,58.8
Meta,2023,11,2023-11-01,8.3,18.4,26.7
Narino,2023,11,2023-11-01,20.3,25.5,45.8
Norte_de_Santander,2023,11,2023-11-01,11.0,29.4,40.4
Putumayo,2023,11,2023-11-01,38.0,24.8,62.8
Quindio,2023,11,2023-11-01,3.8,10.6,14.4
Risaralda,2023,11,2023-11-01,3.3,19.3,22.6
Santander,2023,11,2023-11-01,4.8,18.3,23.1
Sucre,2023,11,2023-11-01,9.9,48.7,58.6
Tolima,2023,11,2023-11-01,5.2,21.5,26.8
Valle,2023,11,2023-11-01,3.9,11.5,15.4
Vaupes,2023,11,2023-11-01,84.3,6.3,90.6
Vichada,2023,11,2023-11-01,43.1,49.1,92.2
Amazonas,2023,12,2023-12-01,50.7,31.5,82.2
Antioquia,2023,12,2023-12-01,3.9,19.4,23.3
Arauca,2023,12,2023-12-01,30.1,20.8,50.9
Atlantico,2023,12,2023-12-01,3.1,26.0,29.0
Bogota_DC,2023,12,2023-12-01,0.7,10.4,11.1
Bolivar,2023,12,2023-12-01,13.1,47.6,60.7
Boyaca,2023,12,2023-12-01,1.8,18.3,20.1
Caldas,2023,12,2023-12-01,2.9,16.7,19.7
Caqueta,2023,12,2023-12-01,22.3,18.3,40.6
Casanare,2023,12,2023-12-01,6.1,23.9,30.0
Cauca,2023,12,2023-12-01,9.0,35.1,44.2
Cesar,2023,12,2023-12-01,9.1,35.9,45.0
Choco,2023,12,2023-12-01,46.9,41.5,88.4
Cordoba,2023,12,2023-12-01,19.6,36.5,56.1
Cundinamarca,2023,12,2023-12-01,0.9,16.0,17.0
Guainia,2023,12,2023-12-01,52.1,32.5,84.6
Guaviare,2023,12,2023-12-01,43.2,19.2,62.4
Huila,2023,12,2023-12-01,4.1,24.3,28.5
La_Guajira,2023,12,2023-12-01,6.7,46.2,52.9
Magdalena,2023,12,2023-12-01,10.8,48.0,58.8
Meta,2023,12,2023-12-01,8.3,18.4,26.7
Narino,2023,12,2023-12-01,20.3,25.5,45.8
Norte_de_Santander,2023,12,2023-12-01,11.0,29.4,40.4
Putumayo,2023,12,2023-12-01,38.0,24.8,62.8
Quindio,2023,12,2023-12-01,3.8,10.6,14.4
Risaralda,2023,12,2023-12-01,3.3,19.3,22.6
Santander,2023,12,2023-12-01,4.8,18.3,23.1
Sucre,2023,12,2023-12-01,9.9,48.7,58.6
Tolima,2023,12,2023-12-01,5.2,21.5,26.8
Valle,2023,12,2023-12-01,3.9,11.5,15.4
