departamento,a√±o,mes,fecha,No_alcanzan_gastos_minimos,Alcanzan_gastos_minimos,Cubren_mas_gastos_minimos
Magdalena,2022,11,2022-11-01,54.0,43.7,2.3
Meta,2022,11,2022-11-01,46.8,48.9,4.2
Narino,2022,11,2022-11-01,63.6,32.7,3.7
Norte_de_Santander,2022,11,2022-11-01,41.0,54.4,4.6
Putumayo,2022,11,2022-11-01,43.6,54.0,2.4
Quindio,2022,11,2022-11-01,35.6,59.3,5.1
Risaralda,2022,11,2022-11-01,33.5,56.4,10.1
Santander,2022,11,2022-11-01,43.1,51.0,6.0
Sucre,2022,11,2022-11-01,72.0,24.3,3.7
Tolima,2022,11,2022-11-01,42.4,52.4,5.2
Valle,2022,11,2022-11-01,42.7,50.0,7.3
Vaupes,2022,11,2022-11-01,63.8,34.9,1.3
Vichada,2022,11,2022-11-01,51.1,46.9,2.0
Amazonas,2022,12,2022-12-01,43.9,52.2,3.9
Antioquia,2022,12,2022-12-01,34.4,54.6,11.0
Arauca,2022,12,2022-12-01,48.0,49.6,2.4
Atlantico,2022,12,2022-12-01,52.9,40.6,6.5
Bogota_DC,2022,12,2022-12-01,28.5,56.8,14.7
Bolivar,2022,12,2022-12-01,61.7,32.9,5.4
Boyaca,2022,12,2022-12-01,36.8,59.3,3.9
Caldas,2022,12,2022-12-01,32.2,56.2,11.6
Caqueta,2022,12,2022-12-01,39.7,57.2,3.1
Casanare,2022,12,2022-12-01,47.3,48.8,3.9
Cauca,2022,12,2022-12-01,50.6,46.4,3.0
Cesar,2022,12,2022-12-01,65.4,31.5,3.1
Choco,2022,12,2022-12-01,68.3,29.4,2.2
Cordoba,2022,12,2022-12-01,66.2,31.5,2.2
Cundinamarca,2022,12,2022-12-01,47.1,48.6,4.3
Guainia,2022,12,2022-12-01,46.0,49.6,4.4
Guaviare,2022,12,2022-12-01,58.3,39.9,1.8
Huila,2022,12,2022-12-01,52.6,44.2,3.2
La_Guajira,2022,12,2022-12-01,71.1,27.4,1.5
Magdalena,2022,12,2022-12-01,54.0,43.7,2.3
Meta,2022,12,2022-12-01,46.8,48.9,4.2
Narino,2022,12,2022-12-01,63.6,32.7,3.7
Norte_de_Santander,2022,12,2022-12-01,41.0,54.4,4.6
Putumayo,2022,12,2022-12-01,43.6,54.0,2.4
Quindio,2022,12,2022-12-01,35.6,59.3,5.1
Risaralda,2022,12,2022-12-01,33.5,56.4,10.1
Santander,2022,12,2022-12-01,43.1,51.0,6.0
Sucre,2022,12,2022-12-01,72.0,24.3,3.7
Tolima,2022,12,2022-12-01,42.4,52.4,5.2
Valle,2022,12,2022-12-01,42.7,50.0,7.3
Vaupes,2022,12,2022-12-01,63.8,34.9,1.3
Vichada,2022,12,2022-12-01,51.1,46.9,2.0
Amazonas,2023,1,2023-01-01,36.1,56.1,7.8
Antioquia,2023,1,2023-01-01,36.3,56.2,7.4
Arauca,2023,1,2023-01-01,45.1,52.8,2.1
Atlantico,2023,1,2023-01-01,48.9,42.2,9.0
Bogota_DC,2023,1,2023-01-01,24.8,58.4,16.9
Bolivar,2023,1,2023-01-01,46.8,47.0,6.2
Boyaca,2023,1,2023-01-01,37.7,57.9,4.4
Caldas,2023,1,2023-01-01,29.0,59.3,11.7
Caqueta,2023,1,2023-01-01,40.2,56.7,3.1
Casanare,2023,1,2023-01-01,43.5,51.9,4.7
Cauca,2023,1,2023-01-01,62.1,35.2,2.7
Cesar,2023,1,2023-01-01,53.2,43.7,3.1
Choco,2023,1,2023-01-01,52.5,44.5,2.9
Cordoba,2023,1,2023-01-01,47.3,48.6,4.1
Cundinamarca,2023,1,2023-01-01,35.1,56.5,8.4
Guainia,2023,1,2023-01-01,55.8,40.0,4.3
Guaviare,2023,1,2023-01-01,50.9,46.5,2.6
Huila,2023,1,2023-01-01,51.3,45.2,3.5
La_Guajira,2023,1,2023-01-01,66.3,32.3,1.4
Magdalena,2023,1,2023-01-01,56.9,39.6,3.5
Meta,2023,1,2023-01-01,46.5,49.5,4.0
Narino,2023,1,2023-01-01,53.2,44.1,2.7
Norte_de_Santander,2023,1,2023-01-01,40.7,55.8,3.5
Putumayo,2023,1,2023-01-01,37.7,59.4,2.9
Quindio,2023,1,2023-01-01,42.1,50.0,7.9
Risaralda,2023,1,2023-01-01,28.1,64.6,7.2
Santander,2023,1,2023-01-01,32.0,60.4,7.6
Sucre,2023,1,2023-01-01,63.6,34.7,1.7
Tolima,2023,1,2023-01-01,51.4,43.9,4.7
Valle,2023,1,2023-01-01,34.4,56.0,9.5
Vaupes,2023,1,2023-01-01,70.4,28.6,1.0
Vichada,2023,1,2023-01-01,57.9,41.2,0.8
Amazonas,2023,2,2023-02-01,36.1,56.1,7.8
Antioquia,2023,2,2023-02-01,36.3,56.2,7.4
Arauca,2023,2,2023-02-01,45.1,52.8,2.1
Atlantico,2023,2,2023-02-01,48.9,42.2,9.0
Bogota_DC,2023,2,2023-02-01,24.8,58.4,16.9
Bolivar,2023,2,2023-02-01,46.8,47.0,6.2
Boyaca,2023,2,2023-02-01,37.7,57.9,4.4
Caldas,2023,2,2023-02-01,29.0,59.3,11.7
Caqueta,2023,2,2023-02-01,40.2,56.7,3.1
Casanare,2023,2,2023-02-01,43.5,51.9,4.7
Cauca,2023,2,2023-02-01,62.1,35.2,2.7
Cesar,2023,2,2023-02-01,53.2,43.7,3.1
Choco,2023,2,2023-02-01,52.5,44.5,2.9
Cordoba,2023,2,2023-02-01,47.3,48.6,4.1
Cundinamarca,2023,2,2023-02-01,35.1,56.5,8.4
Guainia,2023,2,2023-02-01,55.8,40.0,4.3
Guaviare,2023,2,2023-02-01,50.9,46.5,2.6
Huila,2023,2,2023-02-01,51.3,45.2,3.5
La_Guajira,2023,2,2023-02-01,66.3,32.3,1.4
Magdalena,2023,2,2023-02-01,56.9,39.6,3.5
Meta,2023,2,2023-02-01,46.5,49.5,4.0
Narino,2023,2,2023-02-01,53.2,44.1,2.7
Norte_de_Santander,2023,2,2023-02-01,40.7,55.8,3.5
Putumayo,2023,2,2023-02-01,37.7,59.4,2.9
Quindio,2023,2,2023-02-01,42.1,50.0,7.9
Risaralda,2023,2,2023-02-01,28.1,64.6,7.2
Santander,2023,2,2023-02-01,32.0,60.4,7.6
Sucre,2023,2,2023-02-01,63.6,34.7,1.7
Tolima,2023,2,2023-02-01,51.4,43.9,4.7
Valle,2023,2,2023-02-01,34.4,56.0,9.5
Vaupes,2023,2,2023-02-01,70.4,28.6,1.0
Vichada,2023,2,2023-02-01,57.9,41.2,0.8
Amazonas,2023,3,2023-03-01,36.1,56.1,7.8
Antioquia,2023,3,2023-03-01,36.3,56.2,7.4
Arauca,2023,3,2023-03-01,45.1,52.8,2.1
Atlantico,2023,3,2023-03-01,48.9,42.2,9.0
Bogota_DC,2023,3,2023-03-01,24.8,58.4,16.9
Bolivar,2023,3,2023-03-01,46.8,47.0,6.2
Boyaca,2023,3,2023-03-01,37.7,57.9,4.4
Caldas,2023,3,2023-03-01,29.0,59.3,11.7
Caqueta,2023,3,2023-03-01,40.2,56.7,3.1
Casanare,2023,3,2023-03-01,43.5,51.9,4.7
Cauca,2023,3,2023-03-01,62.1,35.2,2.7
Cesar,2023,3,2023-03-01,53.2,43.7,3.1
Choco,2023,3,2023-03-01,52.5,44.5,2.9
Cordoba,2023,3,2023-03-01,47.3,48.6,4.1
Cundinamarca,2023,3,2023-03-01,35.1,56.5,8.4
Guainia,2023,3,2023-03-01,55.8,40.0,4.3
Guaviare,2023,3,2023-03-01,50.9,46.5,2.6
Huila,2023,3,2023-03-01,51.3,45.2,3.5
La_Guajira,2023,3,2023-03-01,66.3,32.3,1.4
Magdalena,2023,3,2023-03-01,56.9,39.6,3.5
Meta,2023,3,2023-03-01,46.5,49.5,4.0
Narino,2023,3,2023-03-01,53.2,44.1,2.7
Norte_de_Santander,2023,3,2023-03-01,40.7,55.8,3.5
Putumayo,2023,3,2023-03-01,37.7,59.4,2.9
Quindio,2023,3,2023-03-01,42.1,50.0,7.9
Risaralda,2023,3,2023-03-01,28.1,64.6,7.2
Santander,2023,3,2023-03-01,32.0,60.4,7.6
Sucre,2023,3,2023-03-01,63.6,34.7,1.7
Tolima,2023,3,2023-03-01,51.4,43.9,4.7
Valle,2023,3,2023-03-01,34.4,56.0,9.5
Vaupes,2023,3,2023-03-01,70.4,28.6,1.0
Vichada,2023,3,2023-03-01,57.9,41.2,0.8
Amazonas,2023,4,2023-04-01,36.1,56.1,7.8
Antioquia,2023,4,2023-04-01,36.3,56.2,7.4
Arauca,2023,4,2023-04-01,45.1,52.8,2.1
Atlantico,2023,4,2023-04-01,48.9,42.2,9.0
Bogota_DC,2023,4,2023-04-01,24.8,58.4,16.9
Bolivar,2023,4,2023-04-01,46.8,47.0,6.2
Boyaca,2023,4,2023-04-01,37.7,57.9,4.4
Caldas,2023,4,2023-04-01,29.0,59.3,11.7
Caqueta,2023,4,2023-04-01,40.2,56.7,3.1
Casanare,2023,4,2023-04-01,43.5,51.9,4.7
Cauca,2023,4,2023-04-01,62.1,35.2,2.7
Cesar,2023,4,2023-04-01,53.2,43.7,3.1
Choco,2023,4,2023-04-01,52.5,44.5,2.9
Cordoba,2023,4,2023-04-01,47.3,48.6,4.1
Cundinamarca,2023,4,2023-04-01,35.1,56.5,8.4
Guainia,2023,4,2023-04-01,55.8,40.0,4.3
Guaviare,2023,4,2023-04-01,50.9,46.5,2.6
Huila,2023,4,2023-04-01,51.3,45.2,3.5
La_Guajira,2023,4,2023-04-01,66.3,32.3,1.4
Magdalena,2023,4,2023-04-01,56.9,39.6,3.5
Meta,2023,4,2023-04-01,46.5,49.5,4.0
Narino,2023,4,2023-04-01,53.2,44.1,2.7
Norte_de_Santander,2023,4,2023-04-01,40.7,55.8,3.5
Putumayo,2023,4,2023-04-01,37.7,59.4,2.9
Quindio,2023,4,2023-04-01,42.1,50.0,7.9
Risaralda,2023,4,2023-04-01,28.1,64.6,7.2
Santander,2023,4,2023-04-01,32.0,60.4,7.6
Sucre,2023,4,2023-04-01,63.6,34.7,1.7
Tolima,2023,4,2023-04-01,51.4,43.9,4.7
Valle,2023,4,2023-04-01,34.4,56.0,9.5
Vaupes,2023,4,2023-04-01,70.4,28.6,1.0
Vichada,2023,4,2023-04-01,57.9,41.2,0.8
Amazonas,2023,5,2023-05-01,36.1,56.1,7.8
Antioquia,2023,5,2023-05-01,36.3,56.2,7.4
Arauca,2023,5,2023-05-01,45.1,52.8,2.1
Atlantico,2023,5,2023-05-01,48.9,42.2,9.0
Bogota_DC,2023,5,2023-05-01,24.8,58.4,16.9
Bolivar,2023,5,2023-05-01,46.8,47.0,6.2
Boyaca,2023,5,2023-05-01,37.7,57.9,4.4
Caldas,2023,5,2023-05-01,29.0,59.3,11.7
Caqueta,2023,5,2023-05-01,40.2,56.7,3.1
Casanare,2023,5,2023-05-01,43.5,51.9,4.7
Cauca,2023,5,2023-05-01,62.1,35.2,2.7
Cesar,2023,5,2023-05-01,53.2,43.7,3.1
Choco,2023,5,2023-05-01,52.5,44.5,2.9
Cordoba,2023,5,2023-05-01,47.3,48.6,4.1
Cundinamarca,2023,5,2023-05-01,35.1,56.5,8.4
Guainia,2023,5,2023-05-01,55.8,40.0,4.3
Guaviare,2023,5,2023-05-01,50.9,46.5,2.6
Huila,2023,5,2023-05-01,51.3,45.2,3.5
La_Guajira,2023,5,2023-05-01,66.3,32.3,1.4
Magdalena,2023,5,2023-05-01,56.9,39.6,3.5
Meta,2023,5,2023-05-01,46.5,49.5,4.0
Narino,2023,5,2023-05-01,53.2,44.1,2.7
Norte_de_Santander,2023,5,2023-05-01,40.7,55.8,3.5
Putumayo,2023,5,2023-05-01,37.7,59.4,2.9
Quindio,2023,5,2023-05-01,42.1,50.0,7.9
Risaralda,2023,5,2023-05-01,28.1,64.6,7.2
Santander,2023,5,2023-05-01,32.0,60.4,7.6
Sucre,2023,5,2023-05-01,63.6,34.7,1.7
Tolima,2023,5,2023-05-01,51.4,43.9,4.7
Valle,2023,5,2023-05-01,34.4,56.0,9.5
Vaupes,2023,5,2023-05-01,70.4,28.6,1.0
Vichada,2023,5,2023-05-01,57.9,41.2,0.8
Amazonas,2023,6,2023-06-01,36.1,56.1,7.8
Antioquia,2023,6,2023-06-01,36.3,56.2,7.4
Arauca,2023,6,2023-06-01,45.1,52.8,2.1
Atlantico,2023,6,2023-06-01,48.9,42.2,9.0
Bogota_DC,2023,6,2023-06-01,24.8,58.4,16.9
Bolivar,2023,6,2023-06-01,46.8,47.0,6.2
Boyaca,2023,6,2023-06-01,37.7,57.9,4.4
Caldas,2023,6,2023-06-01,29.0,59.3,11.7
Caqueta,2023,6,2023-06-01,40.2,56.7,3.1
Casanare,2023,6,2023-06-01,43.5,51.9,4.7
Cauca,2023,6,2023-06-01,62.1,35.2,2.7
Cesar,2023,6,2023-06-01,53.2,43.7,3.1
Choco,2023,6,2023-06-01,52.5,44.5,2.9
Cordoba,2023,6,2023-06-01,47.3,48.6,4.1
Cundinamarca,2023,6,2023-06-01,35.1,56.5,8.4
Guainia,2023,6,2023-06-01,55.8,40.0,4.3
Guaviare,2023,6,2023-06-01,50.9,46.5,2.6
Huila,2023,6,2023-06-01,51.3,45.2,3.5
La_Guajira,2023,6,2023-06-01,66.3,32.3,1.4
Magdalena,2023,6,2023-06-01,56.9,39.6,3.5
Meta,2023,6,2023-06-01,46.5,49.5,4.0
Narino,2023,6,2023-06-01,53.2,44.1,2.7
Norte_de_Santander,2023,6,2023-06-01,40.7,55.8,3.5
Putumayo,2023,6,2023-06-01,37.7,59.4,2.9
Quindio,2023,6,2023-06-01,42.1,50.0,7.9
Risaralda,2023,6,2023-06-01,28.1,64.6,7.2
Santander,2023,6,2023-06-01,32.0,60.4,7.6
Sucre,2023,6,2023-06-01,63.6,34.7,1.7
Tolima,2023,6,2023-06-01,51.4,43.9,4.7
Valle,2023,6,2023-06-01,34.4,56.0,9.5
Vaupes,2023,6,2023-06-01,70.4,28.6,1.0
Vichada,2023,6,2023-06-01,57.9,41.2,0.8
Amazonas,2023,7,2023-07-01,36.1,56.1,7.8
Antioquia,2023,7,2023-07-01,36.3,56.2,7.4
Arauca,2023,7,2023-07-01,45.1,52.8,2.1
Atlantico,2023,7,2023-07-01,48.9,42.2,9.0
Bogota_DC,2023,7,2023-07-01,24.8,58.4,16.9
Bolivar,2023,7,2023-07-01,46.8,47.0,6.2
Boyaca,2023,7,2023-07-01,37.7,57.9,4.4
Caldas,2023,7,2023-07-01,29.0,59.3,11.7
Caqueta,2023,7,2023-07-01,40.2,56.7,3.1
Casanare,2023,7,2023-07-01,43.5,51.9,4.7
Cauca,2023,7,2023-07-01,62.1,35.2,2.7
Cesar,2023,7,2023-07-01,53.2,43.7,3.1
Choco,2023,7,2023-07-01,52.5,44.5,2.9
Cordoba,2023,7,2023-07-01,47.3,48.6,4.1
Cundinamarca,2023,7,2023-07-01,35.1,56.5,8.4
Guainia,2023,7,2023-07-01,55.8,40.0,4.3
Guaviare,2023,7,2023-07-01,50.9,46.5,2.6
Huila,2023,7,2023-07-01,51.3,45.2,3.5
La_Guajira,2023,7,2023-07-01,66.3,32.3,1.4
Magdalena,2023,7,2023-07-01,56.9,39.6,3.5
Meta,2023,7,2023-07-01,46.5,49.5,4.0
Narino,2023,7,2023-07-01,53.2,44.1,2.7
Norte_de_Santander,2023,7,2023-07-01,40.7,55.8,3.5
Putumayo,2023,7,2023-07-01,37.7,59.4,2.9
Quindio,2023,7,2023-07-01,42.1,50.0,7.9
Risaralda,2023,7,2023-07-01,28.1,64.6,7.2
Santander,2023,7,2023-07-01,32.0,60.4,7.6
Sucre,2023,7,2023-07-01,63.6,34.7,1.7
Tolima,2023,7,2023-07-01,51.4,43.9,4.7
Valle,2023,7,2023-07-01,34.4,56.0,9.5
Vaupes,2023,7,2023-07-01,70.4,28.6,1.0
Vichada,2023,7,2023-07-01,57.9,41.2,0.8
Amazonas,2023,8,2023-08-01,36.1,56.1,7.8
Antioquia,2023,8,2023-08-01,36.3,56.2,7.4
Arauca,2023,8,2023-08-01,45.1,52.8,2.1
Atlantico,2023,8,2023-08-01,48.9,42.2,9.0
Bogota_DC,2023,8,2023-08-01,24.8,58.4,16.9
Bolivar,2023,8,2023-08-01,46.8,47.0,6.2
Boyaca,2023,8,2023-08-01,37.7,57.9,4.4
Caldas,2023,8,2023-08-01,29.0,59.3,11.7
Caqueta,2023,8,2023-08-01,40.2,56.7,3.1
Casanare,2023,8,2023-08-01,43.5,51.9,4.7
Cauca,2023,8,2023-08-01,62.1,35.2,2.7
Cesar,2023,8,2023-08-01,53.2,43.7,3.1
Choco,2023,8,2023-08-01,52.5,44.5,2.9
Cordoba,2023,8,2023-08-01,47.3,48.6,4.1
Cundinamarca,2023,8,2023-08-01,35.1,56.5,8.4
Guainia,2023,8,2023-08-01,55.8,40.0,4.3
Guaviare,2023,8,2023-08-01,50.9,46.5,2.6
Huila,2023,8,2023-08-01,51.3,45.2,3.5
La_Guajira,2023,8,2023-08-01,66.3,32.3,1.4
Magdalena,2023,8,2023-08-01,56.9,39.6,3.5
Meta,2023,8,2023-08-01,46.5,49.5,4.0
Narino,2023,8,2023-08-01,53.2,44.1,2.7
Norte_de_Santander,2023,8,2023-08-01,40.7,55.8,3.5
Putumayo,2023,8,2023-08-01,37.7,59.4,2.9
Quindio,2023,8,2023-08-01,42.1,50.0,7.9
Risaralda,2023,8,2023-08-01,28.1,64.6,7.2
Santander,2023,8,2023-08-01,32.0,60.4,7.6
Sucre,2023,8,2023-08-01,63.6,34.7,1.7
Tolima,2023,8,2023-08-01,51.4,43.9,4.7
Valle,2023,8,2023-08-01,34.4,56.0,9.5
Vaupes,2023,8,2023-08-01,70.4,28.6,1.0
Vichada,2023,8,2023-08-01,57.9,41.2,0.8
Amazonas,2023,9,2023-09-01,36.1,56.1,7.8
Antioquia,2023,9,2023-09-01,36.3,56.2,7.4
Arauca,2023,9,2023-09-01,45.1,52.8,2.1
Atlantico,2023,9,2023-09-01,48.9,42.2,9.0
Bogota_DC,2023,9,2023-09-01,24.8,58.4,16.9
Bolivar,2023,9,2023-09-01,46.8,47.0,6.2
Boyaca,2023,9,2023-09-01,37.7,57.9,4.4
Caldas,2023,9,2023-09-01,29.0,59.3,11.7
Caqueta,2023,9,2023-09-01,40.2,56.7,3.1
Casanare,2023,9,2023-09-01,43.5,51.9,4.7
Cauca,2023,9,2023-09-01,62.1,35.2,2.7
Cesar,2023,9,2023-09-01,53.2,43.7,3.1
Choco,2023,9,2023-09-01,52.5,44.5,2.9
Cordoba,2023,9,2023-09-01,47.3,48.6,4.1
Cundinamarca,2023,9,2023-09-01,35.1,56.5,8.4
Guainia,2023,9,2023-09-01,55.8,40.0,4.3
Guaviare,2023,9,2023-09-01,50.9,46.5,2.6
Huila,2023,9,2023-09-01,51.3,45.2,3.5
La_Guajira,2023,9,2023-09-01,66.3,32.3,1.4
Magdalena,2023,9,2023-09-01,56.9,39.6,3.5
Meta,2023,9,2023-09-01,46.5,49.5,4.0
Narino,2023,9,2023-09-01,53.2,44.1,2.7
Norte_de_Santander,2023,9,2023-09-01,40.7,55.8,3.5
Putumayo,2023,9,2023-09-01,37.7,59.4,2.9
Quindio,2023,9,2023-09-01,42.1,50.0,7.9
Risaralda,2023,9,2023-09-01,28.1,64.6,7.2
Santander,2023,9,2023-09-01,32.0,60.4,7.6
Sucre,2023,9,2023-09-01,63.6,34.7,1.7
Tolima,2023,9,2023-09-01,51.4,43.9,4.7
Valle,2023,9,2023-09-01,34.4,56.0,9.5
Vaupes,2023,9,2023-09-01,70.4,28.6,1.0
Vichada,2023,9,2023-09-01,57.9,41.2,0.8
Amazonas,2023,10,2023-10-01,36.1,56.1,7.8
Antioquia,2023,10,2023-10-01,36.3,56.2,7.4
Arauca,2023,10,2023-10-01,45.1,52.8,2.1
Atlantico,2023,10,2023-10-01,48.9,42.2,9.0
Bogota_DC,2023,10,2023-10-01,24.8,58.4,16.9
Bolivar,2023,10,2023-10-01,46.8,47.0,6.2
Boyaca,2023,10,2023-10-01,37.7,57.9,4.4
Caldas,2023,10,2023-10-01,29.0,59.3,11.7
Caqueta,2023,10,2023-10-01,40.2,56.7,3.1
Casanare,2023,10,2023-10-01,43.5,51.9,4.7
