departamento,a√±o,mes,fecha,No_alcanzan_gastos_minimos,Alcanzan_gastos_minimos,Cubren_mas_gastos_minimos
Cauca,2023,10,2023-10-01,62.1,35.2,2.7
Cesar,2023,10,2023-10-01,53.2,43.7,3.1
Choco,2023,10,2023-10-01,52.5,44.5,2.9
Cordoba,2023,10,2023-10-01,47.3,48.6,4.1
Cundinamarca,2023,10,2023-10-01,35.1,56.5,8.4
Guainia,2023,10,2023-10-01,55.8,40.0,4.3
Guaviare,2023,10,2023-10-01,50.9,46.5,2.6
Huila,2023,10,2023-10-01,51.3,45.2,3.5
La_Guajira,2023,10,2023-10-01,66.3,32.3,1.4
Magdalena,2023,10,2023-10-01,56.9,39.6,3.5
Meta,2023,10,2023-10-01,46.5,49.5,4.0
Narino,2023,10,2023-10-01,53.2,44.1,2.7
Norte_de_Santander,2023,10,2023-10-01,40.7,55.8,3.5
Putumayo,2023,10,2023-10-01,37.7,59.4,2.9
Quindio,2023,10,2023-10-01,42.1,50.0,7.9
Risaralda,2023,10,2023-10-01,28.1,64.6,7.2
Santander,2023,10,2023-10-01,32.0,60.4,7.6
Sucre,2023,10,2023-10-01,63.6,34.7,1.7
Tolima,2023,10,2023-10-01,51.4,43.9,4.7
Valle,2023,10,2023-10-01,34.4,56.0,9.5
Vaupes,2023,10,2023-10-01,70.4,28.6,1.0
Vichada,2023,10,2023-10-01,57.9,41.2,0.8
Amazonas,2023,11,2023-11-01,36.1,56.1,7.8
Antioquia,2023,11,2023-11-01,36.3,56.2,7.4
Arauca,2023,11,2023-11-01,45.1,52.8,2.1
Atlantico,2023,11,2023-11-01,48.9,42.2,9.0
Bogota_DC,2023,11,2023-11-01,24.8,58.4,16.9
Bolivar,2023,11,2023-11-01,46.8,47.0,6.2
Boyaca,2023,11,2023-11-01,37.7,57.9,4.4
Caldas,2023,11,2023-11-01,29.0,59.3,11.7
Caqueta,2023,11,2023-11-01,40.2,56.7,3.1
Casanare,2023,11,2023-11-01,43.5,51.9,4.7
Cauca,2023,11,2023-11-01,62.1,35.2,2.7
Cesar,2023,11,2023-11-01,53.2,43.7,3.1
Choco,2023,11,2023-11-01,52.5,44.5,2.9
Cordoba,2023,11,2023-11-01,47.3,48.6,4.1
Cundinamarca,2023,11,2023-11-01,35.1,56.5,8.4
Guainia,2023,11,2023-11-01,55.8,40.0,4.3
Guaviare,2023,11,2023-11-01,50.9,46.5,2.6
Huila,2023,11,2023-11-01,51.3,45.2,3.5
La_Guajira,2023,11,2023-11-01,66.3,32.3,1.4
Magdalena,2023,11,2023-11-01,56.9,39.6,3.5
Meta,2023,11,2023-11-01,46.5,49.5,4.0
Narino,2023,11,2023-11-01,53.2,44.1,2.7
Norte_de_Santander,2023,11,2023-11-01,40.7,55.8,3.5
Putumayo,2023,11,2023-11-01,37.7,59.4,2.9
Quindio,2023,11,2023-11-01,42.1,50.0,7.9
Risaralda,2023,11,2023-11-01,28.1,64.6,7.2
Santander,2023,11,2023-11-01,32.0,60.4,7.6
Sucre,2023,11,2023-11-01,63.6,34.7,1.7
Tolima,2023,11,2023-11-01,51.4,43.9,4.7
Valle,2023,11,2023-11-01,34.4,56.0,9.5
Vaupes,2023,11,2023-11-01,70.4,28.6,1.0
Vichada,2023,11,2023-11-01,57.9,41.2,0.8
Amazonas,2023,12,2023-12-01,36.1,56.1,7.8
Antioquia,2023,12,2023-12-01,36.3,56.2,7.4
Arauca,2023,12,2023-12-01,45.1,52.8,2.1
Atlantico,2023,12,2023-12-01,48.9,42.2,9.0
Bogota_DC,2023,12,2023-12-01,24.8,58.4,16.9
Bolivar,2023,12,2023-12-01,46.8,47.0,6.2
Boyaca,2023,12,2023-12-01,37.7,57.9,4.4
Caldas,2023,12,2023-12-01,29.0,59.3,11.7
Caqueta,2023,12,2023-12-01,40.2,56.7,3.1
Casanare,2023,12,2023-12-01,43.5,51.9,4.7
Cauca,2023,12,2023-12-01,62.1,35.2,2.7
Cesar,2023,12,2023-12-01,53.2,43.7,3.1
Choco,2023,12,2023-12-01,52.5,44.5,2.9
Cordoba,2023,12,2023-12-01,47.3,48.6,4.1
Cundinamarca,2023,12,2023-12-01,35.1,56.5,8.4
Guainia,2023,12,2023-12-01,55.8,40.0,4.3
Guaviare,2023,12,2023-12-01,50.9,46.5,2.6
Huila,2023,12,2023-12-01,51.3,45.2,3.5
La_Guajira,2023,12,2023-12-01,66.3,32.3,1.4
Magdalena,2023,12,2023-12-01,56.9,39.6,3.5
Meta,2023,12,2023-12-01,46.5,49.5,4.0
Narino,2023,12,2023-12-01,53.2,44.1,2.7
Norte_de_Santander,2023,12,2023-12-01,40.7,55.8,3.5
Putumayo,2023,12,2023-12-01,37.7,59.4,2.9
Quindio,2023,12,2023-12-01,42.1,50.0,7.9
Risaralda,2023,12,2023-12-01,28.1,64.6,7.2
Santander,2023,12,2023-12-01,32.0,60.4,7.6
Sucre,2023,12,2023-12-01,63.6,34.7,1.7
Tolima,2023,12,2023-12-01,51.4,43.9,4.7
Valle,2023,12,2023-12-01,34.4,56.0,9.5
Vaupes,2023,12,2023-12-01,70.4,28.6,1.0
Vichada,2023,12,2023-12-01,57.9,41.2,0.8
Amazonas,2024,1,2024-01-01,31.1,61.9,7.1
Antioquia,2024,1,2024-01-01,35.5,55.8,8.7
Arauca,2024,1,2024-01-01,27.1,69.0,3.9
Atlantico,2024,1,2024-01-01,49.8,45.0,5.2
Bogota_DC,2024,1,2024-01-01,16.6,69.8,13.7
Bolivar,2024,1,2024-01-01,38.5,55.8,5.8
Boyaca,2024,1,2024-01-01,32.4,63.1,4.5
Caldas,2024,1,2024-01-01,28.2,61.6,10.2
Caqueta,2024,1,2024-01-01,44.5,50.6,4.9
Casanare,2024,1,2024-01-01,45.8,49.9,4.3
Cauca,2024,1,2024-01-01,41.8,54.8,3.3
Cesar,2024,1,2024-01-01,45.6,50.8,3.5
Choco,2024,1,2024-01-01,56.5,42.2,1.3
Cordoba,2024,1,2024-01-01,64.5,33.7,1.8
Cundinamarca,2024,1,2024-01-01,34.3,57.9,7.9
Guainia,2024,1,2024-01-01,49.5,47.4,3.1
Guaviare,2024,1,2024-01-01,52.2,42.1,5.7
Huila,2024,1,2024-01-01,42.6,53.7,3.7
La_Guajira,2024,1,2024-01-01,66.0,32.2,1.8
Magdalena,2024,1,2024-01-01,48.1,47.1,4.8
Meta,2024,1,2024-01-01,24.2,69.3,6.5
Narino,2024,1,2024-01-01,55.4,41.3,3.2
Norte_de_Santander,2024,1,2024-01-01,32.6,59.9,7.5
Putumayo,2024,1,2024-01-01,32.5,65.4,2.1
Quindio,2024,1,2024-01-01,34.4,55.7,10.0
Risaralda,2024,1,2024-01-01,26.6,61.1,12.3
Santander,2024,1,2024-01-01,25.0,63.5,11.5
Sucre,2024,1,2024-01-01,65.0,32.7,2.3
Tolima,2024,1,2024-01-01,37.4,51.7,10.9
Valle,2024,1,2024-01-01,32.2,58.7,9.1
Vaupes,2024,1,2024-01-01,70.1,29.3,0.6
Vichada,2024,1,2024-01-01,59.1,40.1,0.9
Amazonas,2024,2,2024-02-01,31.1,61.9,7.1
Antioquia,2024,2,2024-02-01,35.5,55.8,8.7
Arauca,2024,2,2024-02-01,27.1,69.0,3.9
Atlantico,2024,2,2024-02-01,49.8,45.0,5.2
Bogota_DC,2024,2,2024-02-01,16.6,69.8,13.7
Bolivar,2024,2,2024-02-01,38.5,55.8,5.8
Boyaca,2024,2,2024-02-01,32.4,63.1,4.5
Caldas,2024,2,2024-02-01,28.2,61.6,10.2
Caqueta,2024,2,2024-02-01,44.5,50.6,4.9
Casanare,2024,2,2024-02-01,45.8,49.9,4.3
Cauca,2024,2,2024-02-01,41.8,54.8,3.3
Cesar,2024,2,2024-02-01,45.6,50.8,3.5
Choco,2024,2,2024-02-01,56.5,42.2,1.3
Cordoba,2024,2,2024-02-01,64.5,33.7,1.8
Cundinamarca,2024,2,2024-02-01,34.3,57.9,7.9
Guainia,2024,2,2024-02-01,49.5,47.4,3.1
Guaviare,2024,2,2024-02-01,52.2,42.1,5.7
Huila,2024,2,2024-02-01,42.6,53.7,3.7
La_Guajira,2024,2,2024-02-01,66.0,32.2,1.8
Magdalena,2024,2,2024-02-01,48.1,47.1,4.8
Meta,2024,2,2024-02-01,24.2,69.3,6.5
Narino,2024,2,2024-02-01,55.4,41.3,3.2
Norte_de_Santander,2024,2,2024-02-01,32.6,59.9,7.5
Putumayo,2024,2,2024-02-01,32.5,65.4,2.1
Quindio,2024,2,2024-02-01,34.4,55.7,10.0
Risaralda,2024,2,2024-02-01,26.6,61.1,12.3
Santander,2024,2,2024-02-01,25.0,63.5,11.5
Sucre,2024,2,2024-02-01,65.0,32.7,2.3
Tolima,2024,2,2024-02-01,37.4,51.7,10.9
Valle,2024,2,2024-02-01,32.2,58.7,9.1
Vaupes,2024,2,2024-02-01,70.1,29.3,0.6
Vichada,2024,2,2024-02-01,59.1,40.1,0.9
Amazonas,2024,3,2024-03-01,31.1,61.9,7.1
Antioquia,2024,3,2024-03-01,35.5,55.8,8.7
Arauca,2024,3,2024-03-01,27.1,69.0,3.9
Atlantico,2024,3,2024-03-01,49.8,45.0,5.2
Bogota_DC,2024,3,2024-03-01,16.6,69.8,13.7
Bolivar,2024,3,2024-03-01,38.5,55.8,5.8
Boyaca,2024,3,2024-03-01,32.4,63.1,4.5
Caldas,2024,3,2024-03-01,28.2,61.6,10.2
Caqueta,2024,3,2024-03-01,44.5,50.6,4.9
Casanare,2024,3,2024-03-01,45.8,49.9,4.3
Cauca,2024,3,2024-03-01,41.8,54.8,3.3
Cesar,2024,3,2024-03-01,45.6,50.8,3.5
Choco,2024,3,2024-03-01,56.5,42.2,1.3
Cordoba,2024,3,2024-03-01,64.5,33.7,1.8
Cundinamarca,2024,3,2024-03-01,34.3,57.9,7.9
Guainia,2024,3,2024-03-01,49.5,47.4,3.1
Guaviare,2024,3,2024-03-01,52.2,42.1,5.7
Huila,2024,3,2024-03-01,42.6,53.7,3.7
La_Guajira,2024,3,2024-03-01,66.0,32.2,1.8
Magdalena,2024,3,2024-03-01,48.1,47.1,4.8
Meta,2024,3,2024-03-01,24.2,69.3,6.5
Narino,2024,3,2024-03-01,55.4,41.3,3.2
Norte_de_Santander,2024,3,2024-03-01,32.6,59.9,7.5
Putumayo,2024,3,2024-03-01,32.5,65.4,2.1
Quindio,2024,3,2024-03-01,34.4,55.7,10.0
Risaralda,2024,3,2024-03-01,26.6,61.1,12.3
Santander,2024,3,2024-03-01,25.0,63.5,11.5
Sucre,2024,3,2024-03-01,65.0,32.7,2.3
Tolima,2024,3,2024-03-01,37.4,51.7,10.9
Valle,2024,3,2024-03-01,32.2,58.7,9.1
Vaupes,2024,3,2024-03-01,70.1,29.3,0.6
Vichada,2024,3,2024-03-01,59.1,40.1,0.9
Amazonas,2024,4,2024-04-01,31.1,61.9,7.1
Antioquia,2024,4,2024-04-01,35.5,55.8,8.7
Arauca,2024,4,2024-04-01,27.1,69.0,3.9
Atlantico,2024,4,2024-04-01,49.8,45.0,5.2
Bogota_DC,2024,4,2024-04-01,16.6,69.8,13.7
Bolivar,2024,4,2024-04-01,38.5,55.8,5.8
Boyaca,2024,4,2024-04-01,32.4,63.1,4.5
Caldas,2024,4,2024-04-01,28.2,61.6,10.2
Caqueta,2024,4,2024-04-01,44.5,50.6,4.9
Casanare,2024,4,2024-04-01,45.8,49.9,4.3
Cauca,2024,4,2024-04-01,41.8,54.8,3.3
Cesar,2024,4,2024-04-01,45.6,50.8,3.5
Choco,2024,4,2024-04-01,56.5,42.2,1.3
Cordoba,2024,4,2024-04-01,64.5,33.7,1.8
Cundinamarca,2024,4,2024-04-01,34.3,57.9,7.9
Guainia,2024,4,2024-04-01,49.5,47.4,3.1
Guaviare,2024,4,2024-04-01,52.2,42.1,5.7
Huila,2024,4,2024-04-01,42.6,53.7,3.7
La_Guajira,2024,4,2024-04-01,66.0,32.2,1.8
Magdalena,2024,4,2024-04-01,48.1,47.1,4.8
Meta,2024,4,2024-04-01,24.2,69.3,6.5
Narino,2024,4,2024-04-01,55.4,41.3,3.2
Norte_de_Santander,2024,4,2024-04-01,32.6,59.9,7.5
Putumayo,2024,4,2024-04-01,32.5,65.4,2.1
Quindio,2024,4,2024-04-01,34.4,55.7,10.0
Risaralda,2024,4,2024-04-01,26.6,61.1,12.3
Santander,2024,4,2024-04-01,25.0,63.5,11.5
Sucre,2024,4,2024-04-01,65.0,32.7,2.3
Tolima,2024,4,2024-04-01,37.4,51.7,10.9
Valle,2024,4,2024-04-01,32.2,58.7,9.1
Vaupes,2024,4,2024-04-01,70.1,29.3,0.6
Vichada,2024,4,2024-04-01,59.1,40.1,0.9
Amazonas,2024,5,2024-05-01,31.1,61.9,7.1
Antioquia,2024,5,2024-05-01,35.5,55.8,8.7
Arauca,2024,5,2024-05-01,27.1,69.0,3.9
Atlantico,2024,5,2024-05-01,49.8,45.0,5.2
Bogota_DC,2024,5,2024-05-01,16.6,69.8,13.7
Bolivar,2024,5,2024-05-01,38.5,55.8,5.8
Boyaca,2024,5,2024-05-01,32.4,63.1,4.5
Caldas,2024,5,2024-05-01,28.2,61.6,10.2
Caqueta,2024,5,2024-05-01,44.5,50.6,4.9
Casanare,2024,5,2024-05-01,45.8,49.9,4.3
Cauca,2024,5,2024-05-01,41.8,54.8,3.3
Cesar,2024,5,2024-05-01,45.6,50.8,3.5
Choco,2024,5,2024-05-01,56.5,42.2,1.3
Cordoba,2024,5,2024-05-01,64.5,33.7,1.8
Cundinamarca,2024,5,2024-05-01,34.3,57.9,7.9
Guainia,2024,5,2024-05-01,49.5,47.4,3.1
Guaviare,2024,5,2024-05-01,52.2,42.1,5.7
Huila,2024,5,2024-05-01,42.6,53.7,3.7
La_Guajira,2024,5,2024-05-01,66.0,32.2,1.8
Magdalena,2024,5,2024-05-01,48.1,47.1,4.8
Meta,2024,5,2024-05-01,24.2,69.3,6.5
Narino,2024,5,2024-05-01,55.4,41.3,3.2
Norte_de_Santander,2024,5,2024-05-01,32.6,59.9,7.5
Putumayo,2024,5,2024-05-01,32.5,65.4,2.1
Quindio,2024,5,2024-05-01,34.4,55.7,10.0
Risaralda,2024,5,2024-05-01,26.6,61.1,12.3
Santander,2024,5,2024-05-01,25.0,63.5,11.5
Sucre,2024,5,2024-05-01,65.0,32.7,2.3
Tolima,2024,5,2024-05-01,37.4,51.7,10.9
Valle,2024,5,2024-05-01,32.2,58.7,9.1
Vaupes,2024,5,2024-05-01,70.1,29.3,0.6
Vichada,2024,5,2024-05-01,59.1,40.1,0.9
Amazonas,2024,6,2024-06-01,31.1,61.9,7.1
Antioquia,2024,6,2024-06-01,35.5,55.8,8.7
Arauca,2024,6,2024-06-01,27.1,69.0,3.9
Atlantico,2024,6,2024-06-01,49.8,45.0,5.2
Bogota_DC,2024,6,2024-06-01,16.6,69.8,13.7
Bolivar,2024,6,2024-06-01,38.5,55.8,5.8
Boyaca,2024,6,2024-06-01,32.4,63.1,4.5
Caldas,2024,6,2024-06-01,28.2,61.6,10.2
Caqueta,2024,6,2024-06-01,44.5,50.6,4.9
Casanare,2024,6,2024-06-01,45.8,49.9,4.3
Cauca,2024,6,2024-06-01,41.8,54.8,3.3
Cesar,2024,6,2024-06-01,45.6,50.8,3.5
Choco,2024,6,2024-06-01,56.5,42.2,1.3
Cordoba,2024,6,2024-06-01,64.5,33.7,1.8
Cundinamarca,2024,6,2024-06-01,34.3,57.9,7.9
Guainia,2024,6,2024-06-01,49.5,47.4,3.1
Guaviare,2024,6,2024-06-01,52.2,42.1,5.7
Huila,2024,6,2024-06-01,42.6,53.7,3.7
La_Guajira,2024,6,2024-06-01,66.0,32.2,1.8
Magdalena,2024,6,2024-06-01,48.1,47.1,4.8
Meta,2024,6,2024-06-01,24.2,69.3,6.5
Narino,2024,6,2024-06-01,55.4,41.3,3.2
Norte_de_Santander,2024,6,2024-06-01,32.6,59.9,7.5
Putumayo,2024,6,2024-06-01,32.5,65.4,2.1
Quindio,2024,6,2024-06-01,34.4,55.7,10.0
Risaralda,2024,6,2024-06-01,26.6,61.1,12.3
Santander,2024,6,2024-06-01,25.0,63.5,11.5
Sucre,2024,6,2024-06-01,65.0,32.7,2.3
Tolima,2024,6,2024-06-01,37.4,51.7,10.9
Valle,2024,6,2024-06-01,32.2,58.7,9.1
Vaupes,2024,6,2024-06-01,70.1,29.3,0.6
Vichada,2024,6,2024-06-01,59.1,40.1,0.9
Amazonas,2024,7,2024-07-01,31.1,61.9,7.1
Antioquia,2024,7,2024-07-01,35.5,55.8,8.7
Arauca,2024,7,2024-07-01,27.1,69.0,3.9
Atlantico,2024,7,2024-07-01,49.8,45.0,5.2
Bogota_DC,2024,7,2024-07-01,16.6,69.8,13.7
Bolivar,2024,7,2024-07-01,38.5,55.8,5.8
Boyaca,2024,7,2024-07-01,32.4,63.1,4.5
Caldas,2024,7,2024-07-01,28.2,61.6,10.2
Caqueta,2024,7,2024-07-01,44.5,50.6,4.9
Casanare,2024,7,2024-07-01,45.8,49.9,4.3
Cauca,2024,7,2024-07-01,41.8,54.8,3.3
Cesar,2024,7,2024-07-01,45.6,50.8,3.5
Choco,2024,7,2024-07-01,56.5,42.2,1.3
Cordoba,2024,7,2024-07-01,64.5,33.7,1.8
Cundinamarca,2024,7,2024-07-01,34.3,57.9,7.9
Guainia,2024,7,2024-07-01,49.5,47.4,3.1
Guaviare,2024,7,2024-07-01,52.2,42.1,5.7
Huila,2024,7,2024-07-01,42.6,53.7,3.7
La_Guajira,2024,7,2024-07-01,66.0,32.2,1.8
Magdalena,2024,7,2024-07-01,48.1,47.1,4.8
Meta,2024,7,2024-07-01,24.2,69.3,6.5
Narino,2024,7,2024-07-01,55.4,41.3,3.2
Norte_de_Santander,2024,7,2024-07-01,32.6,59.9,7.5
Putumayo,2024,7,2024-07-01,32.5,65.4,2.1
Quindio,2024,7,2024-07-01,34.4,55.7,10.0
Risaralda,2024,7,2024-07-01,26.6,61.1,12.3
Santander,2024,7,2024-07-01,25.0,63.5,11.5
Sucre,2024,7,2024-07-01,65.0,32.7,2.3
Tolima,2024,7,2024-07-01,37.4,51.7,10.9
Valle,2024,7,2024-07-01,32.2,58.7,9.1
Vaupes,2024,7,2024-07-01,70.1,29.3,0.6
Vichada,2024,7,2024-07-01,59.1,40.1,0.9
Amazonas,2024,8,2024-08-01,31.1,61.9,7.1
Antioquia,2024,8,2024-08-01,35.5,55.8,8.7
Arauca,2024,8,2024-08-01,27.1,69.0,3.9
Atlantico,2024,8,2024-08-01,49.8,45.0,5.2
Bogota_DC,2024,8,2024-08-01,16.6,69.8,13.7
Bolivar,2024,8,2024-08-01,38.5,55.8,5.8
Boyaca,2024,8,2024-08-01,32.4,63.1,4.5
Caldas,2024,8,2024-08-01,28.2,61.6,10.2
Caqueta,2024,8,2024-08-01,44.5,50.6,4.9
Casanare,2024,8,2024-08-01,45.8,49.9,4.3
Cauca,2024,8,2024-08-01,41.8,54.8,3.3
Cesar,2024,8,2024-08-01,45.6,50.8,3.5
Choco,2024,8,2024-08-01,56.5,42.2,1.3
Cordoba,2024,8,2024-08-01,64.5,33.7,1.8
Cundinamarca,2024,8,2024-08-01,34.3,57.9,7.9
Guainia,2024,8,2024-08-01,49.5,47.4,3.1
Guaviare,2024,8,2024-08-01,52.2,42.1,5.7
Huila,2024,8,2024-08-01,42.6,53.7,3.7
La_Guajira,2024,8,2024-08-01,66.0,32.2,1.8
Magdalena,2024,8,2024-08-01,48.1,47.1,4.8
Meta,2024,8,2024-08-01,24.2,69.3,6.5
Narino,2024,8,2024-08-01,55.4,41.3,3.2
Norte_de_Santander,2024,8,2024-08-01,32.6,59.9,7.5
Putumayo,2024,8,2024-08-01,32.5,65.4,2.1
Quindio,2024,8,2024-08-01,34.4,55.7,10.0
Risaralda,2024,8,2024-08-01,26.6,61.1,12.3
Santander,2024,8,2024-08-01,25.0,63.5,11.5
Sucre,2024,8,2024-08-01,65.0,32.7,2.3
Tolima,2024,8,2024-08-01,37.4,51.7,10.9
Valle,2024,8,2024-08-01,32.2,58.7,9.1
Vaupes,2024,8,2024-08-01,70.1,29.3,0.6
Vichada,2024,8,2024-08-01,59.1,40.1,0.9
