departamento,a√±o,mes,fecha,Pobreza_monetaria,No_pobres
Vichada,2022,12,2022-12-01,85.8,14.2
Amazonas,2023,1,2023-01-01,45.8,54.2
Antioquia,2023,1,2023-01-01,44.1,55.9
Arauca,2023,1,2023-01-01,68.3,31.7
Atlantico,2023,1,2023-01-01,56.7,43.3
Bogota_DC,2023,1,2023-01-01,25.5,74.5
Bolivar,2023,1,2023-01-01,64.5,35.5
Boyaca,2023,1,2023-01-01,43.1,56.9
Caldas,2023,1,2023-01-01,28.5,71.5
Caqueta,2023,1,2023-01-01,69.5,30.5
Casanare,2023,1,2023-01-01,44.3,55.7
Cauca,2023,1,2023-01-01,60.7,39.3
Cesar,2023,1,2023-01-01,67.8,32.2
Choco,2023,1,2023-01-01,81.7,18.3
Cordoba,2023,1,2023-01-01,71.3,28.7
Cundinamarca,2023,1,2023-01-01,41.9,58.1
Guainia,2023,1,2023-01-01,70.7,29.3
Guaviare,2023,1,2023-01-01,55.3,44.7
Huila,2023,1,2023-01-01,60.1,39.9
La_Guajira,2023,1,2023-01-01,78.9,21.1
Magdalena,2023,1,2023-01-01,67.8,32.2
Meta,2023,1,2023-01-01,41.6,58.4
Narino,2023,1,2023-01-01,71.2,28.8
Norte_de_Santander,2023,1,2023-01-01,50.9,49.1
Putumayo,2023,1,2023-01-01,65.4,34.6
Quindio,2023,1,2023-01-01,42.1,57.9
Risaralda,2023,1,2023-01-01,27.8,72.2
Santander,2023,1,2023-01-01,47.8,52.2
Sucre,2023,1,2023-01-01,66.2,33.8
Tolima,2023,1,2023-01-01,54.3,45.7
Valle,2023,1,2023-01-01,36.5,63.5
Vaupes,2023,1,2023-01-01,72.4,27.6
Vichada,2023,1,2023-01-01,87.4,12.6
Amazonas,2023,2,2023-02-01,45.8,54.2
Antioquia,2023,2,2023-02-01,44.1,55.9
Arauca,2023,2,2023-02-01,68.3,31.7
Atlantico,2023,2,2023-02-01,56.7,43.3
Bogota_DC,2023,2,2023-02-01,25.5,74.5
Bolivar,2023,2,2023-02-01,64.5,35.5
Boyaca,2023,2,2023-02-01,43.1,56.9
Caldas,2023,2,2023-02-01,28.5,71.5
Caqueta,2023,2,2023-02-01,69.5,30.5
Casanare,2023,2,2023-02-01,44.3,55.7
Cauca,2023,2,2023-02-01,60.7,39.3
Cesar,2023,2,2023-02-01,67.8,32.2
Choco,2023,2,2023-02-01,81.7,18.3
Cordoba,2023,2,2023-02-01,71.3,28.7
Cundinamarca,2023,2,2023-02-01,41.9,58.1
Guainia,2023,2,2023-02-01,70.7,29.3
Guaviare,2023,2,2023-02-01,55.3,44.7
Huila,2023,2,2023-02-01,60.1,39.9
La_Guajira,2023,2,2023-02-01,78.9,21.1
Magdalena,2023,2,2023-02-01,67.8,32.2
Meta,2023,2,2023-02-01,41.6,58.4
Narino,2023,2,2023-02-01,71.2,28.8
Norte_de_Santander,2023,2,2023-02-01,50.9,49.1
Putumayo,2023,2,2023-02-01,65.4,34.6
Quindio,2023,2,2023-02-01,42.1,57.9
Risaralda,2023,2,2023-02-01,27.8,72.2
Santander,2023,2,2023-02-01,47.8,52.2
Sucre,2023,2,2023-02-01,66.2,33.8
Tolima,2023,2,2023-02-01,54.3,45.7
Valle,2023,2,2023-02-01,36.5,63.5
Vaupes,2023,2,2023-02-01,72.4,27.6
Vichada,2023,2,2023-02-01,87.4,12.6
Amazonas,2023,3,2023-03-01,45.8,54.2
Antioquia,2023,3,2023-03-01,44.1,55.9
Arauca,2023,3,2023-03-01,68.3,31.7
Atlantico,2023,3,2023-03-01,56.7,43.3
Bogota_DC,2023,3,2023-03-01,25.5,74.5
Bolivar,2023,3,2023-03-01,64.5,35.5
Boyaca,2023,3,2023-03-01,43.1,56.9
Caldas,2023,3,2023-03-01,28.5,71.5
Caqueta,2023,3,2023-03-01,69.5,30.5
Casanare,2023,3,2023-03-01,44.3,55.7
Cauca,2023,3,2023-03-01,60.7,39.3
Cesar,2023,3,2023-03-01,67.8,32.2
Choco,2023,3,2023-03-01,81.7,18.3
Cordoba,2023,3,2023-03-01,71.3,28.7
Cundinamarca,2023,3,2023-03-01,41.9,58.1
Guainia,2023,3,2023-03-01,70.7,29.3
Guaviare,2023,3,2023-03-01,55.3,44.7
Huila,2023,3,2023-03-01,60.1,39.9
La_Guajira,2023,3,2023-03-01,78.9,21.1
Magdalena,2023,3,2023-03-01,67.8,32.2
Meta,2023,3,2023-03-01,41.6,58.4
Narino,2023,3,2023-03-01,71.2,28.8
Norte_de_Santander,2023,3,2023-03-01,50.9,49.1
Putumayo,2023,3,2023-03-01,65.4,34.6
Quindio,2023,3,2023-03-01,42.1,57.9
Risaralda,2023,3,2023-03-01,27.8,72.2
Santander,2023,3,2023-03-01,47.8,52.2
Sucre,2023,3,2023-03-01,66.2,33.8
Tolima,2023,3,2023-03-01,54.3,45.7
Valle,2023,3,2023-03-01,36.5,63.5
Vaupes,2023,3,2023-03-01,72.4,27.6
Vichada,2023,3,2023-03-01,87.4,12.6
Amazonas,2023,4,2023-04-01,45.8,54.2
Antioquia,2023,4,2023-04-01,44.1,55.9
Arauca,2023,4,2023-04-01,68.3,31.7
Atlantico,2023,4,2023-04-01,56.7,43.3
Bogota_DC,2023,4,2023-04-01,25.5,74.5
Bolivar,2023,4,2023-04-01,64.5,35.5
Boyaca,2023,4,2023-04-01,43.1,56.9
Caldas,2023,4,2023-04-01,28.5,71.5
Caqueta,2023,4,2023-04-01,69.5,30.5
Casanare,2023,4,2023-04-01,44.3,55.7
Cauca,2023,4,2023-04-01,60.7,39.3
Cesar,2023,4,2023-04-01,67.8,32.2
Choco,2023,4,2023-04-01,81.7,18.3
Cordoba,2023,4,2023-04-01,71.3,28.7
Cundinamarca,2023,4,2023-04-01,41.9,58.1
Guainia,2023,4,2023-04-01,70.7,29.3
Guaviare,2023,4,2023-04-01,55.3,44.7
Huila,2023,4,2023-04-01,60.1,39.9
La_Guajira,2023,4,2023-04-01,78.9,21.1
Magdalena,2023,4,2023-04-01,67.8,32.2
Meta,2023,4,2023-04-01,41.6,58.4
Narino,2023,4,2023-04-01,71.2,28.8
Norte_de_Santander,2023,4,2023-04-01,50.9,49.1
Putumayo,2023,4,2023-04-01,65.4,34.6
Quindio,2023,4,2023-04-01,42.1,57.9
Risaralda,2023,4,2023-04-01,27.8,72.2
Santander,2023,4,2023-04-01,47.8,52.2
Sucre,2023,4,2023-04-01,66.2,33.8
Tolima,2023,4,2023-04-01,54.3,45.7
Valle,2023,4,2023-04-01,36.5,63.5
Vaupes,2023,4,2023-04-01,72.4,27.6
Vichada,2023,4,2023-04-01,87.4,12.6
Amazonas,2023,5,2023-05-01,45.8,54.2
Antioquia,2023,5,2023-05-01,44.1,55.9
Arauca,2023,5,2023-05-01,68.3,31.7
Atlantico,2023,5,2023-05-01,56.7,43.3
Bogota_DC,2023,5,2023-05-01,25.5,74.5
Bolivar,2023,5,2023-05-01,64.5,35.5
Boyaca,2023,5,2023-05-01,43.1,56.9
Caldas,2023,5,2023-05-01,28.5,71.5
Caqueta,2023,5,2023-05-01,69.5,30.5
Casanare,2023,5,2023-05-01,44.3,55.7
Cauca,2023,5,2023-05-01,60.7,39.3
Cesar,2023,5,2023-05-01,67.8,32.2
Choco,2023,5,2023-05-01,81.7,18.3
Cordoba,2023,5,2023-05-01,71.3,28.7
Cundinamarca,2023,5,2023-05-01,41.9,58.1
Guainia,2023,5,2023-05-01,70.7,29.3
Guaviare,2023,5,2023-05-01,55.3,44.7
Huila,2023,5,2023-05-01,60.1,39.9
La_Guajira,2023,5,2023-05-01,78.9,21.1
Magdalena,2023,5,2023-05-01,67.8,32.2
Meta,2023,5,2023-05-01,41.6,58.4
Narino,2023,5,2023-05-01,71.2,28.8
Norte_de_Santander,2023,5,2023-05-01,50.9,49.1
Putumayo,2023,5,2023-05-01,65.4,34.6
Quindio,2023,5,2023-05-01,42.1,57.9
Risaralda,2023,5,2023-05-01,27.8,72.2
Santander,2023,5,2023-05-01,47.8,52.2
Sucre,2023,5,2023-05-01,66.2,33.8
Tolima,2023,5,2023-05-01,54.3,45.7
Valle,2023,5,2023-05-01,36.5,63.5
Vaupes,2023,5,2023-05-01,72.4,27.6
Vichada,2023,5,2023-05-01,87.4,12.6
Amazonas,2023,6,2023-06-01,45.8,54.2
Antioquia,2023,6,2023-06-01,44.1,55.9
Arauca,2023,6,2023-06-01,68.3,31.7
Atlantico,2023,6,2023-06-01,56.7,43.3
Bogota_DC,2023,6,2023-06-01,25.5,74.5
Bolivar,2023,6,2023-06-01,64.5,35.5
Boyaca,2023,6,2023-06-01,43.1,56.9
Caldas,2023,6,2023-06-01,28.5,71.5
Caqueta,2023,6,2023-06-01,69.5,30.5
Casanare,2023,6,2023-06-01,44.3,55.7
Cauca,2023,6,2023-06-01,60.7,39.3
Cesar,2023,6,2023-06-01,67.8,32.2
Choco,2023,6,2023-06-01,81.7,18.3
Cordoba,2023,6,2023-06-01,71.3,28.7
Cundinamarca,2023,6,2023-06-01,41.9,58.1
Guainia,2023,6,2023-06-01,70.7,29.3
Guaviare,2023,6,2023-06-01,55.3,44.7
Huila,2023,6,2023-06-01,60.1,39.9
La_Guajira,2023,6,2023-06-01,78.9,21.1
Magdalena,2023,6,2023-06-01,67.8,32.2
Meta,2023,6,2023-06-01,41.6,58.4
Narino,2023,6,2023-06-01,71.2,28.8
Norte_de_Santander,2023,6,2023-06-01,50.9,49.1
Putumayo,2023,6,2023-06-01,65.4,34.6
Quindio,2023,6,2023-06-01,42.1,57.9
Risaralda,2023,6,2023-06-01,27.8,72.2
Santander,2023,6,2023-06-01,47.8,52.2
Sucre,2023,6,2023-06-01,66.2,33.8
Tolima,2023,6,2023-06-01,54.3,45.7
Valle,2023,6,2023-06-01,36.5,63.5
Vaupes,2023,6,2023-06-01,72.4,27.6
Vichada,2023,6,2023-06-01,87.4,12.6
Amazonas,2023,7,2023-07-01,45.8,54.2
Antioquia,2023,7,2023-07-01,44.1,55.9
Arauca,2023,7,2023-07-01,68.3,31.7
Atlantico,2023,7,2023-07-01,56.7,43.3
Bogota_DC,2023,7,2023-07-01,25.5,74.5
Bolivar,2023,7,2023-07-01,64.5,35.5
Boyaca,2023,7,2023-07-01,43.1,56.9
Caldas,2023,7,2023-07-01,28.5,71.5
Caqueta,2023,7,2023-07-01,69.5,30.5
Casanare,2023,7,2023-07-01,44.3,55.7
Cauca,2023,7,2023-07-01,60.7,39.3
Cesar,2023,7,2023-07-01,67.8,32.2
Choco,2023,7,2023-07-01,81.7,18.3
Cordoba,2023,7,2023-07-01,71.3,28.7
Cundinamarca,2023,7,2023-07-01,41.9,58.1
Guainia,2023,7,2023-07-01,70.7,29.3
Guaviare,2023,7,2023-07-01,55.3,44.7
Huila,2023,7,2023-07-01,60.1,39.9
La_Guajira,2023,7,2023-07-01,78.9,21.1
Magdalena,2023,7,2023-07-01,67.8,32.2
Meta,2023,7,2023-07-01,41.6,58.4
Narino,2023,7,2023-07-01,71.2,28.8
Norte_de_Santander,2023,7,2023-07-01,50.9,49.1
Putumayo,2023,7,2023-07-01,65.4,34.6
Quindio,2023,7,2023-07-01,42.1,57.9
Risaralda,2023,7,2023-07-01,27.8,72.2
Santander,2023,7,2023-07-01,47.8,52.2
Sucre,2023,7,2023-07-01,66.2,33.8
Tolima,2023,7,2023-07-01,54.3,45.7
Valle,2023,7,2023-07-01,36.5,63.5
Vaupes,2023,7,2023-07-01,72.4,27.6
Vichada,2023,7,2023-07-01,87.4,12.6
Amazonas,2023,8,2023-08-01,45.8,54.2
Antioquia,2023,8,2023-08-01,44.1,55.9
Arauca,2023,8,2023-08-01,68.3,31.7
Atlantico,2023,8,2023-08-01,56.7,43.3
Bogota_DC,2023,8,2023-08-01,25.5,74.5
Bolivar,2023,8,2023-08-01,64.5,35.5
Boyaca,2023,8,2023-08-01,43.1,56.9
Caldas,2023,8,2023-08-01,28.5,71.5
Caqueta,2023,8,2023-08-01,69.5,30.5
Casanare,2023,8,2023-08-01,44.3,55.7
Cauca,2023,8,2023-08-01,60.7,39.3
Cesar,2023,8,2023-08-01,67.8,32.2
Choco,2023,8,2023-08-01,81.7,18.3
Cordoba,2023,8,2023-08-01,71.3,28.7
Cundinamarca,2023,8,2023-08-01,41.9,58.1
Guainia,2023,8,2023-08-01,70.7,29.3
Guaviare,2023,8,2023-08-01,55.3,44.7
Huila,2023,8,2023-08-01,60.1,39.9
La_Guajira,2023,8,2023-08-01,78.9,21.1
Magdalena,2023,8,2023-08-01,67.8,32.2
Meta,2023,8,2023-08-01,41.6,58.4
Narino,2023,8,2023-08-01,71.2,28.8
Norte_de_Santander,2023,8,2023-08-01,50.9,49.1
Putumayo,2023,8,2023-08-01,65.4,34.6
Quindio,2023,8,2023-08-01,42.1,57.9
Risaralda,2023,8,2023-08-01,27.8,72.2
Santander,2023,8,2023-08-01,47.8,52.2
Sucre,2023,8,2023-08-01,66.2,33.8
Tolima,2023,8,2023-08-01,54.3,45.7
Valle,2023,8,2023-08-01,36.5,63.5
Vaupes,2023,8,2023-08-01,72.4,27.6
Vichada,2023,8,2023-08-01,87.4,12.6
Amazonas,2023,9,2023-09-01,45.8,54.2
Antioquia,2023,9,2023-09-01,44.1,55.9
Arauca,2023,9,2023-09-01,68.3,31.7
Atlantico,2023,9,2023-09-01,56.7,43.3
Bogota_DC,2023,9,2023-09-01,25.5,74.5
Bolivar,2023,9,2023-09-01,64.5,35.5
Boyaca,2023,9,2023-09-01,43.1,56.9
Caldas,2023,9,2023-09-01,28.5,71.5
Caqueta,2023,9,2023-09-01,69.5,30.5
Casanare,2023,9,2023-09-01,44.3,55.7
Cauca,2023,9,2023-09-01,60.7,39.3
Cesar,2023,9,2023-09-01,67.8,32.2
Choco,2023,9,2023-09-01,81.7,18.3
Cordoba,2023,9,2023-09-01,71.3,28.7
Cundinamarca,2023,9,2023-09-01,41.9,58.1
Guainia,2023,9,2023-09-01,70.7,29.3
Guaviare,2023,9,2023-09-01,55.3,44.7
Huila,2023,9,2023-09-01,60.1,39.9
La_Guajira,2023,9,2023-09-01,78.9,21.1
Magdalena,2023,9,2023-09-01,67.8,32.2
Meta,2023,9,2023-09-01,41.6,58.4
Narino,2023,9,2023-09-01,71.2,28.8
Norte_de_Santander,2023,9,2023-09-01,50.9,49.1
Putumayo,2023,9,2023-09-01,65.4,34.6
Quindio,2023,9,2023-09-01,42.1,57.9
Risaralda,2023,9,2023-09-01,27.8,72.2
Santander,2023,9,2023-09-01,47.8,52.2
Sucre,2023,9,2023-09-01,66.2,33.8
Tolima,2023,9,2023-09-01,54.3,45.7
Valle,2023,9,2023-09-01,36.5,63.5
Vaupes,2023,9,2023-09-01,72.4,27.6
Vichada,2023,9,2023-09-01,87.4,12.6
Amazonas,2023,10,2023-10-01,45.8,54.2
Antioquia,2023,10,2023-10-01,44.1,55.9
Arauca,2023,10,2023-10-01,68.3,31.7
Atlantico,2023,10,2023-10-01,56.7,43.3
Bogota_DC,2023,10,2023-10-01,25.5,74.5
Bolivar,2023,10,2023-10-01,64.5,35.5
Boyaca,2023,10,2023-10-01,43.1,56.9
Caldas,2023,10,2023-10-01,28.5,71.5
Caqueta,2023,10,2023-10-01,69.5,30.5
Casanare,2023,10,2023-10-01,44.3,55.7
Cauca,2023,10,2023-10-01,60.7,39.3
Cesar,2023,10,2023-10-01,67.8,32.2
Choco,2023,10,2023-10-01,81.7,18.3
Cordoba,2023,10,2023-10-01,71.3,28.7
Cundinamarca,2023,10,2023-10-01,41.9,58.1
Guainia,2023,10,2023-10-01,70.7,29.3
Guaviare,2023,10,2023-10-01,55.3,44.7
Huila,2023,10,2023-10-01,60.1,39.9
La_Guajira,2023,10,2023-10-01,78.9,21.1
Magdalena,2023,10,2023-10-01,67.8,32.2
Meta,2023,10,2023-10-01,41.6,58.4
Narino,2023,10,2023-10-01,71.2,28.8
Norte_de_Santander,2023,10,2023-10-01,50.9,49.1
Putumayo,2023,10,2023-10-01,65.4,34.6
Quindio,2023,10,2023-10-01,42.1,57.9
Risaralda,2023,10,2023-10-01,27.8,72.2
Santander,2023,10,2023-10-01,47.8,52.2
Sucre,2023,10,2023-10-01,66.2,33.8
Tolima,2023,10,2023-10-01,54.3,45.7
Valle,2023,10,2023-10-01,36.5,63.5
Vaupes,2023,10,2023-10-01,72.4,27.6
Vichada,2023,10,2023-10-01,87.4,12.6
Amazonas,2023,11,2023-11-01,45.8,54.2
Antioquia,2023,11,2023-11-01,44.1,55.9
Arauca,2023,11,2023-11-01,68.3,31.7
Atlantico,2023,11,2023-11-01,56.7,43.3
Bogota_DC,2023,11,2023-11-01,25.5,74.5
Bolivar,2023,11,2023-11-01,64.5,35.5
Boyaca,2023,11,2023-11-01,43.1,56.9
Caldas,2023,11,2023-11-01,28.5,71.5
Caqueta,2023,11,2023-11-01,69.5,30.5
Casanare,2023,11,2023-11-01,44.3,55.7
Cauca,2023,11,2023-11-01,60.7,39.3
Cesar,2023,11,2023-11-01,67.8,32.2
Choco,2023,11,2023-11-01,81.7,18.3
Cordoba,2023,11,2023-11-01,71.3,28.7
Cundinamarca,2023,11,2023-11-01,41.9,58.1
Guainia,2023,11,2023-11-01,70.7,29.3
Guaviare,2023,11,2023-11-01,55.3,44.7
Huila,2023,11,2023-11-01,60.1,39.9
La_Guajira,2023,11,2023-11-01,78.9,21.1
Magdalena,2023,11,2023-11-01,67.8,32.2
Meta,2023,11,2023-11-01,41.6,58.4
Narino,2023,11,2023-11-01,71.2,28.8
Norte_de_Santander,2023,11,2023-11-01,50.9,49.1
Putumayo,2023,11,2023-11-01,65.4,34.6
Quindio,2023,11,2023-11-01,42.1,57.9
Risaralda,2023,11,2023-11-01,27.8,72.2
Santander,2023,11,2023-11-01,47.8,52.2
Sucre,2023,11,2023-11-01,66.2,33.8
Tolima,2023,11,2023-11-01,54.3,45.7
Valle,2023,11,2023-11-01,36.5,63.5
Vaupes,2023,11,2023-11-01,72.4,27.6
Vichada,2023,11,2023-11-01,87.4,12.6
Amazonas,2023,12,2023-12-01,45.8,54.2
Antioquia,2023,12,2023-12-01,44.1,55.9
Arauca,2023,12,2023-12-01,68.3,31.7
Atlantico,2023,12,2023-12-01,56.7,43.3
Bogota_DC,2023,12,2023-12-01,25.5,74.5
Bolivar,2023,12,2023-12-01,64.5,35.5
Boyaca,2023,12,2023-12-01,43.1,56.9
Caldas,2023,12,2023-12-01,28.5,71.5
Caqueta,2023,12,2023-12-01,69.5,30.5
Casanare,2023,12,2023-12-01,44.3,55.7
Cauca,2023,12,2023-12-01,60.7,39.3
Cesar,2023,12,2023-12-01,67.8,32.2
Choco,2023,12,2023-12-01,81.7,18.3
Cordoba,2023,12,2023-12-01,71.3,28.7
Cundinamarca,2023,12,2023-12-01,41.9,58.1
Guainia,2023,12,2023-12-01,70.7,29.3
Guaviare,2023,12,2023-12-01,55.3,44.7
Huila,2023,12,2023-12-01,60.1,39.9
La_Guajira,2023,12,2023-12-01,78.9,21.1
Magdalena,2023,12,2023-12-01,67.8,32.2
Meta,2023,12,2023-12-01,41.6,58.4
Narino,2023,12,2023-12-01,71.2,28.8
Norte_de_Santander,2023,12,2023-12-01,50.9,49.1
Putumayo,2023,12,2023-12-01,65.4,34.6
Quindio,2023,12,2023-12-01,42.1,57.9
Risaralda,2023,12,2023-12-01,27.8,72.2
Santander,2023,12,2023-12-01,47.8,52.2
Sucre,2023,12,2023-12-01,66.2,33.8
Tolima,2023,12,2023-12-01,54.3,45.7
Valle,2023,12,2023-12-01,36.5,63.5
Vaupes,2023,12,2023-12-01,72.4,27.6
