departamento,a√±o,mes,fecha,Energia,Gas_natural,Acueducto,Alcantarillado,Recoleccion_basura,Telefono_fijo,Ningun_servicio
Cauca,2023,12,2023-12-01,98.8,28.9,78.9,42.9,45.0,2.8,0.9
Cesar,2023,12,2023-12-01,98.0,69.8,89.2,75.9,79.6,5.2,1.8
Choco,2023,12,2023-12-01,95.5,0.0,28.4,16.2,49.5,0.6,4.4
Cordoba,2023,12,2023-12-01,99.6,51.7,75.1,46.5,58.4,1.9,0.3
Cundinamarca,2023,12,2023-12-01,99.8,80.7,97.1,80.2,88.7,11.4,0.0
Guainia,2023,12,2023-12-01,82.6,0.0,35.1,29.3,34.1,0.2,15.6
Guaviare,2023,12,2023-12-01,94.5,19.0,59.1,51.3,67.4,0.1,4.5
Huila,2023,12,2023-12-01,99.4,68.4,90.0,68.1,69.2,9.3,0.3
La_Guajira,2023,12,2023-12-01,69.1,42.5,54.6,43.6,51.1,1.3,29.9
Magdalena,2023,12,2023-12-01,99.8,66.8,87.6,54.1,78.4,5.3,0.2
Meta,2023,12,2023-12-01,98.4,69.8,83.8,77.8,85.9,5.6,1.2
Narino,2023,12,2023-12-01,97.9,13.7,74.5,43.4,58.8,3.9,2.0
Norte_de_Santander,2023,12,2023-12-01,99.5,61.3,87.2,84.0,85.9,8.2,0.4
Putumayo,2023,12,2023-12-01,94.5,17.1,54.5,55.3,63.2,0.3,5.2
Quindio,2023,12,2023-12-01,99.6,84.8,97.7,88.5,95.0,16.3,0.0
Risaralda,2023,12,2023-12-01,99.6,82.3,96.7,86.0,91.5,27.4,0.3
Santander,2023,12,2023-12-01,99.6,71.3,91.9,77.1,81.0,23.3,0.2
Sucre,2023,12,2023-12-01,99.4,54.1,89.6,53.3,62.3,2.5,0.4
Tolima,2023,12,2023-12-01,99.5,77.8,89.0,74.3,76.7,8.5,0.2
Valle,2023,12,2023-12-01,99.5,83.6,97.1,90.6,94.8,16.7,0.3
Vaupes,2023,12,2023-12-01,88.7,0.0,27.0,24.1,28.0,0.0,11.2
Vichada,2023,12,2023-12-01,35.8,0.0,23.5,1.8,24.4,0.3,63.6
Amazonas,2024,1,2024-01-01,95.7,0.0,45.3,30.6,52.4,,
Antioquia,2024,1,2024-01-01,99.9,68.3,92.4,81.6,92.3,,
Arauca,2024,1,2024-01-01,97.9,22.5,65.2,52.1,67.1,,
Atlantico,2024,1,2024-01-01,99.9,90.7,97.8,85.4,96.7,,
Bogota_DC,2024,1,2024-01-01,99.9,95.1,99.9,99.3,99.8,,
Bolivar,2024,1,2024-01-01,99.0,67.8,85.5,52.1,75.1,,
Boyaca,2024,1,2024-01-01,99.6,64.3,93.7,65.0,69.3,,
Caldas,2024,1,2024-01-01,100.0,72.3,92.8,81.6,89.3,,
Caqueta,2024,1,2024-01-01,98.6,57.4,76.0,68.9,73.5,,
Casanare,2024,1,2024-01-01,98.3,85.7,84.7,70.3,80.7,,
Cauca,2024,1,2024-01-01,99.4,27.4,84.8,42.5,43.7,,
Cesar,2024,1,2024-01-01,99.6,73.9,90.9,77.0,82.1,,
Choco,2024,1,2024-01-01,96.6,0.0,41.6,16.7,55.0,,
Cordoba,2024,1,2024-01-01,99.6,49.8,72.0,43.3,60.4,,
Cundinamarca,2024,1,2024-01-01,99.7,79.8,97.1,81.5,88.1,,
Guainia,2024,1,2024-01-01,80.1,0.0,21.7,21.9,28.1,,
Guaviare,2024,1,2024-01-01,96.8,24.0,54.2,48.5,61.1,,
Huila,2024,1,2024-01-01,99.7,71.1,91.7,67.6,70.0,,
La_Guajira,2024,1,2024-01-01,70.6,44.2,52.8,47.3,53.9,,
Magdalena,2024,1,2024-01-01,99.1,70.4,88.3,57.0,73.6,,
Meta,2024,1,2024-01-01,98.9,70.9,84.0,79.9,85.9,,
Narino,2024,1,2024-01-01,99.9,13.6,76.0,41.8,54.5,,
Norte_de_Santander,2024,1,2024-01-01,99.8,59.4,87.6,83.4,85.5,,
Putumayo,2024,1,2024-01-01,91.1,15.2,56.0,51.9,60.6,,
Quindio,2024,1,2024-01-01,99.8,82.9,98.0,88.9,95.8,,
Risaralda,2024,1,2024-01-01,99.5,82.2,93.1,86.0,90.5,,
Santander,2024,1,2024-01-01,99.7,78.6,92.8,79.3,82.6,,
Sucre,2024,1,2024-01-01,99.4,56.8,87.3,54.6,64.2,,
Tolima,2024,1,2024-01-01,99.6,79.2,90.4,75.3,77.4,,
Valle,2024,1,2024-01-01,99.7,83.7,97.5,91.1,96.1,,
Vaupes,2024,1,2024-01-01,89.9,0.0,27.7,24.6,28.4,,
Vichada,2024,1,2024-01-01,43.4,0.0,48.0,0.3,23.7,,
Amazonas,2024,2,2024-02-01,95.7,0.0,45.3,30.6,52.4,,
Antioquia,2024,2,2024-02-01,99.9,68.3,92.4,81.6,92.3,,
Arauca,2024,2,2024-02-01,97.9,22.5,65.2,52.1,67.1,,
Atlantico,2024,2,2024-02-01,99.9,90.7,97.8,85.4,96.7,,
Bogota_DC,2024,2,2024-02-01,99.9,95.1,99.9,99.3,99.8,,
Bolivar,2024,2,2024-02-01,99.0,67.8,85.5,52.1,75.1,,
Boyaca,2024,2,2024-02-01,99.6,64.3,93.7,65.0,69.3,,
Caldas,2024,2,2024-02-01,100.0,72.3,92.8,81.6,89.3,,
Caqueta,2024,2,2024-02-01,98.6,57.4,76.0,68.9,73.5,,
Casanare,2024,2,2024-02-01,98.3,85.7,84.7,70.3,80.7,,
Cauca,2024,2,2024-02-01,99.4,27.4,84.8,42.5,43.7,,
Cesar,2024,2,2024-02-01,99.6,73.9,90.9,77.0,82.1,,
Choco,2024,2,2024-02-01,96.6,0.0,41.6,16.7,55.0,,
Cordoba,2024,2,2024-02-01,99.6,49.8,72.0,43.3,60.4,,
Cundinamarca,2024,2,2024-02-01,99.7,79.8,97.1,81.5,88.1,,
Guainia,2024,2,2024-02-01,80.1,0.0,21.7,21.9,28.1,,
Guaviare,2024,2,2024-02-01,96.8,24.0,54.2,48.5,61.1,,
Huila,2024,2,2024-02-01,99.7,71.1,91.7,67.6,70.0,,
La_Guajira,2024,2,2024-02-01,70.6,44.2,52.8,47.3,53.9,,
Magdalena,2024,2,2024-02-01,99.1,70.4,88.3,57.0,73.6,,
Meta,2024,2,2024-02-01,98.9,70.9,84.0,79.9,85.9,,
Narino,2024,2,2024-02-01,99.9,13.6,76.0,41.8,54.5,,
Norte_de_Santander,2024,2,2024-02-01,99.8,59.4,87.6,83.4,85.5,,
Putumayo,2024,2,2024-02-01,91.1,15.2,56.0,51.9,60.6,,
Quindio,2024,2,2024-02-01,99.8,82.9,98.0,88.9,95.8,,
Risaralda,2024,2,2024-02-01,99.5,82.2,93.1,86.0,90.5,,
Santander,2024,2,2024-02-01,99.7,78.6,92.8,79.3,82.6,,
Sucre,2024,2,2024-02-01,99.4,56.8,87.3,54.6,64.2,,
Tolima,2024,2,2024-02-01,99.6,79.2,90.4,75.3,77.4,,
Valle,2024,2,2024-02-01,99.7,83.7,97.5,91.1,96.1,,
Vaupes,2024,2,2024-02-01,89.9,0.0,27.7,24.6,28.4,,
Vichada,2024,2,2024-02-01,43.4,0.0,48.0,0.3,23.7,,
Amazonas,2024,3,2024-03-01,95.7,0.0,45.3,30.6,52.4,,
Antioquia,2024,3,2024-03-01,99.9,68.3,92.4,81.6,92.3,,
Arauca,2024,3,2024-03-01,97.9,22.5,65.2,52.1,67.1,,
Atlantico,2024,3,2024-03-01,99.9,90.7,97.8,85.4,96.7,,
Bogota_DC,2024,3,2024-03-01,99.9,95.1,99.9,99.3,99.8,,
Bolivar,2024,3,2024-03-01,99.0,67.8,85.5,52.1,75.1,,
Boyaca,2024,3,2024-03-01,99.6,64.3,93.7,65.0,69.3,,
Caldas,2024,3,2024-03-01,100.0,72.3,92.8,81.6,89.3,,
Caqueta,2024,3,2024-03-01,98.6,57.4,76.0,68.9,73.5,,
Casanare,2024,3,2024-03-01,98.3,85.7,84.7,70.3,80.7,,
Cauca,2024,3,2024-03-01,99.4,27.4,84.8,42.5,43.7,,
Cesar,2024,3,2024-03-01,99.6,73.9,90.9,77.0,82.1,,
Choco,2024,3,2024-03-01,96.6,0.0,41.6,16.7,55.0,,
Cordoba,2024,3,2024-03-01,99.6,49.8,72.0,43.3,60.4,,
Cundinamarca,2024,3,2024-03-01,99.7,79.8,97.1,81.5,88.1,,
Guainia,2024,3,2024-03-01,80.1,0.0,21.7,21.9,28.1,,
Guaviare,2024,3,2024-03-01,96.8,24.0,54.2,48.5,61.1,,
Huila,2024,3,2024-03-01,99.7,71.1,91.7,67.6,70.0,,
La_Guajira,2024,3,2024-03-01,70.6,44.2,52.8,47.3,53.9,,
Magdalena,2024,3,2024-03-01,99.1,70.4,88.3,57.0,73.6,,
Meta,2024,3,2024-03-01,98.9,70.9,84.0,79.9,85.9,,
Narino,2024,3,2024-03-01,99.9,13.6,76.0,41.8,54.5,,
Norte_de_Santander,2024,3,2024-03-01,99.8,59.4,87.6,83.4,85.5,,
Putumayo,2024,3,2024-03-01,91.1,15.2,56.0,51.9,60.6,,
Quindio,2024,3,2024-03-01,99.8,82.9,98.0,88.9,95.8,,
Risaralda,2024,3,2024-03-01,99.5,82.2,93.1,86.0,90.5,,
Santander,2024,3,2024-03-01,99.7,78.6,92.8,79.3,82.6,,
Sucre,2024,3,2024-03-01,99.4,56.8,87.3,54.6,64.2,,
Tolima,2024,3,2024-03-01,99.6,79.2,90.4,75.3,77.4,,
Valle,2024,3,2024-03-01,99.7,83.7,97.5,91.1,96.1,,
Vaupes,2024,3,2024-03-01,89.9,0.0,27.7,24.6,28.4,,
Vichada,2024,3,2024-03-01,43.4,0.0,48.0,0.3,23.7,,
Amazonas,2024,4,2024-04-01,95.7,0.0,45.3,30.6,52.4,,
Antioquia,2024,4,2024-04-01,99.9,68.3,92.4,81.6,92.3,,
Arauca,2024,4,2024-04-01,97.9,22.5,65.2,52.1,67.1,,
Atlantico,2024,4,2024-04-01,99.9,90.7,97.8,85.4,96.7,,
Bogota_DC,2024,4,2024-04-01,99.9,95.1,99.9,99.3,99.8,,
Bolivar,2024,4,2024-04-01,99.0,67.8,85.5,52.1,75.1,,
Boyaca,2024,4,2024-04-01,99.6,64.3,93.7,65.0,69.3,,
Caldas,2024,4,2024-04-01,100.0,72.3,92.8,81.6,89.3,,
Caqueta,2024,4,2024-04-01,98.6,57.4,76.0,68.9,73.5,,
Casanare,2024,4,2024-04-01,98.3,85.7,84.7,70.3,80.7,,
Cauca,2024,4,2024-04-01,99.4,27.4,84.8,42.5,43.7,,
Cesar,2024,4,2024-04-01,99.6,73.9,90.9,77.0,82.1,,
Choco,2024,4,2024-04-01,96.6,0.0,41.6,16.7,55.0,,
Cordoba,2024,4,2024-04-01,99.6,49.8,72.0,43.3,60.4,,
Cundinamarca,2024,4,2024-04-01,99.7,79.8,97.1,81.5,88.1,,
Guainia,2024,4,2024-04-01,80.1,0.0,21.7,21.9,28.1,,
Guaviare,2024,4,2024-04-01,96.8,24.0,54.2,48.5,61.1,,
Huila,2024,4,2024-04-01,99.7,71.1,91.7,67.6,70.0,,
La_Guajira,2024,4,2024-04-01,70.6,44.2,52.8,47.3,53.9,,
Magdalena,2024,4,2024-04-01,99.1,70.4,88.3,57.0,73.6,,
Meta,2024,4,2024-04-01,98.9,70.9,84.0,79.9,85.9,,
Narino,2024,4,2024-04-01,99.9,13.6,76.0,41.8,54.5,,
Norte_de_Santander,2024,4,2024-04-01,99.8,59.4,87.6,83.4,85.5,,
Putumayo,2024,4,2024-04-01,91.1,15.2,56.0,51.9,60.6,,
Quindio,2024,4,2024-04-01,99.8,82.9,98.0,88.9,95.8,,
Risaralda,2024,4,2024-04-01,99.5,82.2,93.1,86.0,90.5,,
Santander,2024,4,2024-04-01,99.7,78.6,92.8,79.3,82.6,,
Sucre,2024,4,2024-04-01,99.4,56.8,87.3,54.6,64.2,,
Tolima,2024,4,2024-04-01,99.6,79.2,90.4,75.3,77.4,,
Valle,2024,4,2024-04-01,99.7,83.7,97.5,91.1,96.1,,
Vaupes,2024,4,2024-04-01,89.9,0.0,27.7,24.6,28.4,,
Vichada,2024,4,2024-04-01,43.4,0.0,48.0,0.3,23.7,,
Amazonas,2024,5,2024-05-01,95.7,0.0,45.3,30.6,52.4,,
Antioquia,2024,5,2024-05-01,99.9,68.3,92.4,81.6,92.3,,
Arauca,2024,5,2024-05-01,97.9,22.5,65.2,52.1,67.1,,
Atlantico,2024,5,2024-05-01,99.9,90.7,97.8,85.4,96.7,,
Bogota_DC,2024,5,2024-05-01,99.9,95.1,99.9,99.3,99.8,,
Bolivar,2024,5,2024-05-01,99.0,67.8,85.5,52.1,75.1,,
Boyaca,2024,5,2024-05-01,99.6,64.3,93.7,65.0,69.3,,
Caldas,2024,5,2024-05-01,100.0,72.3,92.8,81.6,89.3,,
Caqueta,2024,5,2024-05-01,98.6,57.4,76.0,68.9,73.5,,
Casanare,2024,5,2024-05-01,98.3,85.7,84.7,70.3,80.7,,
Cauca,2024,5,2024-05-01,99.4,27.4,84.8,42.5,43.7,,
Cesar,2024,5,2024-05-01,99.6,73.9,90.9,77.0,82.1,,
Choco,2024,5,2024-05-01,96.6,0.0,41.6,16.7,55.0,,
Cordoba,2024,5,2024-05-01,99.6,49.8,72.0,43.3,60.4,,
Cundinamarca,2024,5,2024-05-01,99.7,79.8,97.1,81.5,88.1,,
Guainia,2024,5,2024-05-01,80.1,0.0,21.7,21.9,28.1,,
Guaviare,2024,5,2024-05-01,96.8,24.0,54.2,48.5,61.1,,
Huila,2024,5,2024-05-01,99.7,71.1,91.7,67.6,70.0,,
La_Guajira,2024,5,2024-05-01,70.6,44.2,52.8,47.3,53.9,,
Magdalena,2024,5,2024-05-01,99.1,70.4,88.3,57.0,73.6,,
Meta,2024,5,2024-05-01,98.9,70.9,84.0,79.9,85.9,,
Narino,2024,5,2024-05-01,99.9,13.6,76.0,41.8,54.5,,
Norte_de_Santander,2024,5,2024-05-01,99.8,59.4,87.6,83.4,85.5,,
Putumayo,2024,5,2024-05-01,91.1,15.2,56.0,51.9,60.6,,
Quindio,2024,5,2024-05-01,99.8,82.9,98.0,88.9,95.8,,
Risaralda,2024,5,2024-05-01,99.5,82.2,93.1,86.0,90.5,,
Santander,2024,5,2024-05-01,99.7,78.6,92.8,79.3,82.6,,
Sucre,2024,5,2024-05-01,99.4,56.8,87.3,54.6,64.2,,
Tolima,2024,5,2024-05-01,99.6,79.2,90.4,75.3,77.4,,
Valle,2024,5,2024-05-01,99.7,83.7,97.5,91.1,96.1,,
Vaupes,2024,5,2024-05-01,89.9,0.0,27.7,24.6,28.4,,
Vichada,2024,5,2024-05-01,43.4,0.0,48.0,0.3,23.7,,
Amazonas,2024,6,2024-06-01,95.7,0.0,45.3,30.6,52.4,,
Antioquia,2024,6,2024-06-01,99.9,68.3,92.4,81.6,92.3,,
Arauca,2024,6,2024-06-01,97.9,22.5,65.2,52.1,67.1,,
Atlantico,2024,6,2024-06-01,99.9,90.7,97.8,85.4,96.7,,
Bogota_DC,2024,6,2024-06-01,99.9,95.1,99.9,99.3,99.8,,
Bolivar,2024,6,2024-06-01,99.0,67.8,85.5,52.1,75.1,,
Boyaca,2024,6,2024-06-01,99.6,64.3,93.7,65.0,69.3,,
Caldas,2024,6,2024-06-01,100.0,72.3,92.8,81.6,89.3,,
Caqueta,2024,6,2024-06-01,98.6,57.4,76.0,68.9,73.5,,
Casanare,2024,6,2024-06-01,98.3,85.7,84.7,70.3,80.7,,
Cauca,2024,6,2024-06-01,99.4,27.4,84.8,42.5,43.7,,
Cesar,2024,6,2024-06-01,99.6,73.9,90.9,77.0,82.1,,
Choco,2024,6,2024-06-01,96.6,0.0,41.6,16.7,55.0,,
Cordoba,2024,6,2024-06-01,99.6,49.8,72.0,43.3,60.4,,
Cundinamarca,2024,6,2024-06-01,99.7,79.8,97.1,81.5,88.1,,
Guainia,2024,6,2024-06-01,80.1,0.0,21.7,21.9,28.1,,
Guaviare,2024,6,2024-06-01,96.8,24.0,54.2,48.5,61.1,,
Huila,2024,6,2024-06-01,99.7,71.1,91.7,67.6,70.0,,
La_Guajira,2024,6,2024-06-01,70.6,44.2,52.8,47.3,53.9,,
Magdalena,2024,6,2024-06-01,99.1,70.4,88.3,57.0,73.6,,
Meta,2024,6,2024-06-01,98.9,70.9,84.0,79.9,85.9,,
Narino,2024,6,2024-06-01,99.9,13.6,76.0,41.8,54.5,,
Norte_de_Santander,2024,6,2024-06-01,99.8,59.4,87.6,83.4,85.5,,
Putumayo,2024,6,2024-06-01,91.1,15.2,56.0,51.9,60.6,,
Quindio,2024,6,2024-06-01,99.8,82.9,98.0,88.9,95.8,,
Risaralda,2024,6,2024-06-01,99.5,82.2,93.1,86.0,90.5,,
Santander,2024,6,2024-06-01,99.7,78.6,92.8,79.3,82.6,,
Sucre,2024,6,2024-06-01,99.4,56.8,87.3,54.6,64.2,,
Tolima,2024,6,2024-06-01,99.6,79.2,90.4,75.3,77.4,,
Valle,2024,6,2024-06-01,99.7,83.7,97.5,91.1,96.1,,
Vaupes,2024,6,2024-06-01,89.9,0.0,27.7,24.6,28.4,,
Vichada,2024,6,2024-06-01,43.4,0.0,48.0,0.3,23.7,,
Amazonas,2024,7,2024-07-01,95.7,0.0,45.3,30.6,52.4,,
Antioquia,2024,7,2024-07-01,99.9,68.3,92.4,81.6,92.3,,
Arauca,2024,7,2024-07-01,97.9,22.5,65.2,52.1,67.1,,
Atlantico,2024,7,2024-07-01,99.9,90.7,97.8,85.4,96.7,,
Bogota_DC,2024,7,2024-07-01,99.9,95.1,99.9,99.3,99.8,,
Bolivar,2024,7,2024-07-01,99.0,67.8,85.5,52.1,75.1,,
Boyaca,2024,7,2024-07-01,99.6,64.3,93.7,65.0,69.3,,
Caldas,2024,7,2024-07-01,100.0,72.3,92.8,81.6,89.3,,
Caqueta,2024,7,2024-07-01,98.6,57.4,76.0,68.9,73.5,,
Casanare,2024,7,2024-07-01,98.3,85.7,84.7,70.3,80.7,,
Cauca,2024,7,2024-07-01,99.4,27.4,84.8,42.5,43.7,,
Cesar,2024,7,2024-07-01,99.6,73.9,90.9,77.0,82.1,,
Choco,2024,7,2024-07-01,96.6,0.0,41.6,16.7,55.0,,
Cordoba,2024,7,2024-07-01,99.6,49.8,72.0,43.3,60.4,,
Cundinamarca,2024,7,2024-07-01,99.7,79.8,97.1,81.5,88.1,,
Guainia,2024,7,2024-07-01,80.1,0.0,21.7,21.9,28.1,,
Guaviare,2024,7,2024-07-01,96.8,24.0,54.2,48.5,61.1,,
Huila,2024,7,2024-07-01,99.7,71.1,91.7,67.6,70.0,,
La_Guajira,2024,7,2024-07-01,70.6,44.2,52.8,47.3,53.9,,
Magdalena,2024,7,2024-07-01,99.1,70.4,88.3,57.0,73.6,,
Meta,2024,7,2024-07-01,98.9,70.9,84.0,79.9,85.9,,
Narino,2024,7,2024-07-01,99.9,13.6,76.0,41.8,54.5,,
Norte_de_Santander,2024,7,2024-07-01,99.8,59.4,87.6,83.4,85.5,,
Putumayo,2024,7,2024-07-01,91.1,15.2,56.0,51.9,60.6,,
Quindio,2024,7,2024-07-01,99.8,82.9,98.0,88.9,95.8,,
Risaralda,2024,7,2024-07-01,99.5,82.2,93.1,86.0,90.5,,
Santander,2024,7,2024-07-01,99.7,78.6,92.8,79.3,82.6,,
Sucre,2024,7,2024-07-01,99.4,56.8,87.3,54.6,64.2,,
Tolima,2024,7,2024-07-01,99.6,79.2,90.4,75.3,77.4,,
Valle,2024,7,2024-07-01,99.7,83.7,97.5,91.1,96.1,,
Vaupes,2024,7,2024-07-01,89.9,0.0,27.7,24.6,28.4,,
Vichada,2024,7,2024-07-01,43.4,0.0,48.0,0.3,23.7,,
Amazonas,2024,8,2024-08-01,95.7,0.0,45.3,30.6,52.4,,
Antioquia,2024,8,2024-08-01,99.9,68.3,92.4,81.6,92.3,,
Arauca,2024,8,2024-08-01,97.9,22.5,65.2,52.1,67.1,,
Atlantico,2024,8,2024-08-01,99.9,90.7,97.8,85.4,96.7,,
Bogota_DC,2024,8,2024-08-01,99.9,95.1,99.9,99.3,99.8,,
Bolivar,2024,8,2024-08-01,99.0,67.8,85.5,52.1,75.1,,
Boyaca,2024,8,2024-08-01,99.6,64.3,93.7,65.0,69.3,,
Caldas,2024,8,2024-08-01,100.0,72.3,92.8,81.6,89.3,,
Caqueta,2024,8,2024-08-01,98.6,57.4,76.0,68.9,73.5,,
Casanare,2024,8,2024-08-01,98.3,85.7,84.7,70.3,80.7,,
Cauca,2024,8,2024-08-01,99.4,27.4,84.8,42.5,43.7,,
Cesar,2024,8,2024-08-01,99.6,73.9,90.9,77.0,82.1,,
Choco,2024,8,2024-08-01,96.6,0.0,41.6,16.7,55.0,,
Cordoba,2024,8,2024-08-01,99.6,49.8,72.0,43.3,60.4,,
Cundinamarca,2024,8,2024-08-01,99.7,79.8,97.1,81.5,88.1,,
Guainia,2024,8,2024-08-01,80.1,0.0,21.7,21.9,28.1,,
Guaviare,2024,8,2024-08-01,96.8,24.0,54.2,48.5,61.1,,
Huila,2024,8,2024-08-01,99.7,71.1,91.7,67.6,70.0,,
La_Guajira,2024,8,2024-08-01,70.6,44.2,52.8,47.3,53.9,,
Magdalena,2024,8,2024-08-01,99.1,70.4,88.3,57.0,73.6,,
Meta,2024,8,2024-08-01,98.9,70.9,84.0,79.9,85.9,,
Narino,2024,8,2024-08-01,99.9,13.6,76.0,41.8,54.5,,
Norte_de_Santander,2024,8,2024-08-01,99.8,59.4,87.6,83.4,85.5,,
Putumayo,2024,8,2024-08-01,91.1,15.2,56.0,51.9,60.6,,
Quindio,2024,8,2024-08-01,99.8,82.9,98.0,88.9,95.8,,
Risaralda,2024,8,2024-08-01,99.5,82.2,93.1,86.0,90.5,,
Santander,2024,8,2024-08-01,99.7,78.6,92.8,79.3,82.6,,
Sucre,2024,8,2024-08-01,99.4,56.8,87.3,54.6,64.2,,
Tolima,2024,8,2024-08-01,99.6,79.2,90.4,75.3,77.4,,
Valle,2024,8,2024-08-01,99.7,83.7,97.5,91.1,96.1,,
Vaupes,2024,8,2024-08-01,89.9,0.0,27.7,24.6,28.4,,
Vichada,2024,8,2024-08-01,43.4,0.0,48.0,0.3,23.7,,
